,Header,Tag,Dataset_name,Index
0,Year,#date+year,unhcr-asylum-seekers-determination-swz.csv.CSV,665
1,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-swz.csv.CSV,665
2,Origin,#country+origin,unhcr-asylum-seekers-determination-swz.csv.CSV,665
3,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-swz.csv.CSV,665
4,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-swz.csv.CSV,665
5,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-swz.csv.CSV,665
6,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-swz.csv.CSV,665
7,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-swz.csv.CSV,665
8,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-swz.csv.CSV,665
9,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-swz.csv.CSV,665
10,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-swz.csv.CSV,665
11,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-swz.csv.CSV,665
12,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-swz.csv.CSV,665
13,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-swz.csv.CSV,665
14,Year,#date+year,unhcr-asylum-seekers-determination-swe.csv.CSV,666
15,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-swe.csv.CSV,666
16,Origin,#country+origin,unhcr-asylum-seekers-determination-swe.csv.CSV,666
17,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-swe.csv.CSV,666
18,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-swe.csv.CSV,666
19,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-swe.csv.CSV,666
20,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-swe.csv.CSV,666
21,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-swe.csv.CSV,666
22,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-swe.csv.CSV,666
23,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-swe.csv.CSV,666
24,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-swe.csv.CSV,666
25,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-swe.csv.CSV,666
26,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-swe.csv.CSV,666
27,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-swe.csv.CSV,666
28,Year,#date+year,unhcr-asylum-seekers-determination-che.csv.CSV,667
29,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-che.csv.CSV,667
30,Origin,#country+origin,unhcr-asylum-seekers-determination-che.csv.CSV,667
31,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-che.csv.CSV,667
32,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-che.csv.CSV,667
33,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-che.csv.CSV,667
34,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-che.csv.CSV,667
35,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-che.csv.CSV,667
36,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-che.csv.CSV,667
37,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-che.csv.CSV,667
38,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-che.csv.CSV,667
39,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-che.csv.CSV,667
40,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-che.csv.CSV,667
41,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-che.csv.CSV,667
42,Year,#date+year,unhcr-asylum-seekers-determination-syr.csv.CSV,668
43,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-syr.csv.CSV,668
44,Origin,#country+origin,unhcr-asylum-seekers-determination-syr.csv.CSV,668
45,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-syr.csv.CSV,668
46,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-syr.csv.CSV,668
47,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-syr.csv.CSV,668
48,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-syr.csv.CSV,668
49,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-syr.csv.CSV,668
50,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-syr.csv.CSV,668
51,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-syr.csv.CSV,668
52,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-syr.csv.CSV,668
53,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-syr.csv.CSV,668
54,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-syr.csv.CSV,668
55,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-syr.csv.CSV,668
