data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
3080374,108,BUR8585,8585,2019-02-11,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Gitega,Gitega,Buraza,Gitega,-3.4264,29.9308,1,SOS Medias Burundi,Other,"11 February. During the night, Imbonerakure broke into a house in the Nyamugari neighborhood of Gitega. The homeowner stabbed one of the intruders, injuring him.",0,1550526305,BDI
3080373,108,BUR8584,8584,2019-02-10,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Muyinga,Gasorwe,Kaguhu,Kaguhu,-2.8359,30.1756,1,Local Source,Other,"10 February. Imbonerakure beat a man to death in Kaguhu, Gasorwe. The perpetrators had ordered the victim to pay them a fine but he did not have the money to do so.",1,1550526305,BDI
3080371,108,BUR8582,8582,2019-02-09,2019,2,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Bujumbura Rural,Mutimbuzi,Rubirizi,Carama,-3.3071,29.3813,2,Local Source,Other,09 February (on or before). The head of an unidentified man was found in Carama. Military socks and boots were found at the location. Police launched an investigation.,1,1550526305,BDI
3080372,108,BUR8583,8583,2019-02-09,2019,1,Violence against civilians,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,7,57,Eastern Africa,Burundi,Cibitoke,Bukinanyana,Burimbi,Burimbi,-2.9479,29.4034,1,Local Source,Other,"09 February. An unidentified group set fire to the home of a man (who was a member of the CNDD-FDD) accused of witchcraft in Burimbi, Cibitoke. The man and two of his children died in the fire.",3,1550526305,BDI
2998715,108,BUR8570,8570,2019-02-08,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Gitega,Itaba,Kagoma,Nyarusange,-3.5655,30.0230,2,SOS Medias Burundi,Other,"08 February. An unidentified armed group killed a man during an attack on the Lumitel communication company in Muyange (no coordinates available, located in the Nyarusange area). The perpetrators also destroyed a generator.",1,1549911956,BDI
3080370,108,BUR8581,8581,2019-02-07,2019,1,Violence against civilians,Rumonge Communal Militia (Burundi),,4,Civilians (Burundi),,7,47,Eastern Africa,Burundi,Rumonge,Rumonge,Centre Urbain,Rumonge,-3.9736,29.4386,1,Local Source,Other,07 February. A mob of people attacked a man accused of being a witch doctor in the Nkayamba neighborhood of Rumonge. The attackers wounded the man with a machete.,0,1550526305,BDI
2998714,108,BUR8569,8569,2019-02-06,2019,2,Riots/Protests,Protesters (Burundi),,6,,,0,60,Eastern Africa,Burundi,Bujumbura Mairie,Mukaza,n.a. (6),Bujumbura,-3.3772,29.3580,1,SOS Medias Burundi,Other,06 February (on or before). Residents of Kinyankonge and Nyabagere protested in Bujumbura over land seizures by the government.,0,1549911956,BDI
3080367,108,BUR8578,8578,2019-02-06,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Kirundo,Kirundo,Cewe,Bugabira,-2.5314,30.0706,1,Local Source,Other,"06 February. Imbonerakure assaulted an elderly man, accused of witchcraft, in Bugabira. They also demanded money from the victim.",0,1550526305,BDI
3080368,108,BUR8579,8579,2019-02-06,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Bubanza,Bubanza,Centre-Urbain,Bubanza,-3.0804,29.3910,1,Local Source,Other,"06 February. Imbonerakure assaulted a child who was selling food items in Bubanza, after the child asked them to pay for the goods they consumed.",0,1550526305,BDI
