category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
#meta+category,#indicator+name,#indicator+description,#indicator+type,#geo+lat,#geo+lon,#region+code,#country+code+v_iso2,#country+name,#date+year,#indicator+value
Streets,composite_street_connectivity_index_city_core,Composite Street Connectivity Index – city core,index,50.833317,4.333317,89,BE,Brussels,2013,0.749
Streets,road_density_national_roads,Road density (km/100km²),n,50.5,4,89,BE,Belgium,2009,504
Crime,recorded_theft_rate,Recorded theft rate per 100,000 population,n,50.5,4,89,BE,Belgium,2001,3529.71
Crime,recorded_theft_rate,Recorded theft rate per 100,000 population,n,50.5,4,89,BE,Belgium,2002,3559.86
Transport,goods_hauled_by_road,Goods hauled by road (million ton/km),n,50.5,4,89,BE,Belgium,2000,54856
Transport,transport_share_countries_cycling,Share of various modes of transport in use in countries – Cycling,p,50.5,4,89,BE,Belgium,1999,8
Transport,passengers_carried_by_railway,Passengers carried by railway (million passengers/km),n,50.5,4,89,BE,Belgium,2000,8676
City prosperity,cpi_productivity_index,Productivity index,p,50.833317,4.333317,89,BE,Brussels,2012,0.862
City prosperity,cpi_productivity_index,Productivity index,p,50.833317,4.333317,89,BE,Brussels,2013,0.862
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1985,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1955,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,2020,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1990,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1960,3
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,2025,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1995,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1965,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,2000,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1970,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,2005,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1975,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,2010,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1980,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,1950,2
Population,number_of_cities_500k_1_million,Number of cities by country – 500 000 to 1 million inhabitants,n,50.5,4,89,BE,Belgium,2015,2
Population,pop_urban_percentage,Percentage of national population living in urban areas,p,50.5,4,89,BE,Belgium,2007,97.3
Crime,recorded_assault_rate,Recorded assault rate per 100,000 population,n,50.5,4,89,BE,Belgium,2001,580.64
