category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
#meta+category,#indicator+name,#indicator+description,#indicator+type,#geo+lat,#geo+lon,#region+code,#country+code+v_iso2,#country+name,#date+year,#indicator+value
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1985,1.8
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1955,6.32
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2020,1.53
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1990,0.31
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1960,6.04
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2025,1.84
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1995,-0.16
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1965,2.66
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2030,1.8
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2000,-0.14
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1970,1.82
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2035,1.69
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2005,0.22
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1975,1.78
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2040,1.59
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2010,0.68
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1980,1.85
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2045,1.49
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,1950,6.53
Population,avg_annual_rate_change_percentage_urban,Average annual rate of change of population – Urban,p,-12.1,44.15,289,KM,Comoros,2015,1.12
Crime,recorded_theft_rate,Recorded theft rate per 100,000 population,n,-12.1,44.15,289,KM,Comoros,2000,15.74
Crime,recorded_theft_rate,Recorded theft rate per 100,000 population,n,-12.1,44.15,289,KM,Comoros,1999,20.13
Education,net_enrolment_rate_2_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 2 Shelter deprivation,p,-12.1,44.15,289,KM,Comoros,1996,42.3
Health,children_with_diarrhea_rural,Proportion of children with diarrhea in last two weeks – Rural,p,-12.1,44.15,289,KM,Comoros,1996,21.7
Population,pop_urban_percentage,Percentage of national population living in urban areas,p,-12.1,44.15,289,KM,Comoros,2007,27.9
