Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
#date+year,#country+asylum,#country+origin,#x_procedure+rsd,#x_applicants+start+total,#x_applicants+start+unhcr,#x_applicants+inyear,#x_decisions+recognized,#x_decisions+other,#x_decisions+negative+rejected,#x_decisions+closed,#x_decisions+total,#x_applicants+end+total,#x_applicants+end+unhcr
2000,Italy,Afghanistan,G / FA,0,0,524,30,0,321,0,351,0,0
2000,Italy,Angola,G / FA,0,0,32,31,0,16,0,47,0,0
2000,Italy,Albania,G / FA,0,0,169,38,0,97,1,136,0,0
2000,Italy,Armenia,G / FA,0,0,13,8,0,10,0,18,0,0
2000,Italy,Azerbaijan,G / FA,0,0,10,5,0,7,0,12,0,0
2000,Italy,Burundi,G / FA,0,0,6,6,0,1,0,7,0,0
2000,Italy,Benin,G / FA,0,0,6,3,0,1,0,4,0,0
2000,Italy,Burkina Faso,G / FA,0,0,0,0,0,1,0,1,0,0
2000,Italy,Bangladesh,G / FA,0,0,88,3,0,50,0,53,0,0
2000,Italy,Bosnia and Herzegovina,G / FA,0,0,32,8,0,17,0,25,0,0
2000,Italy,Belarus,G / FA,0,0,6,0,0,0,0,,0,0
2000,Italy,Central African Rep.,G / FA,0,0,1,1,0,1,0,2,0,0
2000,Italy,China,G / FA,0,0,8,2,0,19,0,21,0,0
2000,Italy,Côte d'Ivoire,G / FA,0,0,6,3,0,0,0,3,0,0
2000,Italy,Cameroon,G / FA,0,0,30,19,0,1,0,20,0,0
2000,Italy,Dem. Rep. of the Congo,G / FA,0,0,71,51,0,35,0,86,0,0
2000,Italy,Congo,G / FA,0,0,114,95,0,29,0,124,0,0
2000,Italy,Colombia,G / FA,0,0,49,12,0,14,0,26,0,0
2000,Italy,Cuba,G / FA,0,0,11,4,0,8,0,12,0,0
2000,Italy,Algeria,G / FA,0,0,24,0,0,15,0,15,0,0
2000,Italy,Ecuador,G / FA,0,0,19,1,0,2,0,3,0,0
2000,Italy,Egypt,G / FA,0,0,7,4,0,10,0,14,0,0
2000,Italy,Eritrea,G / FA,0,0,33,13,0,5,0,18,0,0
2000,Italy,Ethiopia,G / FA,0,0,68,48,0,26,0,74,0,0
2000,Italy,Gabon,G / FA,0,0,1,1,0,0,0,1,0,0
2000,Italy,Georgia,G / FA,0,0,17,15,0,14,0,29,0,0
2000,Italy,Ghana,G / FA,0,0,8,4,0,8,0,12,0,0
2000,Italy,Guinea,G / FA,0,0,3,0,0,5,0,5,0,0
2000,Italy,Gambia,G / FA,0,0,15,2,0,1,0,3,0,0
2000,Italy,Guinea-Bissau,G / FA,0,0,3,1,0,15,0,16,0,0
2000,Italy,Croatia,G / FA,0,0,6,3,0,6,0,9,0,0
2000,Italy,Hungary,G / FA,0,0,0,0,0,2,0,2,0,0
2000,Italy,India,G / FA,0,0,4,0,0,2,0,2,0,0
2000,Italy,Iran (Islamic Rep. of),G / FA,0,0,182,87,0,118,1,206,0,0
2000,Italy,Iraq,G / FA,0,0,6082,150,0,5455,59,5664,0,0
2000,Italy,Jamaica,G / FA,0,0,0,0,0,1,0,1,0,0
2000,Italy,Jordan,G / FA,0,0,1,1,0,1,0,2,0,0
2000,Italy,Kazakhstan,G / FA,0,0,11,5,0,0,0,5,0,0
2000,Italy,Kuwait,G / FA,0,0,0,0,0,1,0,1,0,0
2000,Italy,Lebanon,G / FA,0,0,20,1,0,9,0,10,0,0
2000,Italy,Liberia,G / FA,0,0,7,3,0,5,0,8,0,0
2000,Italy,Libya,G / FA,0,0,3,0,0,5,0,5,0,0
2000,Italy,Sri Lanka,G / FA,0,0,214,9,0,46,0,55,0,0
2000,Italy,Lithuania,G / FA,0,0,1,1,0,1,0,2,0,0
2000,Italy,Morocco,G / FA,0,0,2,1,0,4,0,5,0,0
2000,Italy,Rep. of Moldova,G / FA,0,0,44,0,0,14,0,14,0,0
2000,Italy,The former Yugoslav Republic of Macedonia,G / FA,0,0,10,2,0,58,0,60,0,0
2000,Italy,Mauritania,G / FA,0,0,5,1,0,2,0,3,0,0
2000,Italy,Mauritius,G / FA,0,0,0,0,0,1,0,1,0,0
2000,Italy,Nigeria,G / FA,0,0,57,1,0,16,0,17,0,0
2000,Italy,Pakistan,G / FA,0,0,92,10,0,23,0,33,0,0
2000,Italy,Peru,G / FA,0,0,9,3,0,0,0,3,0,0
2000,Italy,Poland,G / FA,0,0,0,1,0,0,0,1,0,0
2000,Italy,Palestinian,G / FA,0,0,46,9,0,20,4,33,0,0
2000,Italy,Romania,G / FA,0,0,234,2,0,114,0,116,0,0
2000,Italy,Russian Federation,G / FA,0,0,210,63,0,63,1,127,0,0
2000,Italy,Rwanda,G / FA,0,0,22,12,0,17,0,29,0,0
2000,Italy,Sudan,G / FA,0,0,40,31,0,25,0,56,0,0
2000,Italy,Senegal,G / FA,0,0,12,1,0,3,0,4,0,0
2000,Italy,Sierra Leone,G / FA,0,0,165,14,0,60,0,74,0,0
2000,Italy,Somalia,G / FA,0,0,69,9,0,78,0,87,0,0
2000,Italy,Serbia and Kosovo (S/RES/1244 (1999)),G / FA,0,0,2417,0,0,0,0,,0,0
2000,Italy,Syrian Arab Rep.,G / FA,0,0,48,3,0,44,0,47,0,0
2000,Italy,Chad,G / FA,0,0,1,1,0,0,0,1,0,0
2000,Italy,Togo,G / FA,0,0,21,10,0,2,0,12,0,0
2000,Italy,Tunisia,G / FA,0,0,26,18,0,13,0,31,0,0
2000,Italy,Turkey,G / FA,0,0,4062,222,0,3327,29,3578,0,0
2000,Italy,United Rep. of Tanzania,G / FA,0,0,1,0,0,0,0,,0,0
2000,Italy,Uganda,G / FA,0,0,1,2,0,0,0,2,0,0
2000,Italy,Ukraine,G / FA,0,0,22,5,0,4,0,9,0,0
2000,Italy,United States of America,G / FA,0,0,1,0,0,1,0,1,0,0
2000,Italy,Uzbekistan,G / FA,0,0,13,0,0,3,0,3,0,0
2000,Italy,Viet Nam,G / FA,0,0,6,6,0,0,0,6,0,0
2000,Italy,Various/Unknown,G / FA,0,0,23,554,0,12981,1,13536,113,0
2000,Italy,Yemen,G / FA,0,0,0,0,0,1,0,1,0,0
2001,Italy,Afghanistan,G / FA,0,0,299,81,2,373,0,456,0,0
2001,Italy,Angola,G / FA,0,0,31,16,6,4,0,26,0,0
2001,Italy,Albania,G / FA,0,0,84,22,36,92,0,150,0,0
2001,Italy,Armenia,G / FA,0,0,12,0,0,0,0,,0,0
2001,Italy,Azerbaijan,G / FA,0,0,4,0,0,0,0,,0,0
2001,Italy,Burundi,G / FA,0,0,8,0,0,0,0,,0,0
2001,Italy,Burkina Faso,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Bangladesh,G / FA,0,0,174,11,0,50,0,61,0,0
2001,Italy,Bulgaria,G / FA,0,0,11,0,0,0,0,,0,0
2001,Italy,Bosnia and Herzegovina,G / FA,0,0,53,15,15,15,0,45,0,0
2001,Italy,Belarus,G / FA,0,0,19,0,0,0,0,,0,0
2001,Italy,Brazil,G / FA,0,0,3,0,0,0,0,,0,0
2001,Italy,Central African Rep.,G / FA,0,0,2,0,0,0,0,,0,0
2001,Italy,China,G / FA,0,0,8,0,0,0,0,,0,0
2001,Italy,Côte d'Ivoire,G / FA,0,0,14,0,0,0,0,,0,0
2001,Italy,Cameroon,G / FA,0,0,29,22,1,6,0,29,0,0
2001,Italy,Dem. Rep. of the Congo,G / FA,0,0,93,85,1,26,0,112,0,0
2001,Italy,Congo,G / FA,0,0,100,72,16,2,0,90,0,0
2001,Italy,Colombia,G / FA,0,0,123,27,20,13,0,60,0,0
2001,Italy,Cuba,G / FA,0,0,13,0,0,0,0,,0,0
2001,Italy,Czech Rep.,G / FA,0,0,6,0,0,0,0,,0,0
2001,Italy,Algeria,G / FA,0,0,22,4,5,17,0,26,0,0
2001,Italy,Ecuador,G / FA,0,0,8,0,0,0,0,,0,0
2001,Italy,Egypt,G / FA,0,0,6,0,0,0,0,,0,0
2001,Italy,Eritrea,G / FA,0,0,276,21,3,21,0,45,0,0
2001,Italy,Estonia,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Ethiopia,G / FA,0,0,156,65,8,20,0,93,0,0
2001,Italy,Georgia,G / FA,0,0,21,0,0,0,0,,0,0
2001,Italy,Ghana,G / FA,0,0,15,0,0,0,0,,0,0
2001,Italy,Guinea,G / FA,0,0,5,0,0,0,0,,0,0
2001,Italy,Gambia,G / FA,0,0,10,10,0,8,0,18,0,0
2001,Italy,Guinea-Bissau,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Croatia,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Hungary,G / FA,0,0,2,0,0,0,0,,0,0
2001,Italy,India,G / FA,0,0,30,0,0,0,0,,0,0
2001,Italy,Iran (Islamic Rep. of),G / FA,0,0,173,89,2,92,0,183,0,0
2001,Italy,Iraq,G / FA,0,0,1985,189,81,4312,0,4582,0,0
2001,Italy,Jamaica,G / FA,0,0,2,0,0,0,0,,0,0
2001,Italy,Jordan,G / FA,0,0,4,0,0,0,0,,0,0
2001,Italy,Kazakhstan,G / FA,0,0,9,0,0,0,0,,0,0
2001,Italy,Kenya,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Lebanon,G / FA,0,0,14,11,0,9,0,20,0,0
2001,Italy,Liberia,G / FA,0,0,10,0,0,0,0,,0,0
2001,Italy,Libya,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Sri Lanka,G / FA,0,0,555,10,3,97,0,110,0,0
2001,Italy,Morocco,G / FA,0,0,12,0,0,0,0,,0,0
2001,Italy,Rep. of Moldova,G / FA,0,0,45,4,2,33,0,39,0,0
2001,Italy,Madagascar,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,The former Yugoslav Republic of Macedonia,G / FA,0,0,178,2,16,5,0,23,0,0
2001,Italy,Mongolia,G / FA,0,0,2,0,0,0,0,,0,0
2001,Italy,Mauritania,G / FA,0,0,6,0,0,0,0,,0,0
2001,Italy,Niger,G / FA,0,0,9,0,0,0,0,,0,0
2001,Italy,Nigeria,G / FA,0,0,388,10,0,89,0,99,0,0
2001,Italy,Pakistan,G / FA,0,0,113,8,2,50,0,60,0,0
2001,Italy,Peru,G / FA,0,0,10,0,0,0,0,,0,0
2001,Italy,Philippines,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Poland,G / FA,0,0,9,0,0,0,0,,0,0
2001,Italy,Palestinian,G / FA,0,0,21,4,2,22,0,28,0,0
2001,Italy,Romania,G / FA,0,0,501,14,15,239,0,268,0,0
2001,Italy,Russian Federation,G / FA,0,0,131,106,11,56,0,173,0,0
2001,Italy,Rwanda,G / FA,0,0,4,19,0,2,0,21,0,0
2001,Italy,Sudan,G / FA,0,0,97,22,6,11,0,39,0,0
2001,Italy,Senegal,G / FA,0,0,20,0,0,0,0,,0,0
2001,Italy,Sierra Leone,G / FA,0,0,117,52,16,96,0,164,0,0
2001,Italy,Somalia,G / FA,0,0,145,22,10,60,0,92,0,0
2001,Italy,Serbia and Kosovo (S/RES/1244 (1999)),G / FA,0,0,1526,649,198,1583,0,2430,0,0
2001,Italy,Slovakia,G / FA,0,0,5,0,0,0,0,,0,0
