id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5072,OAKB,medium_airport,"Hamid Karzai International Airport",34.565899,69.212303,5877,AS,AF,AF-KAB,Kabul,1,OAKB,KBL,,http://hamidkarzaiairport.com/,https://en.wikipedia.org/wiki/Hamid_Karzai_International_Airport,"Kabul International Airport",1050,2019-01-13T12:15:07+00:00
5073,OAKN,medium_airport,"Kandahar Airport",31.505800247192383,65.8478012084961,3337,AS,AF,AF-KAN,,0,OAKN,KDH,,,http://en.wikipedia.org/wiki/Kandahar_International_Airport,,250,2008-06-13T14:30:04+00:00
5070,OAIX,medium_airport,"Bagram Air Base",34.9460983276,69.26499938959999,4895,AS,AF,AF-PAR,Bagram,0,OAIX,OAI,,,http://en.wikipedia.org/wiki/Bagram_Air_Base,,50,2012-04-10T00:38:59+00:00
5071,OAJL,medium_airport,"Jalalabad Airport",34.39979934692383,70.49859619140625,1814,AS,AF,AF-NAN,,0,OAJL,JAA,,,http://en.wikipedia.org/wiki/Jalalabad_Airport,,250,2008-06-13T14:30:04+00:00
5076,OASD,small_airport,"Shindand Airport",33.3913002014,62.2610015869,3773,AS,AF,AF-FRA,,0,OASD,OAH,,,http://en.wikipedia.org/wiki/Shindand_Airbase,,50,2012-04-10T00:30:53+00:00
35387,OAZI,small_airport,"Camp Bastion Airport",31.863800048799998,64.2246017456,2943,AS,AF,AF-HEL,,0,OAZI,OAZ,,,http://en.wikipedia.org/wiki/Camp_Bastion,,50,2012-04-10T01:22:22+00:00
32449,OATN,small_airport,"Tarin Kowt Airport",32.604198455799995,65.8657989502,4429,AS,AF,AF-ORU,"Tarin Kowt",0,OATN,TII,,,http://en.wikipedia.org/wiki/Tarin_Kowt_Airport,,50,2012-08-04T21:04:26+00:00
5075,OAMS,medium_airport,"Mazar I Sharif Airport",36.70690155029297,67.20970153808594,1284,AS,AF,AF-BAL,,1,OAMS,MZR,,,http://en.wikipedia.org/wiki/Mazari_Sharif_Airport,,800,2008-06-13T14:30:04+00:00
5069,OAHR,medium_airport,"Herat Airport",34.209999084472656,62.22829818725586,3206,AS,AF,AF-HER,,1,OAHR,HEA,,,http://en.wikipedia.org/wiki/Herat_Airfield,,800,2008-06-13T14:30:04+00:00
31044,OAFR,small_airport,"Farah Airport",32.367000579833984,62.18299865722656,3083,AS,AF,AF-FRA,Farah,0,OAFR,FAH,,,,,50,2008-08-03T11:47:32+00:00
31065,OAFZ,small_airport,"Fayzabad Airport",37.121101,70.518097,3872,AS,AF,AF-BDS,Fayzabad,1,OAFZ,FBD,,,https://en.wikipedia.org/wiki/Fayzabad_Airport,,450,2016-04-16T22:16:48+00:00
5074,OAMN,medium_airport,"Maimana Airport",35.93080139160156,64.76090240478516,2743,AS,AF,AF-FYB,,0,OAMN,MMZ,,,,,250,2008-06-13T14:30:04+00:00
5078,OAUZ,medium_airport,"Konduz Airport",36.66510009765625,68.91079711914062,1457,AS,AF,AF-KDZ,,0,OAUZ,UND,,,http://en.wikipedia.org/wiki/Kunduz_Airport,,250,2008-06-13T14:30:04+00:00
35365,AF11,small_airport,"Salerno Landing Zone Airport",33.363800048799995,69.9561004639,3780,AS,AF,AF-PIA,,0,,OLR,,,http://en.wikipedia.org/wiki/FOB_Salerno,,50,2012-01-21T14:57:14+00:00
30739,OABN,small_airport,"Bamiyan Airport",34.81700134277344,67.81700134277344,8367,AS,AF,AF-BAM,Bamiyan,0,OABN,BIN,,,,,50,2008-08-03T11:47:24+00:00
35374,OAKA,small_airport,"Gardez Airport",33.631500244099996,69.239402771,7790,AS,AF,AF-PIA,Gardez,0,OAGZ,GRG,,,http://en.wikipedia.org/wiki/Gardez_Airport,,50,2014-02-22T14:54:30+00:00
35373,OAGN,small_airport,"Ghazni Airport",33.5312004089,68.412902832,7150,AS,AF,AF-GHA,Ghazni,0,OAGN,GZI,,,http://en.wikipedia.org/wiki/Ghazni_Airport#Airlines_and_destinations,,50,2014-02-22T15:16:02+00:00
31849,OAQN,small_airport,"Qala-I-Naw Airport",34.98500061035156,63.117801666259766,2999,AS,AF,AF-BDG,Qala-I-Naw,0,OAQN,LQN,,,,,50,2008-08-03T11:47:57+00:00
35369,AF15,heliport,"Qara Tepa Heliport",37.423301696777344,69.4302978515625,1437,AS,AF,AF-TAK,,1,,,,,,,625,2008-08-03T11:21:43+00:00
35353,AF-0002,small_airport,"Dehdadi Airport",36.64609909057617,67.03230285644531,1378,AS,AF,AF-BAL,,0,,,,,,,50,2008-08-03T11:21:18+00:00
35363,AF09,small_airport,"Nayak Airport",34.68709945678711,66.89320373535156,8650,AS,AF,AF-BAM,,0,,,,,,,50,2008-08-03T11:21:31+00:00
35367,AF13,small_airport,"Sheber Too Landing Zone Airport",34.778900146484375,67.48670196533203,10490,AS,AF,AF-BAM,,0,,,,,,,50,2008-08-03T11:21:39+00:00
35380,OAPJ,small_airport,"Panyab Airport",34.39780044555664,67.02200317382812,8800,AS,AF,AF-BAM,,0,,,,,,,50,2008-08-03T11:47:54+00:00
35382,OARZ,small_airport,"Razer Airport",36.022701263427734,70.7698974609375,8269,AS,AF,AF-BDS,,0,,,,,,,50,2008-08-03T11:48:01+00:00
35386,OAYW,small_airport,"Yawan Airport",37.56169891357422,70.44170379638672,5645,AS,AF,AF-BDS,,0,OAYW,,,,,,50,2008-08-03T11:48:12+00:00
35368,AF14,small_airport,"Tapa Airport",32.74509811401367,62.59870147705078,2622,AS,AF,AF-FRA,,0,,,,,,,50,2008-08-03T11:21:41+00:00
35377,OAMK,small_airport,"Mukur Airport",32.879600524902344,67.84860229492188,6600,AS,AF,AF-GHA,,0,,,,,,,50,2008-08-03T11:47:48+00:00
35376,OALL,small_airport,"Lal (Sarjangal) Airport",34.5070694108,66.2978768349,9220,AS,AF,AF-GHO,,0,,,,,,,50,2010-02-20T16:22:13+00:00
35383,OATW,small_airport,"Teh Wareh Airport",33.540000915527344,64.42500305175781,7370,AS,AF,AF-GHO,,0,,,,,,,50,2008-08-03T11:48:07+00:00
35384,OAYL,small_airport,"Yakawlang (Yakolang) Airport",34.513301849365234,66.3031005859375,8700,AS,AF,AF-GHO,,0,,,,,,,50,2008-08-03T11:48:08+00:00
35355,AF-0004,small_airport,"Dostmohammadkhan Kalay Airport",31.045000076293945,64.1541976928711,2333,AS,AF,AF-HEL,,0,,,,,,,50,2008-08-03T11:21:22+00:00
5077,OASG,small_airport,"Sheberghan Airport",36.75080108642578,65.91320037841797,1053,AS,AF,AF-JOW,,0,OASG,,,,http://en.wikipedia.org/wiki/Sheberghan_Airfield,,50,2008-06-13T14:30:04+00:00
35354,AF-0003,small_airport,"Charikar Airport",35.14310073852539,69.31439971923828,5569,AS,AF,AF-KAP,,0,,,,,,,50,2008-08-03T11:21:20+00:00
35362,AF08,small_airport,"Kotubkhel Airport",34.192901611328125,69.13569641113281,6273,AS,AF,AF-LOW,,0,,,,,,,50,2008-08-03T11:21:29+00:00
35375,OALG,small_airport,"Logar Airport",33.98649978637695,69.02310180664062,6333,AS,AF,AF-LOW,,0,,,,,,,50,2008-08-03T11:47:44+00:00
