id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2050,DAAG,large_airport,"Houari Boumediene Airport",36.691001892089844,3.215409994125366,82,AF,DZ,DZ-35,Algiers,1,DAAG,ALG,,,http://en.wikipedia.org/wiki/Houari_Boumedienne_Airport,,1275,2008-06-13T14:30:04+00:00
2071,DAOO,medium_airport,"Es Senia Airport",35.6239013672,-0.6211829781529999,295,AF,DZ,DZ-31,Oran,1,DAOO,ORN,,,http://en.wikipedia.org/wiki/Oran_Es_Senia_Airport,,875,2010-08-30T11:40:55+00:00
2060,DABB,medium_airport,"Rabah Bitat Airport",36.822201,7.809174,16,AF,DZ,DZ-36,Annaba,1,DABB,AAE,,,http://en.wikipedia.org/wiki/Rabah_Bitat_Airport,"Les Salines Airport, El Mellah Airport, Annabah",1050,2017-08-19T00:12:36+00:00
2061,DABC,medium_airport,"Mohamed Boudiaf International Airport",36.2760009765625,6.620389938354492,2265,AF,DZ,DZ-25,Constantine,1,DABC,CZL,,,http://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,,1050,2008-06-13T14:30:04+00:00
2079,DAUH,medium_airport,"Oued Irara Airport",31.673000335699996,6.140439987180001,463,AF,DZ,DZ-30,"Hassi Messaoud",1,DAUH,HME,,,http://en.wikipedia.org/wiki/Oued_Irara_Airport,,875,2010-08-30T11:52:46+00:00
2078,DAUG,medium_airport,"Noumérat - Moufdi Zakaria Airport",32.38410186767578,3.794110059738159,1512,AF,DZ,DZ-47,Ghardaïa,1,DAUG,GHA,,,http://en.wikipedia.org/wiki/Noumerate_Airport,,875,2008-06-13T14:30:04+00:00
2056,DAAT,medium_airport,"Aguenar – Hadj Bey Akhamok Airport",22.8115005493,5.45107984543,4518,AF,DZ,DZ-11,Tamanrasset,1,DAAT,TMR,,,http://en.wikipedia.org/wiki/Tamanrasset_Airport,,875,2010-08-30T11:54:47+00:00
2051,DAAJ,medium_airport,"Djanet Inedbirene Airport",24.292801,9.45244,3176,AF,DZ,DZ-33,Djanet,1,DAAJ,DJG,,,http://en.wikipedia.org/wiki/Djanet_Inedbirene_Airport,"Tiska Djanet Airport",800,2017-05-25T22:43:53+00:00
2080,DAUI,medium_airport,"In Salah Airport",27.250999450699997,2.51202011108,896,AF,DZ,DZ-11,"In Salah",1,DAUI,INZ,,,http://en.wikipedia.org/wiki/In_Salah_Airport,,875,2010-08-30T11:45:43+00:00
2077,DAUE,medium_airport,"El Golea Airport",30.571300506591797,2.8595900535583496,1306,AF,DZ,DZ-47,,1,DAUE,ELG,,,http://en.wikipedia.org/wiki/El_Golea_Airport,,800,2008-06-13T14:30:04+00:00
2072,DAOR,medium_airport,"Béchar Boudghene Ben Ali Lotfi Airport",31.645700454711914,-2.269860029220581,2661,AF,DZ,DZ-08,Béchar,1,DAOR,CBH,,,http://en.wikipedia.org/wiki/B%C3%A9char_Ouakda_Airport,"Béchar Ouakda Airport",800,2008-06-13T14:30:04+00:00
