id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2942,FNLU,large_airport,"Quatro de Fevereiro Airport",-8.85837,13.2312,243,AF,AO,AO-LUA,Luanda,1,FNLU,LAD,,,http://en.wikipedia.org/wiki/Quatro_de_Fevereiro_Airport,"4 de Fevereiro",875,2019-01-13T13:15:30+00:00
2936,FNCA,medium_airport,"Cabinda Airport",-5.59699010848999,12.188400268554688,66,AF,AO,AO-CAB,Cabinda,1,FNCA,CAB,,,http://en.wikipedia.org/wiki/Cabinda_Airport,,800,2009-03-10T17:17:26+00:00
2939,FNHU,medium_airport,"Nova Lisboa Airport",-12.808899879455566,15.760499954223633,5587,AF,AO,AO-HUA,Huambo,1,FNHU,NOV,,,http://en.wikipedia.org/wiki/Nova_Lisboa_Airport,"Nova Lisbo Airport",800,2009-08-28T21:32:02+00:00
2952,FNUB,medium_airport,"Lubango Airport",-14.924699783325195,13.574999809265137,5778,AF,AO,AO-HUI,Lubango,1,FNUB,SDD,,,http://en.wikipedia.org/wiki/Lubango_Airport,,800,2009-03-10T17:17:27+00:00
2946,FNMO,medium_airport,"Namibe Airport",-15.261199951171875,12.14680004119873,210,AF,AO,AO-NAM,Namibe,1,FNMO,MSZ,,,http://en.wikipedia.org/wiki/Namibe_Airport,,800,2009-03-10T17:17:26+00:00
2935,FNBG,medium_airport,"Benguela Airport",-12.609000206,13.4036998749,118,AF,AO,AO-BGU,Benguela,0,FNBG,BUG,,,http://en.wikipedia.org/wiki/Benguela_Airport,"Aeroporto 17 de Setembro, Gen. V. Deslandes Airport",250,2012-02-21T23:45:25+00:00
2944,FNMA,medium_airport,"Malanje Airport",-9.525090217590332,16.312400817871094,3868,AF,AO,AO-MAL,Malanje,1,FNMA,MEG,,,http://en.wikipedia.org/wiki/Malanje_Airport,,800,2009-03-10T17:17:26+00:00
2937,FNDU,medium_airport,"Dundo Airport",-7.400889873504639,20.818500518798828,2451,AF,AO,AO-LNO,Chitato,1,FNDU,DUE,,,http://en.wikipedia.org/wiki/Dundo_Airport,,450,2009-06-05T19:34:56+00:00
30821,FNCF,small_airport,"Cafunfo Airport",-8.783610343933105,17.989700317382812,,AF,AO,AO-LNO,Cafunfo,0,FNCF,CFF,,,,,50,2008-08-03T11:31:38+00:00
32157,FNCH,small_airport,"Chitato Airport",-7.358890056610107,20.80470085144043,2500,AF,AO,AO-LNO,Chitato,0,FNCH,PGI,,,,,50,2008-08-03T11:31:40+00:00
2941,FNLB,small_airport,"Lobito Airport",-12.371199607849121,13.536600112915039,10,AF,AO,AO-BGU,Lobito,0,FNLB,,,,,,50,2009-03-10T17:17:26+00:00
43971,AO-0005,small_airport,"Andulo Airport",-11.472299575800001,16.710899353,,AF,AO,AO-BIE,,0,,ANL,,,,,0,2012-06-17T16:49:46+00:00
43321,FNLK,small_airport,"Lucapa Airport",-8.445727348330001,20.7320861816,3029,AF,AO,AO-LNO,Lucapa,0,FNLK,LBZ,,,http://en.wikipedia.org/wiki/Lucapa_Airport,,0,2013-06-27T12:38:48+00:00
318480,AO-0016,small_airport,"Mavinga Airport",-15.789222,20.368971,,AF,AO,AO-CCU,Mavinga,0,,,,,,,0,2016-06-10T05:57:28+00:00
2934,FNBC,medium_airport,"Mbanza Congo Airport",-6.269899845123291,14.246999740600586,1860,AF,AO,AO-ZAI,"Mbanza Congo",1,FNBC,SSY,,,http://en.wikipedia.org/wiki/Mbanza_Congo_Airport,,800,2009-03-10T17:17:25+00:00
2945,FNME,medium_airport,"Menongue Airport",-14.657600402832031,17.71980094909668,4469,AF,AO,AO-CCU,Menongue,1,FNME,SPP,,,http://en.wikipedia.org/wiki/Menongue_Airport,,800,2009-03-10T17:17:26+00:00
2947,FNNG,medium_airport,"Negage Airport",-7.754509925842285,15.287699699401855,4105,AF,AO,AO-UIG,Negage,1,FNNG,GXG,,,http://en.wikipedia.org/wiki/Negage_Airport,,800,2009-03-10T17:17:26+00:00
2938,FNGI,medium_airport,"Ngjiva Pereira Airport",-17.0435009003,15.683799743700002,3566,AF,AO,AO-CNN,Ngiva,1,FNGI,VPE,,,http://en.wikipedia.org/wiki/Ondjiva_Pereira_Airport,"Ngiva Airport, NGV, Ondjiva, 11 de Novembro",800,2014-08-14T14:29:52+00:00
2950,FNSO,medium_airport,"Soyo Airport",-6.141089916229248,12.371800422668457,15,AF,AO,AO-ZAI,Soyo,1,FNSO,SZA,,,http://en.wikipedia.org/wiki/Soyo_Airport,,800,2009-03-10T17:17:27+00:00
30813,FNCT,medium_airport,"Catumbela Airport",-12.4792,13.4869,23,AF,AO,AO-BGU,Catumbela,1,FNCT,CBT,,,http://en.wikipedia.org/wiki/Catumbela_Airport,,450,2016-06-01T06:37:23+00:00
2940,FNKU,medium_airport,"Kuito Airport",-12.404600143433,16.947399139404,5618,AF,AO,AO-BIE,Kuito,0,FNKU,SVP,,,https://en.wikipedia.org/wiki/Kuito_Airport,,250,2015-07-20T00:43:39+00:00
2953,FNUE,medium_airport,"Luena Airport",-11.768099784851074,19.8976993560791,4360,AF,AO,AO-MOX,Luena,0,FNUE,LUO,,,,,250,2009-03-10T17:17:27+00:00
2948,FNPA,medium_airport,"Porto Amboim Airport",-10.722000122070312,13.76550006866455,16,AF,AO,AO-CUS,"Port Amboim",0,FNPA,PBN,,,,,250,2009-03-10T17:17:26+00:00
