id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5781,SAEZ,large_airport,"Ministro Pistarini International Airport",-34.8222,-58.5358,67,SA,AR,AR-B,"Buenos Aires",1,SAEZ,EZE,EZE,http://www.aa2000.com.ar/index.php,http://en.wikipedia.org/wiki/Ministro_Pistarini_International_Airport,BUE,1275,2014-03-22T11:40:17+00:00
5771,SABE,medium_airport,"Jorge Newbery Airpark",-34.5592,-58.4156,18,SA,AR,AR-C,"Buenos Aires",1,SABE,AEP,AER,,http://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery,,1050,2011-12-03T02:52:13+00:00
5806,SARI,medium_airport,"Cataratas Del Iguazú International Airport",-25.737301,-54.4734,916,SA,AR,AR-N,"Puerto Iguazu",1,SARI,IGR,IGU,http://www.aa2000.com.ar/iguazu,https://en.wikipedia.org/wiki/Cataratas_del_Iguaz%C3%BA_International_Airport,Iguaçu,1050,2018-09-13T12:34:47+00:00
5835,SAWH,medium_airport,"Malvinas Argentinas Airport",-54.8433,-68.2958,102,SA,AR,AR-V,Ushuahia,1,SAWH,USH,USU,,http://en.wikipedia.org/wiki/Ushuaia_International_Airport,,1050,2011-02-13T13:26:18+00:00
5852,SAZS,medium_airport,"San Carlos De Bariloche Airport",-41.151199,-71.157501,2774,SA,AR,AR-R,"San Carlos de Bariloche",1,SAZS,BRC,BAR,http://www.aa2000.com.ar/bariloche,https://en.wikipedia.org/wiki/San_Carlos_de_Bariloche_Airport,,1050,2018-09-13T12:38:02+00:00
5831,SAWC,medium_airport,"El Calafate Airport",-50.2803,-72.053101,669,SA,AR,AR-Z,"El Calafate",1,SAWC,FTE,ECA,http://www.aeropuertoelcalafate.com/en/,https://en.wikipedia.org/wiki/Comandante_Armando_Tola_International_Airport,,250,2017-06-03T00:04:01+00:00
37,SA30,closed,"Colonia Catriel Airport",-37.9101982117,-67.8349990845,1026,SA,AR,AR-R,"Colonia Catriel",0,SA30,CCT,CLT,,http://en.wikipedia.org/wiki/Colonia_Catriel_Airport,"SA30, SA0U",50,2014-07-13T11:20:12+00:00
5786,SAME,medium_airport,"El Plumerillo Airport",-32.8316993713,-68.7929000854,2310,SA,AR,AR-M,Mendoza,1,SAME,MDZ,DOZ,,http://en.wikipedia.org/wiki/Governor_Francisco_Gabrielli_International_Airport,,1050,2011-02-17T01:49:01+00:00
5775,SADF,medium_airport,"San Fernando Airport",-34.4532,-58.5896,10,SA,AR,AR-B,"San Fernando",0,SADF,FDO,FDO,,,,250,2011-02-12T10:30:25+00:00
5770,SAAV,medium_airport,"Sauce Viejo Airport",-31.7117,-60.8117,55,SA,AR,AR-S,"Santa Fe",1,SAAV,SFN,SVO,,,,975,2011-02-12T09:15:43+00:00
5811,SASA,medium_airport,"Martin Miguel De Guemes International Airport",-24.856000900299996,-65.4861984253,4088,SA,AR,AR-A,Salta,1,SASA,SLA,SAL,,http://en.wikipedia.org/wiki/Mart%C3%ADn_Miguel_de_G%C3%BCemes_Airport,,1050,2011-07-03T00:07:47+00:00
5836,SAWJ,medium_airport,"Capitan D Daniel Vazquez Airport",-49.3068,-67.8026,203,SA,AR,AR-Z,"San Julian",1,SAWJ,ULA,SJU,,,,800,2011-02-13T13:06:13+00:00
5773,SACO,medium_airport,"Ingeniero Ambrosio Taravella Airport",-31.323601,-64.208,1604,SA,AR,AR-X,Cordoba,1,SACO,COR,CBA,,http://en.wikipedia.org/wiki/Ingeniero_Ambrosio_L.V._Taravella_International_Airport,,1050,2017-11-08T06:11:25+00:00
5834,SAWG,medium_airport,"Piloto Civil N. Fernández Airport",-51.6089,-69.3126,61,SA,AR,AR-Z,"Rio Gallegos",1,SAWG,RGL,GAL,,http://en.wikipedia.org/wiki/Piloto_Civil_Norberto_Fern%C3%A1ndez_International_Airport,"Brigadier General D. A. Parodi",1050,2011-02-13T13:44:01+00:00
5769,SAAR,medium_airport,"Islas Malvinas Airport",-32.9036,-60.785,85,SA,AR,AR-S,Rosario,1,SAAR,ROS,ROS,,http://en.wikipedia.org/wiki/Rosario_International_Airport,"Fisherton Airport",1050,2011-12-03T02:37:30+00:00
5847,SAZM,medium_airport,"Ástor Piazzola International Airport",-37.9342,-57.5733,72,SA,AR,AR-B,"Mar del Plata",1,SAZM,MDQ,MDP,,http://en.wikipedia.org/wiki/%C3%81stor_Piazzola_International_Airport,"Brigadier General Bartolome De La Colina International Airport",1050,2011-02-13T00:27:06+00:00
