id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6446,UDYZ,large_airport,"Zvartnots International Airport",40.1473007202,44.3959007263,2838,AS,AM,AM-ER,Yerevan,1,UDYZ,EVN,,http://www.aia-zvartnots.aero/,http://en.wikipedia.org/wiki/Zvartnots_International_Airport,"UGEE, Erevan Airport, Erivan Airport, Аэропорт Звартноц, Аэропорт Ереван",1200,2013-04-14T07:18:30+00:00
44384,UGEJ,medium_airport,"Dzhermuk Airport",39.8240013123,45.673999786399996,,AS,AM,AM-VD,Dzhermuk,0,UGEJ,,,,,"Аэропорт Джермук",0,2010-03-07T11:52:11+00:00
6444,UDSG,medium_airport,"Gyumri Shirak Airport",40.7504005432,43.859298706100006,5000,AS,AM,AM-SH,Gyumri,1,UDSG,LWN,,http://www.aviation.am/eng/gorc/aeroport.htm,http://en.wikipedia.org/wiki/Shirak_Airport,UGEL,800,2013-04-14T07:28:25+00:00
6443,UDLS,small_airport,"Stepanavan Airport",41.048500061,44.337200164799995,4836,AS,AM,AM-LO,Stepanavan,0,UDLS,,,,http://en.wikipedia.org/wiki/Stepanavan_Airport,"Kalinino Airport",50,2010-03-07T12:31:04+00:00
7,UD21,small_airport,"Yerevan Yegvard Airport",40.29410171508789,44.56460189819336,4416,AS,AM,AM-ER,Yerevan,0,UD21,,UD21,,,,50,2008-06-13T14:30:04+00:00
6445,UDYE,medium_airport,"Erebuni Airport",40.122100830099996,44.465000152600005,2948,AS,AM,AM-ER,Yerevan,0,UDYE,,,,http://en.wikipedia.org/wiki/Erebuni_Airport,"Аэропорт Эребуни",50,2010-03-07T11:42:29+00:00
44944,AM-0004,small_airport,"Berd Airport",40.925405606300004,45.4614043236,,AS,AM,AM-TV,Berd,0,,,,,,"Բերդ, Berrdagyugh, Berrdgyugh, T’avuzghala, T’auzk’end, T’ovuz, T’ous, Taua Kale, T’auzkala, Taya-Kala, Tovuzkala, Bert, T’ous Gale, Volorut, Shlorut, Ghalak’yand, T’uzukala",0,2010-03-07T11:34:04+00:00
44963,AM-0005,closed,"Gavar Airport",40.371201153899996,45.0973320007,,AS,AM,AM-GR,Gavar,0,,,,,,"Գավառ, Kyavar, Nor Bayezid, Novyi Bayaset, Novo Bayazet, Nor Bayazet, and Nor-Bajaset, Kamo",0,2010-03-07T12:19:46+00:00
44847,AM-0002,small_airport,"Shinuyar Airport",39.45098876949999,46.347240448,,AS,AM,AM-SU,Goris,0,,,,,http://en.wikipedia.org/wiki/Shinuyar_Airport,,0,2012-04-22T13:58:25+00:00
44931,AM-0003,small_airport,"Hoktember Highway Strip",40.0809774791,43.8822698593,,AS,AM,AM-AV,Hoktember,0,,,,,,"Oktember, Հոկտեմբեր, Sardarapat",0,2010-03-07T12:26:59+00:00
44682,AM-0001,closed,"Kapan Airport",39.202999115,46.4550018311,,AS,AM,AM-SU,Kapan,0,,,,,http://en.wikipedia.org/wiki/Kapan#Transportation,,0,2010-12-29T19:04:26+00:00
308048,AM-0007,closed,"Meghri Airport",38.9115725716,46.198925972,3900,AS,AM,AM-SU,Meghri,0,,,,,,,0,2012-11-26T12:56:01+00:00
44964,AM-0006,closed,"Mets Mazrik Airstrip",40.1998548891,45.7771110535,,AS,AM,AM-GR,"Mets Mazrik",0,,,,,,,0,2010-03-07T11:50:37+00:00
