id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
27145,YSSY,large_airport,"Sydney Kingsford Smith International Airport",-33.94609832763672,151.177001953125,21,OC,AU,AU-NSW,Sydney,1,YSSY,SYD,,http://www.sydneyairport.com.au/,http://en.wikipedia.org/wiki/Kingsford_Smith_International_Airport,"RAAF Station Mascot",1027975,2008-06-26T14:52:34+00:00
27066,YMML,large_airport,"Melbourne International Airport",-37.673302,144.843002,434,OC,AU,AU-VIC,Melbourne,1,YMML,MEL,,http://melbourneairport.com.au/,http://en.wikipedia.org/wiki/Melbourne_Airport,,1016075,2017-03-06T19:29:22+00:00
26901,YBBN,large_airport,"Brisbane International Airport",-27.384199142456055,153.11700439453125,13,OC,AU,AU-QLD,Brisbane,1,YBBN,BNE,,,http://en.wikipedia.org/wiki/Brisbane_Airport,,1013175,2008-06-26T14:52:34+00:00
27119,YPPH,large_airport,"Perth International Airport",-31.94029998779297,115.96700286865234,67,OC,AU,AU-WA,Perth,1,YPPH,PER,,,http://en.wikipedia.org/wiki/Perth_Airport,,51375,2008-06-26T14:52:34+00:00
26904,YBCS,medium_airport,"Cairns International Airport",-16.885799408,145.755004883,10,OC,AU,AU-QLD,Cairns,1,YBCS,CNS,,,http://en.wikipedia.org/wiki/Cairns_International_Airport,,1050,2010-08-29T23:17:14+00:00
27096,YPAD,large_airport,"Adelaide International Airport",-34.945,138.531006,20,OC,AU,AU-SA,Adelaide,1,YPAD,ADL,,,http://en.wikipedia.org/wiki/Adelaide_International_Airport,,975,2017-05-16T06:15:44+00:00
27101,YPDN,medium_airport,"Darwin International Airport",-12.41469955444336,130.8769989013672,103,OC,AU,AU-NT,Darwin,1,YPDN,DRW,,http://www.darwin-airport.com.au/,http://en.wikipedia.org/wiki/Darwin_International_Airport,"RAAF Base Darwin",975,2008-08-01T10:53:13+00:00
26902,YBCG,medium_airport,"Gold Coast Airport",-28.1644001007,153.505004883,21,OC,AU,AU-QLD,"Gold Coast",1,YBCG,OOL,,,http://en.wikipedia.org/wiki/Gold_Coast_Airport,,800,2015-09-07T20:06:40+00:00
27131,YSCB,large_airport,"Canberra International Airport",-35.30690002441406,149.19500732421875,1886,OC,AU,AU-ACT,Canberra,1,YSCB,CBR,,,http://en.wikipedia.org/wiki/Canberra_International_Airport,"RAAF Base Fairbairn",1150,2008-10-20T11:48:59+00:00
