id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4434,LOWW,large_airport,"Vienna International Airport",48.110298156738,16.569700241089,600,EU,AT,AT-9,Vienna,1,LOWW,VIE,,http://www.viennaairport.com/en/,http://en.wikipedia.org/wiki/Vienna_International_Airport,,1013675,2015-08-08T12:17:38+00:00
4433,LOWS,medium_airport,"Salzburg Airport",47.793300628699996,13.0043001175,1411,EU,AT,AT-5,Salzburg,1,LOWS,SZG,,http://www.salzburg-airport.com/,http://en.wikipedia.org/wiki/Salzburg_Airport,,1050,2014-03-22T03:54:58+00:00
4431,LOWI,medium_airport,"Innsbruck Airport",47.260201,11.344,1907,EU,AT,AT-7,Innsbruck,1,LOWI,INN,,http://www.innsbruck-airport.com/,http://en.wikipedia.org/wiki/Innsbruck_Airport,,1050,2016-10-31T06:50:11+00:00
4430,LOWG,medium_airport,"Graz Airport",46.9911003112793,15.439599990844727,1115,EU,AT,AT-6,Graz,1,LOWG,GRZ,,http://www.flughafen-graz.at/,http://en.wikipedia.org/wiki/Graz_Airport,"Thalerhof Airport, Fliegerhorst Nittner, Nittner Air Base",1050,2009-07-01T11:35:35+00:00
4432,LOWL,medium_airport,"Linz Hörsching Airport",48.2332,14.1875,980,EU,AT,AT-4,Linz,1,LOWL,LNZ,,http://www.flughafen-linz.at/,http://en.wikipedia.org/wiki/Linz_Airport,"Blue Danube Airport, Vogler Air Base, Fliegerhorst Vogler",1050,2016-10-31T19:03:42+00:00
4435,LOWK,medium_airport,"Klagenfurt Airport",46.642502,14.3377,1472,EU,AT,AT-2,"Klagenfurt am Wörthersee",1,LOWK,KLU,,http://www.klagenfurt-airport.com/,http://en.wikipedia.org/wiki/Klagenfurt_Airport,,650,2016-10-31T06:53:52+00:00
28138,LOWZ,small_airport,"Zell Am See Airport",47.292222,12.7875,2470,EU,AT,AT-5,"Zell Am See",0,LOWZ,,,http://www.flugplatz-zellamsee.at/,,,50,2016-04-16T08:12:13+00:00
4428,LOAN,medium_airport,"Wiener Neustadt East Airport",47.843299865722656,16.260099411010742,896,EU,AT,AT-3,"Wiener Neustadt",0,LOAN,,,http://www.loan-airport.at/,,,250,2008-07-26T18:06:35+00:00
4429,LOLW,small_airport,"Wels Airport",48.18330001831055,14.040900230407715,1043,EU,AT,AT-4,Wels,0,LOLW,,,,,,50,2009-03-23T20:54:43+00:00
28135,LOAG,small_airport,"Krems Airport",48.446389,15.634167,1017,EU,AT,AT-3,Krems,0,LOAG,,,,,,50,2016-10-31T06:55:44+00:00
29448,LOAU,small_airport,"Stockerau Airport",48.40999984741211,16.191699981689453,686,EU,AT,AT-3,Stockerau,0,LOAU,,,,,,50,2008-07-26T17:53:53+00:00
28136,LOAV,small_airport,"Vöslau Airport",47.96500015258789,16.260000228881836,765,EU,AT,AT-3,"Bad Vöslau",0,LOAV,,,http://www.loav.at/,,,50,2009-03-23T20:54:29+00:00
4436,LOXZ,medium_airport,"Hinterstoisser Air Base",47.202801,14.7442,2264,EU,AT,AT-6,Zeltweg,0,LOXZ,,,,http://en.wikipedia.org/wiki/Zeltweg_Airfield,"Zeltweg Airport, Fliegerhorst Hinterstoisser",250,2016-10-31T13:08:22+00:00
29449,LOGF,small_airport,"Fuerstenfeld Airport",47.0625,16.085599899291992,830,EU,AT,AT-6,Fuerstenfeld,0,LOGF,,,,,,50,2008-07-26T17:01:24+00:00
