id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6440,UBBB,large_airport,"Heydar Aliyev International Airport",40.467498779296875,50.04669952392578,10,AS,AZ,AZ-BA,Baku,1,UBBB,GYD,,http://www.airport-baku.com/,http://en.wikipedia.org/wiki/Heydar_Aliyev_International_Airport,"BAK, Bina International Airport, Heydər Əliyev adına beynəlxalq hava limanı",1375,2009-02-04T19:14:04+00:00
6442,UBBN,medium_airport,"Nakhchivan Airport",39.18880081176758,45.45840072631836,2863,AS,AZ,AZ-NX,Nakhchivan,1,UBBN,NAJ,,,http://en.wikipedia.org/wiki/Nakhichevan_Airport,"Nakhichevan Airport, Аэропорт Нахичевань, UB15",875,2009-03-15T18:22:46+00:00
6441,UBBG,medium_airport,"Ganja Airport",40.737701416015625,46.31760025024414,1083,AS,AZ,AZ-GA,Ganja,1,UBBG,KVD,,,http://en.wikipedia.org/wiki/Ganja_Airport,"Gyandzha Airport, Аэропорт Гянджа",800,2009-03-18T11:52:59+00:00
74,UB13,medium_airport,"Stepanakert Air Base",39.90140151977539,46.7869987487793,2001,AS,AZ,AZ-XCI,Stepanakert,0,,,,,http://en.wikipedia.org/wiki/Stepanakert_Air_Base,"UB13, Nagorno-Karabakh Republic",50,2009-02-04T19:24:05+00:00
300740,UBBQ,medium_airport,"Gabala International Airport",40.826667,47.7125,935,AS,AZ,AZ-QAB,Gabala,1,UBBQ,GBB,,,http://en.wikipedia.org/wiki/Gabala_Airport,"Qəbələ, Qabala",0,2016-06-23T04:13:53+00:00
35339,UBBA,small_airport,"Akstafa Airport",41.122398376464844,45.424800872802734,1085,AS,AZ,AZ-AGA,Akstafa,0,UBBA,,,,http://en.wikipedia.org/wiki/Akstafa_Airport,"Aghstafa Airport, Agstafa Airport, UB17",50,2009-03-15T18:24:41+00:00
77,UB18,medium_airport,"Baku Kala Air Base",40.40660095214844,50.200199127197266,40,AS,AZ,AZ-BA,Baku,0,,,,,http://en.wikipedia.org/wiki/Baku_Kala_Air_Base,UB18,50,2009-02-04T18:58:38+00:00
76,UB16,small_airport,"Belokany Airport",41.73500061035156,46.35499954223633,935,AS,AZ,AZ-BAL,Belokany,0,,,,,http://en.wikipedia.org/wiki/Belokany_Airport,"Аэропорт Белоканы, UB16",50,2009-04-22T15:40:08+00:00
78,UG11,medium_airport,"Dollyar Air Base",40.88759994506836,45.957000732421875,1099,AS,AZ,AZ-SKR,Dollyar,0,,,,,http://en.wikipedia.org/wiki/Dollyar_Air_Base,"Dallyar Air Base, Аэродром Долляр, Аэродром Далляр",50,2009-04-28T18:16:00+00:00
75,UB14,medium_airport,"Kyurdamir Air Base",40.27360153198242,48.16360092163086,-35,AS,AZ,AZ-KUR,Kyurdamir,0,,,,,http://en.wikipedia.org/wiki/Kyurdamir_Air_Base,,50,2009-02-04T18:54:48+00:00
72,UBBL,small_airport,"Lankaran International Airport",38.746398925799994,48.8180007935,30,AS,AZ,AZ-LA,Lankaran,1,UBBL,LLK,,,http://en.wikipedia.org/wiki/Lankaran_International_Airport,"UB10, Lenkoran",50,2012-11-24T06:11:59+00:00
73,UB12,medium_airport,"Nasosnaya Air Base",40.59159851074219,49.55739974975586,-13,AS,AZ,AZ-SM,Nasosnaya,0,,,,,http://en.wikipedia.org/wiki/Nasosnaya_Air_Base,UB12,50,2009-02-04T19:11:42+00:00
32504,UBEE,small_airport,"Yevlakh Airport",40.631901,47.141899,49,AS,AZ,AZ-YE,Yevlakh,0,UBEE,YLV,,,http://en.wikipedia.org/wiki/Yevlakh_Airport,"Аэропорт Евлах",50,2016-05-13T21:00:33+00:00
44951,AZ-0010,small_airport,"Agdzhabedi Airport",40.0222906243,47.4493503571,,AS,AZ,AZ-AGC,,0,,,,,,,0,2009-09-03T07:05:01+00:00
44953,AZ-0012,small_airport,"Aghdam Airport",39.9760019628,47.000144720099996,,AS,AZ,AZ-AGM,,0,,,,,,,0,2009-09-03T07:10:14+00:00
44947,AZ-0006,small_airport,"Aghdas Airport",40.663427608300005,47.514098882700004,,AS,AZ,AZ-AGS,,0,,,,,,,0,2009-09-03T06:03:52+00:00
44955,AZ-0014,small_airport,"Baku Lokbatan Airport",40.3499619803,49.6697258949,,AS,AZ,AZ-BA,,0,,,,,,,0,2009-09-03T07:18:32+00:00
44956,AZ-0015,small_airport,"Sangachaly Air Base",40.1297707563,49.4549560547,,AS,AZ,AZ-BA,,0,,,,,,,0,2009-09-03T07:59:10+00:00
44957,AZ-0016,small_airport,"Pirsagat Airport",39.8539990554,49.340018034,,AS,AZ,AZ-BA,,0,,,,,,,0,2009-09-03T08:02:58+00:00
44961,AZ-0020,closed,"Pushkino East Air Base",39.516042989899994,48.690633773799995,,AS,AZ,AZ-BIL,,0,,,,,,,0,2009-09-03T08:44:50+00:00
44952,AZ-0011,small_airport,"Fizuli East Airport",39.5945777411,47.1961283684,,AS,AZ,AZ-FUZ,,0,,,,,,,0,2009-09-03T07:07:13+00:00
44945,AZ-0004,small_airport,"Naftalan Airport",40.515919835599995,46.8294811249,,AS,AZ,AZ-GOR,,0,,,,,,,0,2009-09-03T05:48:51+00:00
44948,AZ-0007,closed,"Göyçay Airport",40.6231834773,47.7628523111,,AS,AZ,AZ-GOY,,0,,,,,,,0,2009-09-03T06:08:13+00:00
44949,AZ-0008,small_airport,"Bygyr Airport",40.529074712500005,47.8300738335,,AS,AZ,AZ-GOY,,0,,,,,,,0,2009-09-03T06:12:56+00:00
44958,AZ-0017,small_airport,"Kazı Magomed Airport",40.0309399667,48.902764320399996,,AS,AZ,AZ-HAC,,0,,,,,,,0,2009-09-03T08:10:19+00:00
44950,AZ-0009,small_airport,"Mollakend Airport",40.1204185512,48.14571619029999,,AS,AZ,AZ-KUR,,0,,,,,,,0,2009-09-03T07:01:53+00:00
44962,AZ-0021,medium_airport,"Kyzylagadzh Air Base",39.006162267899995,48.806312084199995,,AS,AZ,AZ-MAS,,0,,,,,,,0,2009-09-03T08:49:01+00:00
44943,AZ-0003,small_airport,"Shaki Airport",41.136552672499995,47.1595001221,,AS,AZ,AZ-SA,,0,,,,,,,0,2009-09-03T04:27:25+00:00
44959,AZ-0018,small_airport,"Karachala Airport",39.831790367,48.9667510986,,AS,AZ,AZ-SAL,,0,,,,,,,0,2009-09-03T08:32:11+00:00
44960,AZ-0019,small_airport,"Salyany Air Base",39.649550370200004,48.9915776253,,AS,AZ,AZ-SAL,,0,,,,,,,0,2009-09-03T08:35:32+00:00
44942,AZ-0002,small_airport,"Khachmas Airfield",41.4578767267,48.83039832119999,,AS,AZ,AZ-XAC,,0,,,,,,,0,2009-09-03T04:23:10+00:00
44954,AZ-0013,medium_airport,"Sital Chay Airport",40.8073129238,49.431481361399996,,AS,AZ,AZ-XIZ,,0,,,,,,,0,2009-09-03T07:14:39+00:00
44946,AZ-0005,small_airport,"Tanrykulular Airport",40.742900144699995,46.8570113182,,AS,AZ,AZ-YE,,0,,,,,,,0,2009-09-03T06:01:23+00:00
44941,AZ-0001,medium_airport,"Zabrat Airport",40.4955422161,49.9768066406,36,AS,AZ,AZ-BA,Baku,0,UBTT,ZXT,,,https://en.wikipedia.org/wiki/Zabrat_Airport,,0,2015-08-07T19:38:39+00:00
43883,UBBY,small_airport,"Zaqatala International Airport",41.562222,46.667221,1279,AS,AZ,AZ-ZAQ,Zaqatala,1,UBBY,ZTU,,,http://en.wikipedia.org/wiki/Zaqatala_International_Airport,"Zakataly Airport",0,2016-06-23T04:14:22+00:00
