id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26534,VGZR,large_airport,"Hazrat Shahjalal International Airport",23.843347,90.397783,30,AS,BD,BD-3,Dhaka,1,VGHS,DAC,,,https://en.wikipedia.org/wiki/Shahjalal_International_Airport,"VGZR, Zia International Airport, Dacca International Airport, Hazrat Shahjalal International Airport",1050,2019-01-13T12:00:15+00:00
26527,VGEG,medium_airport,"Shah Amanat International Airport",22.24959945678711,91.81330108642578,12,AS,BD,BD-2,Chittagong,1,VGEG,CGP,,,http://en.wikipedia.org/wiki/Shah_Amanat_International_Airport,"M.A. Hannan International Airport",1050,2009-06-26T08:28:59+00:00
26526,VGCB,medium_airport,"Cox's Bazar Airport",21.452199935913086,91.96389770507812,12,AS,BD,BD-2,"Cox's Bazar",1,VGCB,CXB,,,http://en.wikipedia.org/wiki/Cox's_Bazar_Airport,,800,2009-06-26T07:41:09+00:00
26532,VGSY,medium_airport,"Osmany International Airport",24.963199615478516,91.8667984008789,50,AS,BD,BD-6,Sylhet,1,VGSY,ZYL,,,http://en.wikipedia.org/wiki/Osmani_International_Airport,,925,2009-06-26T07:43:46+00:00
26525,VGBR,medium_airport,"Barisal Airport",22.801000595092773,90.30120086669922,23,AS,BD,BD-1,Barisal,1,VGBR,BZL,,,http://en.wikipedia.org/wiki/Barisal_Airport,,800,2009-06-26T07:39:05+00:00
26529,VGJR,medium_airport,"Jessore Airport",23.183799743652344,89.16079711914062,20,AS,BD,BD-4,Jashahor,1,VGJR,JSR,,,http://en.wikipedia.org/wiki/Jessore_Airport,,800,2009-06-26T07:43:15+00:00
26531,VGSD,medium_airport,"Saidpur Airport",25.759199142456055,88.90889739990234,125,AS,BD,BD-5,Saidpur,1,VGSD,SPD,,,http://en.wikipedia.org/wiki/Saidpur_Airport,,800,2009-06-26T07:44:14+00:00
30832,VGCM,small_airport,"Comilla Airport",23.43720054626465,91.189697265625,25,AS,BD,BD-2,Comilla,0,VGCM,CLA,,,,,50,2009-06-26T07:40:27+00:00
26530,VGRJ,medium_airport,"Shah Mokhdum Airport",24.43720054626465,88.61650085449219,64,AS,BD,BD-5,Rajshahi,1,VGRJ,RJH,,,http://en.wikipedia.org/wiki/Shah_Makhdum_Airport,,800,2009-06-26T07:45:13+00:00
26528,VGIS,medium_airport,"Ishurdi Airport",24.15250015258789,89.04940032958984,45,AS,BD,BD-5,Ishurdi,0,VGIS,IRD,,,,,250,2009-06-26T07:42:19+00:00
26533,VGTJ,small_airport,"Tejgaon Airport",23.778799057006836,90.38269805908203,24,AS,BD,BD-3,Dhaka,0,VGTJ,,,,http://en.wikipedia.org/wiki/Tejgaon_Airport,,50,2009-06-26T07:50:09+00:00
31831,VGLM,small_airport,"Lalmonirhat Airport",25.887500762939453,89.43309783935547,106,AS,BD,BD-5,Lalmonirhat,0,VGLM,LLJ,,,,,50,2009-06-26T07:51:49+00:00
32744,VGSH,small_airport,"Shamshernagar Airport",24.416999816900002,91.8830032349,56,AS,BD,BD-6,Shamshernagar,0,VGSH,ZHM,,,http://en.wikipedia.org/wiki/Shamshernagar_STOLport,,50,2013-11-03T01:10:24+00:00
32455,VGSG,small_airport,"Thakurgaon Airport",26.016399383544922,88.40360260009766,176,AS,BD,BD-5,Thakurgaon,0,VGSG,TKR,,,,,50,2009-06-26T07:50:34+00:00
309876,VGBG,small_airport,"Bogra Airport",24.8668,89.3165,69,AS,BD,BD-5,Bogra,0,VGBG,,,,http://en.wikipedia.org/wiki/Bogra_STOLport,,0,2014-07-23T16:07:58+00:00
313421,KHL,closed,"Khan Jahan Ali Airport",22.6486,89.6454,21,AS,BD,BD-4,Khulna,0,,KHL,,,http://en.wikipedia.org/wiki/Khan_Jahan_Ali_Airport,"Mongla, Bagerhat",0,2014-12-20T02:54:13+00:00
