id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2155,EBBR,large_airport,"Brussels Airport",50.901401519800004,4.48443984985,184,EU,BE,BE-BRU,Brussels,1,EBBR,BRU,,http://www.brusselsairport.be/en/,http://en.wikipedia.org/wiki/Brussels_Airport,,1024675,2011-06-29T18:07:02+00:00
2157,EBCI,large_airport,"Brussels South Charleroi Airport",50.459202,4.45382,614,EU,BE,BE-WHT,Brussels,1,EBCI,CRL,,http://www.charleroi-airport.com/doc.php?nd=o29&tid=29&lg=2&docid=1&site=1,http://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport,"Gosselies Airport",1050,2017-05-01T23:16:18+00:00
2152,EBAW,medium_airport,"Antwerp International Airport (Deurne)",51.1893997192,4.46027994156,39,EU,BE,BE-VAN,Antwerp,1,EBAW,ANR,,http://www.antwerp-airport.be/,http://en.wikipedia.org/wiki/Antwerp_International_Airport,,1050,2010-08-31T21:47:09+00:00
2163,EBOS,medium_airport,"Ostend-Bruges International Airport",51.198898315399994,2.8622200489,13,EU,BE,BE-VWV,Ostend,1,EBOS,OST,,http://www.ost.aero/,http://en.wikipedia.org/wiki/Ostend-Bruges_International_Airport,,475,2013-08-31T12:51:54+00:00
2162,EBLG,large_airport,"Liège Airport",50.63740158081055,5.443220138549805,659,EU,BE,BE-WLG,Liège,1,EBLG,LGG,,http://www.liegeairport.be/,http://en.wikipedia.org/wiki/Li%C3%A8ge_Airport,,1475,2009-03-21T16:48:57+00:00
2161,EBKT,medium_airport,"Wevelgem Airport",50.817199707,3.20472002029,64,EU,BE,BE-VWV,Wevelgem,0,EBKT,KJK,,http://www.kortrijkairport.be,http://en.wikipedia.org/wiki/Kortrijk-Wevelgem_International_Airport,,250,2014-06-15T07:09:14+00:00
29059,EBZW,small_airport,"Genk Zwartberg Airfield",51.0154,5.52647,278,EU,BE,BE-VLI,Genk,0,EBZW,,,http://www.ebzw.be,,,50,2017-05-01T13:28:32+00:00
2167,EBUL,small_airport,"Ursel Air Base",51.14419937133789,3.475559949874878,95,EU,BE,BE-VOV,Ursel,0,EBUL,,,,,,50,2009-03-21T16:48:57+00:00
29050,EBSP,small_airport,"Spa (la Sauvenière) Airport",50.48249816894531,5.910299777984619,1581,EU,BE,BE-WLG,Spa,0,EBSP,,,,,,50,2008-07-13T21:58:16+00:00
29036,EBKH,small_airport,"Balen-Keiheuvel Airfield",51.180957,5.221124,131,EU,BE,BE-VAN,Balen,0,EBKH,,,http://www.aeroclub-keiheuvel.be/,http://en.wikipedia.org/wiki/Balen-Keiheuvel_Aerodrome,,50,2014-06-27T11:08:44+00:00
29048,EBSH,small_airport,"St Hubert Airfield",50.0359,5.40425,1930,EU,BE,BE-WLX,"Saint Hubert",0,EBSH,,,http://www.sainthubert-airport.com/,,,50,2019-02-18T01:15:36+00:00
