id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4956,MZBZ,large_airport,"Philip S. W. Goldson International Airport",17.539100646972656,-88.30819702148438,15,NA,BZ,BZ-BZ,"Belize City",1,MZBZ,BZE,,http://www.pgiabelize.com/,http://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport,"Belize International, Ladyville",875,2009-07-06T13:23:12+00:00
32370,BZ-SPR,medium_airport,"San Pedro Airport",17.9139,-87.9711,4,NA,BZ,BZ-CY,"San Pedro",1,MZSP,SPR,,,http://en.wikipedia.org/wiki/San_Pedro_Airport,,450,2018-12-28T16:19:29+00:00
42215,BZ-TZA,medium_airport,"Belize City Municipal Airport",17.516389846801758,-88.19444274902344,16,NA,BZ,BZ-BZ,"Belize City",1,,TZA,,,http://en.wikipedia.org/wiki/Belize_City_Municipal_Airport,,50,2009-07-06T12:50:47+00:00
42217,BZ-PLJ,medium_airport,"Placencia Airport",16.536956787109375,-88.36151123046875,3,NA,BZ,BZ-SC,Placencia,1,,PLJ,,,http://en.wikipedia.org/wiki/Placencia_Airport,,50,2009-07-06T13:17:09+00:00
30861,BZ-CUK,medium_airport,"Caye Caulker Airport",17.734699249267578,-88.03250122070312,1,NA,BZ,BZ-BZ,"Caye Caulker",1,,CUK,,,http://en.wikipedia.org/wiki/Caye_Caulker_Airport,,450,2009-07-06T13:04:36+00:00
35305,BZ-PND,medium_airport,"Punta Gorda Airport",16.102399826,-88.80829620360001,7,NA,BZ,BZ-TOL,"Punta Gorda",1,,PND,,,http://en.wikipedia.org/wiki/Punta_Gorda_Airport,,450,2009-12-11T18:18:40+00:00
42209,BZ-CZH,medium_airport,"Corozal Municipal Airport",18.382200241088867,-88.41190338134766,40,NA,BZ,BZ-CZL,Corozal,1,,CZH,,,http://en.wikipedia.org/wiki/Corozal_Airport,"Ranchito Airport",50,2009-07-06T13:04:14+00:00
42207,BZ-DGA,medium_airport,"Dangriga Airport",16.98250961303711,-88.23098754882812,508,NA,BZ,BZ-SC,Dangriga,1,,DGA,,,http://en.wikipedia.org/wiki/Dangriga_Airport,"Stann Creek Airport",50,2009-07-06T13:03:29+00:00
42212,BZ-ORZ,small_airport,"Orange Walk Airport",18.0467662811,-88.58386993410001,111,NA,BZ,BZ-OW,"Orange Walk",0,,ORZ,,,http://en.wikipedia.org/wiki/Orange_Walk_Airport,,50,2013-09-14T19:52:54+00:00
44573,BZ-BCV,small_airport,"Hector Silva Airstrip",17.269603,-88.776496,150,NA,BZ,BZ-CY,Belmopan,1,,BCV,,http://www.flightstats.com/go/Airport/airportDetails.do?airportCode=BCV,https://en.wikipedia.org/wiki/Hector_Silva_Airstrip,"Belmopan Airport",0,2018-06-01T17:52:57+00:00
42216,BZ-BGK,medium_airport,"Big Creek Airport",16.51936912536621,-88.40791320800781,3,NA,BZ,BZ-SC,"Big Creek",1,,BGK,,,http://en.wikipedia.org/wiki/Big_Creek_Airport_(Belize),,50,2009-07-06T12:54:58+00:00
30867,BZ-CYC,medium_airport,"Caye Chapel Airport",17.7007999420166,-88.04109954833984,3,NA,BZ,BZ-BZ,"Caye Chapel",1,,CYC,,,http://en.wikipedia.org/wiki/Caye_Chapel_Airport,,50,2009-07-06T13:05:00+00:00
42213,BZ-INB,small_airport,"Independence Airport",16.534500122070312,-88.44129943847656,18,NA,BZ,BZ-SC,Independence,0,,INB,,,,,50,2009-07-06T13:12:20+00:00
