id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2087,DBBB,medium_airport,"Cadjehoun Airport",6.357230186462402,2.384350061416626,19,AF,BJ,BJ-AQ,Cotonou,1,DBBB,COO,,,http://en.wikipedia.org/wiki/Cadjehoun_Airport,,1050,2008-06-13T14:30:04+00:00
30881,DBBR,small_airport,"Bembereke Airport",10.27409,2.697082,1188,AF,BJ,BJ-BO,Bembereke,0,DBBR,,,,http://en.wikipedia.org/wiki/Bembereke_Airport,,50,2016-05-31T07:54:47+00:00
30879,DBBC,small_airport,"Cana Airport",7.125417,2.046806,548,AF,BJ,BJ-ZO,Bohicon,0,DBBC,,,,https://en.wikipedia.org/wiki/Cana_Airport,,50,2016-05-31T07:49:18+00:00
31734,DBBK,small_airport,"Kandi Airport",11.14479,2.940381,951,AF,BJ,BJ-AL,Kandi,0,DBBK,KDC,,,https://en.wikipedia.org/wiki/Kandi_Airport,,50,2016-05-31T07:50:22+00:00
32001,DBBN,small_airport,"Natitingou Airport",10.376965,1.360507,1512,AF,BJ,BJ-AK,Natitingou,0,DBBN,NAE,,,https://en.wikipedia.org/wiki/Bound%C3%A9tingou_Airport,,50,2016-05-31T07:52:10+00:00
32162,DBBP,small_airport,"Parakou Airport",9.35768985748291,2.609679937362671,1266,AF,BJ,BJ-BO,Parakou,0,DBBP,PKO,,,http://en.wikipedia.org/wiki/Parakou_Airport,,50,2009-03-04T21:41:58+00:00
30880,DBBO,small_airport,"Porga Airport",11.046563,0.992613,531,AF,BJ,BJ-AK,Porga,0,DBBO,,,,https://en.wikipedia.org/wiki/Porga_Airport,,50,2016-05-31T07:52:48+00:00
35350,DBBS,small_airport,"Savé Airport",8.018170356750488,2.4645800590515137,597,AF,BJ,BJ-CO,Savé,0,DBBS,SVF,,,http://en.wikipedia.org/wiki/Sav%C3%A9_Airport,,50,2009-08-19T08:29:03+00:00
302113,DBBD,small_airport,"Djougou Airport",9.69208333333,1.63777777778,1480,AF,BJ,BJ-DO,Djougou,0,DBBD,DJA,,,http://en.wikipedia.org/wiki/Djougou_Airport,,0,2012-07-19T22:19:27+00:00
323997,BJ-0001,small_airport,"Tankaro Airport",9.391186,2.507311,,AF,BJ,BJ-BO,Parakou,0,,,,,,,0,2017-06-20T04:05:46+00:00
