id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6184,SLLP,medium_airport,"El Alto International Airport",-16.5132999420166,-68.19229888916016,13355,SA,BO,BO-L,"La Paz / El Alto",1,SLLP,LPB,,,http://en.wikipedia.org/wiki/El_Alto_International_Airport,,1050,2008-07-14T12:56:12+00:00
6193,SLVR,large_airport,"Viru Viru International Airport",-17.6448,-63.135399,1224,SA,BO,BO-S,"Santa Cruz",1,SLVR,VVI,,,http://en.wikipedia.org/wiki/Viru_Viru_International_Airport,,1050,2019-01-13T13:52:47+00:00
6180,SLCB,medium_airport,"Jorge Wilsterman International Airport",-17.421100616455078,-66.1771011352539,8360,SA,BO,BO-C,Cochabamba,1,SLCB,CBB,,,http://en.wikipedia.org/wiki/Jorge_Wilstermann_International_Airport,,875,2008-07-14T12:56:12+00:00
6189,SLSU,medium_airport,"Juana Azurduy De Padilla Airport",-19.007099151611328,-65.2886962890625,9540,SA,BO,BO-H,Sucre,1,SLSU,SRE,,,http://en.wikipedia.org/wiki/Juana_Azurduy_de_Padilla_International_Airport,,875,2008-07-14T12:56:12+00:00
6183,SLET,medium_airport,"El Trompillo Airport",-17.8115997314,-63.1715011597,1371,SA,BO,BO-S,"Santa Cruz",1,SLET,SRZ,,,http://en.wikipedia.org/wiki/El_Trompillo_Airport,,875,2012-01-28T13:03:47+00:00
41591,BO-0001,small_airport,"Rurenabaque Airport",-14.427900314299999,-67.4968032837,676,SA,BO,BO-B,Rurenabaque,0,SLRQ,RBQ,,,http://en.wikipedia.org/wiki/Rurrenabaque_Airport,,50,2012-01-28T12:44:54+00:00
6190,SLTJ,medium_airport,"Capitan Oriel Lea Plaza Airport",-21.5557003021,-64.7013015747,6079,SA,BO,BO-T,Tarija,1,SLTJ,TJA,,,http://en.wikipedia.org/wiki/Cap._Oriel_Lea_Plaza_Airport,,875,2012-01-28T13:06:25+00:00
6191,SLTR,medium_airport,"Teniente Av. Jorge Henrich Arauz Airport",-14.8186998367,-64.9179992676,509,SA,BO,BO-B,Trinidad,0,SLTR,TDD,,,http://en.wikipedia.org/wiki/Tte._Av._Jorge_Henrich_Arauz_Airport,,275,2012-01-28T13:08:41+00:00
6182,SLCO,medium_airport,"Capitán Aníbal Arab Airport",-11.040399551400002,-68.7829971313,889,SA,BO,BO-N,Cobija,1,SLCO,CIJ,,,http://en.wikipedia.org/wiki/Cap._Anibal_Arab_Airport,,875,2012-01-28T12:21:02+00:00
29926,SLGY,small_airport,"Capitán de Av. Emilio Beltrán Airport",-10.820599556,-65.3455963135,557,SA,BO,BO-B,Guayaramerín,1,SLGY,GYA,,,http://en.wikipedia.org/wiki/Guayaramer%C3%ADn_Airport,,450,2012-01-28T12:25:17+00:00
30334,SLRI,small_airport,"Capitán Av. Selin Zeitun Lopez Airport",-11,-66,462,SA,BO,BO-B,Riberalta,1,SLRI,RIB,,,http://en.wikipedia.org/wiki/Cap._Av._Selin_Zeitun_Lopez_Airport,,450,2012-01-28T12:40:27+00:00
30364,SLSB,small_airport,"Capitán Av. German Quiroga G. Airport",-14.859199523925781,-66.73750305175781,633,SA,BO,BO-B,"San Borja",1,SLSB,SRJ,,,http://en.wikipedia.org/wiki/Capitán_Germán_Quiroga_Guardia_Airport,,450,2009-01-17T11:45:49+00:00
39530,SLPR,small_airport,"Puerto Rico Airport",-11.107663,-67.551155,597,SA,BO,BO-N,"Puerto Rico/Manuripi",1,SLPR,PUR,,,https://en.wikipedia.org/wiki/Puerto_Rico_Airport,,350,2018-09-16T02:59:35+00:00
30331,SLRY,small_airport,"Reyes Airport",-14.3044,-67.353401,935,SA,BO,BO-B,Reyes,1,SLRY,REY,,,https://en.wikipedia.org/wiki/Reyes_Airport,,350,2018-09-16T02:58:20+00:00
6187,SLPS,medium_airport,"Capitán Av. Salvador Ogaya G. airport",-18.975301,-57.820599,440,SA,BO,BO-S,"Puerto Suárez",1,SLPS,PSZ,,,http://en.wikipedia.org/wiki/Puerto_Su%C3%A1rez_International_Airport,,275,2018-10-25T00:22:54+00:00
6194,SLYA,medium_airport,"Yacuiba Airport",-21.960899353027344,-63.65169906616211,2112,SA,BO,BO-T,Yacuíba,0,SLYA,BYC,,,http://en.wikipedia.org/wiki/Yacuiba_Airport,,275,2008-07-14T12:56:12+00:00
