id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4469,LQSA,large_airport,"Sarajevo International Airport",43.82460021972656,18.331499099731445,1708,EU,BA,BA-BIH,Sarajevo,1,LQSA,SJJ,,http://www.sarajevo-airport.ba/,http://en.wikipedia.org/wiki/Sarajevo_International_Airport,,1200,2008-06-13T14:30:04+00:00
4467,LQBK,medium_airport,"Banja Luka International Airport",44.94139862060547,17.297500610351562,400,EU,BA,BA-SRP,"Banja Luka",1,LQBK,BNX,,http://www.banjaluka-airport.com/,http://en.wikipedia.org/wiki/Banja_Luka_International_Airport,"Mahovljani Airport",875,2008-06-13T14:30:04+00:00
4468,LQMO,medium_airport,"Mostar International Airport",43.282901763916016,17.84589958190918,156,EU,BA,BA-BIH,Mostar,1,LQMO,OMO,,http://www.mostar-airport.ba/,http://en.wikipedia.org/wiki/Mostar_International_Airport,,800,2009-01-03T12:42:06+00:00
4470,LQTZ,medium_airport,"Tuzla International Airport",44.45869827270508,18.72480010986328,784,EU,BA,BA-BIH,Tuzla,0,LQTZ,TZL,,http://www.tuzla-airport.ba/,http://en.wikipedia.org/wiki/Tuzla_International_Airport,,475,2008-06-13T14:30:04+00:00
29705,LQBI,small_airport,"Bihać sportski aerodrom - Bihac sport Airfield",44.7959367906,15.9035682678,761,EU,BA,BA-BIH,Bihać,0,LQBI,,,,,,50,2011-05-25T16:08:25+00:00
30293,LQPD,small_airport,"Prijedor Urije Airport",44.993986,16.735457,591,EU,BA,BA-SRP,Prijedor,0,LQPD,,,,,,50,2017-07-13T09:17:10+00:00
43884,BA-0001,small_airport,"Sport airfield Ciljuge",44.438152313232,18.685613632202,725,EU,BA,BA-BIH,Tuzla,0,LQCG,,,,,,0,2015-06-07T15:46:03+00:00
30079,LQLV,small_airport,"Livno Brda Bosni Airport",43.79309844970703,16.90690040588379,2349,EU,BA,BA-BIH,Livno,0,LQLV,,,,,,50,2009-03-27T18:04:39+00:00
30500,LQJL,small_airport,"Tuzla Jegin Lug Sport Airfield",44.4578018188,18.8083000183,869,EU,BA,BA-BIH,Tuzla,0,LQJL,,,,,,50,2010-02-21T11:11:28+00:00
30536,LQVI,small_airport,"Visoko Sport Airfield",44.024792,18.0968,1470,EU,BA,BA-BIH,Visoko,0,LQVI,,,,https://en.wikipedia.org/wiki/Visoko_Sport_Airfield,,50,2016-02-13T22:01:26+00:00
43885,LQBZ,small_airport,"[Duplicate] Zaluzani Airport",44.791386,17.214657,541,EU,BA,BA-SRP,"Banja Luka",0,,,,,http://en.wikipedia.org/wiki/Banja_Luka_Zalu%C5%BEani_Airport,,0,2016-11-20T04:44:39+00:00
321737,BA-0003,small_airport,"Brod Airstrip",44.846235,18.761888,337,EU,BA,BA-SRP,Brod,0,,,,,,,0,2018-07-08T22:08:29+00:00
324125,LQCO,closed,"Coralci Airport",44.980871,15.869373,,EU,BA,BA-BIH,Ćoralići,0,LQCO,,,,,,0,2017-06-28T12:15:02+00:00
324126,LQGL,closed,"Glamoč Air Base",44.083894,16.813588,,EU,BA,BA-BIH,Glamoč,0,LQGL,,,,,,0,2017-06-29T05:22:18+00:00
317425,BA-0002,small_airport,"Sportski Aerodrom Zalužani",44.8482,17.222826,,EU,BA,BA-BIH,Zalužani,0,LQBZ,,,,,,0,2016-11-20T04:44:06+00:00
