id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2863,FBMN,medium_airport,"Maun Airport",-19.97260093688965,23.431100845336914,3093,AF,BW,BW-NW,Maun,1,FBMN,MUB,,,http://en.wikipedia.org/wiki/Maun_Airport,,875,2009-07-20T13:28:35+00:00
2864,FBSK,large_airport,"Sir Seretse Khama International Airport",-24.555201,25.9182,3299,AF,BW,BW-SE,Gaborone,1,FBSK,GBE,,,http://en.wikipedia.org/wiki/Sir_Seretse_Khama_International_Airport,,875,2019-01-13T13:20:03+00:00
2862,FBKE,medium_airport,"Kasane Airport",-17.83289909362793,25.162399291992188,3289,AF,BW,BW-NW,Kasane,1,FBKE,BBK,,,http://en.wikipedia.org/wiki/Kasane_Airport,,875,2008-10-03T15:54:51+00:00
2860,FBFT,medium_airport,"Francistown Airport",-21.15959930419922,27.47450065612793,3283,AF,BW,BW-NE,Francistown,1,FBFT,FRW,,,http://en.wikipedia.org/wiki/Francistown_Airport,,875,2008-10-04T09:10:09+00:00
29891,FBGZ,small_airport,"Ghanzi Airport",-21.6924991607666,21.658100128173828,3730,AF,BW,BW-GH,Ghanzi,1,FBGZ,GNZ,,,http://en.wikipedia.org/wiki/Ghanzi_Airport,,450,2008-10-04T09:12:26+00:00
2865,FBSN,medium_airport,"Sua Pan Airport",-20.5534,26.115801,2985,AF,BW,BW-CE,Sowa,0,FBSN,SXN,,,https://en.wikipedia.org/wiki/Sua_Pan_Airport,,250,2016-04-16T21:51:21+00:00
2866,FBSP,medium_airport,"Selebi Phikwe Airport",-22.0583,27.8288,2925,AF,BW,BW-CE,,1,FBSP,PKW,,,http://en.wikipedia.org/wiki/Selebi-Phikwe_Airport,,875,2016-04-16T21:39:35+00:00
2861,FBJW,medium_airport,"Jwaneng Airport",-24.6023006439209,24.69099998474121,3900,AF,BW,BW-SO,,1,FBJW,JWA,,,http://en.wikipedia.org/wiki/Jwaneng_Airport,,800,2008-08-03T11:28:35+00:00
30218,FBOR,small_airport,"Orapa Airport",-21.266701,25.3167,3100,AF,BW,BW-CE,Orapa,1,FBOR,ORP,,,https://en.wikipedia.org/wiki/Orapa_Airport,,450,2018-09-16T04:22:54+00:00
30411,FBSW,small_airport,"Shakawe Airport",-18.373899459838867,21.832599639892578,3379,AF,BW,BW-NW,Shakawe,1,FBSW,SWX,,http://www.dca.gov.bw/index.php?sectid=248,http://en.wikipedia.org/wiki/Shakawe_Airport,,450,2008-06-16T08:02:46+00:00
30077,FBTL,small_airport,"Limpopo Valley Airport",-22.189199447599997,29.126899719199997,1772,AF,BW,BW-CE,"Tuli Lodge",1,FBLV,TLD,,,,,450,2014-10-06T10:25:58+00:00
27305,FBXG,small_airport,"Xugana Airport",-19.049999237060547,23.09000015258789,,AF,BW,BW-NW,,0,FBXG,,,,,,50,2008-10-03T16:10:11+00:00
31751,FBKR,small_airport,"Khwai River Lodge Airport",-19.149999618530273,23.783000946044922,3000,AF,BW,BW-NW,"Khwai River Lodge",0,FBKR,KHW,,,,,50,2008-10-03T16:09:20+00:00
