id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3977,LBSF,large_airport,"Sofia Airport",42.696693420410156,23.411436080932617,1742,EU,BG,BG-23,Sofia,1,LBSF,SOF,,http://sofia-airport.bg,http://en.wikipedia.org/wiki/Sofia_Airport,,1150,2008-12-08T06:03:22+00:00
3974,LBBG,large_airport,"Burgas Airport",42.56959915161133,27.515199661254883,135,EU,BG,BG-02,Burgas,1,LBBG,BOJ,,,http://en.wikipedia.org/wiki/Burgas_Airport,,1150,2009-03-11T21:54:46+00:00
3979,LBWN,large_airport,"Varna Airport",43.232101,27.8251,230,EU,BG,BG-03,Varna,1,LBWN,VAR,,,http://en.wikipedia.org/wiki/Varna_Airport,,1150,2016-02-16T22:16:51+00:00
3976,LBPD,medium_airport,"Plovdiv International Airport",42.067799,24.8508,597,EU,BG,BG-16,Plovdiv,1,LBPD,PDV,,http://www.plovdivairport.com/,http://en.wikipedia.org/wiki/Plovdiv_International_Airport,,1150,2016-02-16T22:17:38+00:00
43909,LBHT,small_airport,"Ihtiman Airfield",42.42189,23.767221,2113,EU,BG,BG-23,Ihtiman,0,LBHT,,,https://bg-bg.facebook.com/BG.LBHT,https://en.wikipedia.org/wiki/Ihtiman_Airfield,"Maintenance, aircraft maintenance, FTO",0,2016-02-16T22:42:18+00:00
3975,LBGO,medium_airport,"Gorna Oryahovitsa Airport",43.15140151977539,25.712900161743164,285,EU,BG,BG-04,"Gorna Oryahovitsa",0,LBGO,GOZ,,,,,250,2009-03-27T18:04:59+00:00
108,LBPL,medium_airport,"Dolna Mitropoliya Air Base",43.451401,24.5028,330,EU,BG,BG-15,"Dolna Mitropoliya",0,LBPL,,,,https://en.wikipedia.org/wiki/Dolna_Mitropoliya_Air_Base,LB41,50,2016-11-04T06:44:08+00:00
89,LBPG,medium_airport,"Graf Ignatievo Air Base",42.290401458740234,24.714000701904297,190,EU,BG,BG-16,"Graf Ignatievo",0,LBPG,,,,http://en.wikipedia.org/wiki/Graf_Ignatievo_Airbase,LB21,50,2009-03-27T18:05:27+00:00
106,LB39,closed,"Graf Ignatievo South Airport",42.263196,24.719299,623,EU,BG,BG-16,"Graf Ignatievo",0,,,,,,LB39,50,2017-10-01T19:14:58+00:00
109,LB42,small_airport,"Kamenets Airport",43.327301025390625,25.003400802612305,420,EU,BG,BG-15,Kamenets,0,LB42,,LB42,,,,50,2009-03-27T18:05:16+00:00
43899,LBBO,small_airport,"Bohot Airport",43.30638885498047,24.691389083862305,1162,EU,BG,BG-15,Bohot,0,LBBO,,,,,,0,2009-03-27T18:05:13+00:00
43891,LBWV,small_airport,"Izgrev Airport",43.2772216796875,27.70194435119629,1119,EU,BG,BG-03,Izgrev,0,LBWV,,,,,,0,2009-03-27T18:04:56+00:00
43910,LBLS,small_airport,"Lesnovo Airport",42.634498596191406,23.64644432067871,1825,EU,BG,BG-23,Lesnovo,0,LBLS,,,,,,0,2009-03-27T18:05:47+00:00
43887,LBPR,small_airport,"Primorsko Airport",42.2596,27.703846,14,EU,BG,BG-02,Primorsko,0,LBPR,,,,https://en.wikipedia.org/wiki/Primorsko_Airfield,,0,2016-05-30T16:18:58+00:00
43903,LBST,small_airport,"Stryama Airfield",42.540279,24.825222,916,EU,BG,BG-16,Stryama,0,LBST,,,,,,0,2018-05-31T12:02:19+00:00
43907,BG-0015,small_airport,"Trastenik Airport",43.66595458984375,25.86668586730957,450,EU,BG,BG-18,Trastenik,0,,,,,,,0,2009-03-27T18:05:38+00:00
93,LBWB,medium_airport,"Balchik Air Base",43.42380142211914,28.181299209594727,660,EU,BG,BG-03,Balchik,0,LBWB,,,,,LB25,50,2009-03-11T21:32:33+00:00
104,LB37,small_airport,"Stanke Dimitrov Highway Strip",42.175701,23.0509,3447,EU,BG,BG-10,Boboshevo,0,,,LB37,,,,50,2017-02-10T05:43:59+00:00
110,LB43,closed,"Dobrich Air Base",43.60960006713867,27.83650016784668,825,EU,BG,BG-03,Dobrich,0,,,,,http://en.wikipedia.org/wiki/Dobrich_Air_Base,LB43,50,2009-03-11T22:16:15+00:00
83,LBMG,medium_airport,"Gabrovnitsa Air Base",43.5443000793457,23.272499084472656,626,EU,BG,BG-12,Gabrovnitsa,0,LBMG,,,,,LB15,50,2009-03-11T21:40:10+00:00
82,LBHS,medium_airport,"Haskovo Malevo Airport",41.976398,25.5898,160,EU,BG,BG-26,Haskovo,0,LBHS,,,,https://en.wikipedia.org/wiki/Haskovo_Malevo_Airport,LB14,50,2017-03-28T10:41:40+00:00
