id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3150,GVAC,large_airport,"Amílcar Cabral International Airport",16.7414,-22.9494,177,AF,CV,CV-B,Espargos,1,GVAC,SID,,,http://en.wikipedia.org/wiki/Am%C3%ADlcar_Cabral_International_Airport,"Sal Island",1050,2019-01-13T13:43:38+00:00
3153,GVNP,medium_airport,"Praia International Airport",14.924500465393066,-23.493499755859375,230,AF,CV,CV-S,Praia,1,GVNP,RAI,,,http://en.wikipedia.org/wiki/Francisco_Mendes_International_Airport,"Santiago Island",800,2009-08-31T18:53:27+00:00
3151,GVBA,medium_airport,"Rabil Airport",16.136499404907227,-22.888900756835938,69,AF,CV,CV-B,Rabil,1,GVBA,BVC,,,http://en.wikipedia.org/wiki/Rabil_Airport,"Boa Vista Island",800,2009-08-31T18:56:30+00:00
3155,GVSV,medium_airport,"São Pedro Airport",16.833200454711914,-25.055299758911133,66,AF,CV,CV-B,"São Pedro",0,GVSV,VXE,,,http://en.wikipedia.org/wiki/S%C3%A3o_Pedro_Airport,"São Vicente Island",250,2009-08-31T18:59:14+00:00
3154,GVSN,medium_airport,"Preguiça Airport",16.58839988708496,-24.284700393676758,669,AF,CV,CV-B,Preguiça,1,GVSN,SNE,,,http://en.wikipedia.org/wiki/Pregui%C3%A7a_Airport,"Sao Nicolau Island",800,2009-08-31T18:59:55+00:00
3152,GVMA,medium_airport,"Maio Airport",15.155900001525879,-23.213699340820312,36,AF,CV,CV-S,"Vila do Maio",1,GVMA,MMO,,,http://en.wikipedia.org/wiki/Maio_Airport,"Maio Island",800,2009-08-31T18:55:08+00:00
32287,GVSF,small_airport,"São Filipe Airport",14.8850002289,-24.4799995422,617,AF,CV,CV-S,"São Filipe",1,GVSF,SFL,,,http://en.wikipedia.org/wiki/S%C3%A3o_Filipe_Airport,"Fogo Island",450,2013-02-22T01:36:42+00:00
31560,GVAN,small_airport,"Agostinho Neto Airport",17.202800750732422,-25.090599060058594,32,AF,CV,CV-B,"Ponta do Sol",0,GVAN,NTO,,,http://en.wikipedia.org/wiki/Agostinho_Neto_Airport,"Santo Antao Island",50,2009-08-31T18:51:37+00:00
31961,GVMT,small_airport,"Mosteiros Airport",15.045000076293945,-24.33919906616211,66,AF,CV,CV-S,"Vila do Mosteiros",0,GVMT,MTI,,,,"Fogo Island",50,2009-08-31T18:52:39+00:00
302436,BVR,small_airport,"Esperadinha Airport",14.864305555600001,-24.746,64,AF,CV,CV-S,"Brava Island",0,GVBR,BVR,,,,,0,2012-12-31T05:06:37+00:00
