id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26476,VDSR,large_airport,"Siem Reap International Airport",13.410699844400002,103.81300354,60,AS,KH,KH-17,"Siem Reap",1,VDSR,REP,,http://www.cambodia-airports.com/siemreap/en,http://en.wikipedia.org/wiki/Siem_Reap_International_Airport,"Angkor International Airport",1150,2015-02-17T10:17:30+00:00
26475,VDPP,large_airport,"Phnom Penh International Airport",11.546600341796875,104.84400177001953,40,AS,KH,KH-8,"Phnom Penh",1,VDPP,PNH,,http://www.cambodia-airports.com/phnompenh/en/,http://en.wikipedia.org/wiki/Phnom_Penh_International_Airport,"Pochentong International Airport",1150,2009-01-31T11:03:47+00:00
26478,VDSV,small_airport,"Sihanoukville International Airport",10.57970047,103.637001038,33,AS,KH,KH-18,Sihanukville,1,VDSV,KOS,,http://www.sihanoukville-cambodia.com/about-sihanoukville/airport.html,http://en.wikipedia.org/wiki/Sihanoukville_International_Airport,"Kompong Som",50,2012-08-09T20:35:31+00:00
32569,VDKC,small_airport,"Kompong Cham Airport",12.032999992370605,105.43299865722656,148,AS,KH,KH-3,"Kompong Cham",0,VDKC,,,,,,50,2008-12-19T20:11:53+00:00
31781,VDKT,small_airport,"Kratie Airport",12.48799991607666,106.05500030517578,,AS,KH,KH-10,Kratie,0,VDKT,KTI,,,,,50,2008-12-19T20:11:55+00:00
46544,VDMK,small_airport,"Mondulkiri Airport",12.4636479116,107.187252045,,AS,KH,KH-11,"Sen Monorom",0,VDMK,,,,,,0,2010-12-28T15:10:13+00:00
26473,VDBG,medium_airport,"Battambang Airport",13.095600128173828,103.2239990234375,59,AS,KH,KH-2,Battambang,1,VDBG,BBM,,,http://en.wikipedia.org/wiki/Battambang_Airport,,800,2008-12-19T20:11:51+00:00
26477,VDST,medium_airport,"Stung Treng Airport",13.531900405883789,106.01499938964844,203,AS,KH,KH-19,"Stung Treng",1,VDST,TNX,,,http://en.wikipedia.org/wiki/Stung_Treng_Airport,,800,2009-01-31T11:10:46+00:00
26474,VDKH,medium_airport,"Kampong Chhnang Airport",12.255200386,104.564002991,56,AS,KH,KH-4,"Kampong Chhnang",0,VDKH,KZC,,,http://en.wikipedia.org/wiki/Kampong_Chhnang_Airport,,250,2014-12-07T03:00:14+00:00
35306,VDRK,medium_airport,"Ratanakiri Airport",13.729999542236328,106.98699951171875,,AS,KH,KH-16,Ratanakiri,0,VDRK,RBE,,,http://en.wikipedia.org/wiki/Ratanankiri_Airport,,250,2009-01-31T11:08:02+00:00
313437,KMT,closed,"Kampot Airport",10.6343,104.1617,44,AS,KH,KH-7,Kampot,0,,KMT,,,,,0,2014-12-21T13:06:42+00:00
46543,VDKK,small_airport,"Kaoh Kong Airport",11.613397118600002,102.997083664,,AS,KH,KH-9,"Kaoh Kong",0,VDKK,KKZ,,,,,0,2010-12-28T15:11:23+00:00
313338,VDSY,small_airport,"Krakor Airport",12.5385,104.1486,62,AS,KH,KH-15,Krakor,0,VDSY,KZD,,,http://en.wikipedia.org/wiki/Krakor_Airport,,0,2014-12-07T01:45:02+00:00
313340,OMY,small_airport,"Preah Vinhear Airport",13.7597,104.97173,350,AS,KH,KH-13,"Tbeng Meanchey",0,,OMY,,,http://en.wikipedia.org/wiki/Thbeng_Meanchey_Airport,,0,2014-12-07T02:50:47+00:00
