id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2882,FKKD,medium_airport,"Douala International Airport",4.0060801506,9.719479560849999,33,AF,CM,CM-LT,Douala,1,FKKD,DLA,,,http://en.wikipedia.org/wiki/Douala_International_Airport,,975,2013-08-28T03:51:30+00:00
2890,FKYS,medium_airport,"Yaoundé Nsimalen International Airport",3.722559928894043,11.553299903869629,2278,AF,CM,CM-CE,Yaoundé,1,FKYS,NSI,,,http://en.wikipedia.org/wiki/Yaound%C3%A9_Nsimalen_International_Airport,,875,2008-08-09T21:29:38+00:00
2886,FKKR,medium_airport,"Garoua International Airport",9.33588981628418,13.370100021362305,794,AF,CM,CM-NO,Garoua,1,FKKR,GOU,,,http://en.wikipedia.org/wiki/Garoua_International_Airport,,875,2008-08-09T21:37:02+00:00
2883,FKKL,medium_airport,"Salak Airport",10.451399803161621,14.257399559020996,1390,AF,CM,CM-EN,Maroua,1,FKKL,MVR,,,http://en.wikipedia.org/wiki/Salak_Airport,,800,2008-08-09T21:32:12+00:00
2889,FKKY,medium_airport,"Yaoundé Airport",3.8360400199890137,11.523500442504883,2464,AF,CM,CM-CE,Yaoundé,1,FKKY,YAO,,,http://en.wikipedia.org/wiki/Yaound%C3%A9_Airport,"Yaoundé Ville Airport",800,2008-08-09T21:30:41+00:00
2885,FKKN,medium_airport,"N'Gaoundéré Airport",7.3570098876953125,13.559200286865234,3655,AF,CM,CM-AD,N'Gaoundéré,1,FKKN,NGE,,,http://en.wikipedia.org/wiki/N'Gaound%C3%A9r%C3%A9_Airport,Ngaoundere,800,2008-08-09T21:37:42+00:00
2887,FKKU,medium_airport,"Bafoussam Airport",5.536920070650001,10.354599952700001,4347,AF,CM,CM-OU,Bafoussam,0,FKKU,BFX,,,http://en.wikipedia.org/wiki/Bafoussam_Airport,,250,2011-10-23T14:59:21+00:00
2888,FKKV,medium_airport,"Bamenda Airport",6.039239883422852,10.122599601745605,4065,AF,CM,CM-NW,Bamenda,0,FKKV,BPC,,,,,250,2008-08-09T21:36:34+00:00
2884,FKKM,medium_airport,"Foumban Nkounja Airport",5.636919975280762,10.750800132751465,3963,AF,CM,CM-OU,Foumban,0,FKKM,FOM,,,,,250,2008-08-09T21:33:37+00:00
