id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2873,FEFF,medium_airport,"Bangui M'Poko International Airport",4.39847993850708,18.518800735473633,1208,AF,CF,CF-MP,Bangui,1,FEFF,BGF,,,http://en.wikipedia.org/wiki/Bangui_M'Poko_International_Airport,,1050,2009-02-13T10:49:53+00:00
2874,FEFT,medium_airport,"Berbérati Airport",4.2215800285339355,15.786399841308594,1929,AF,CF,CF-HS,Berbérati,0,FEFT,BBT,,,http://en.wikipedia.org/wiki/Berb%C3%A9rati_Airport,,250,2008-06-13T14:30:04+00:00
31111,FEFA,small_airport,"Alindao Airport",5.016389846801758,21.19969940185547,1470,AF,CF,CF-BK,Alindao,0,FEFA,,,,http://en.wikipedia.org/wiki/Alindao_Airport,,50,2008-06-13T14:30:04+00:00
30775,FEGM,small_airport,"Bakouma Airport",5.693999767303467,22.801000595092773,1640,AF,CF,CF-MB,Bakouma,0,FEGM,BMF,,,http://en.wikipedia.org/wiki/Bakouma_Airport,,50,2008-06-13T14:30:04+00:00
30684,FEFM,small_airport,"Bambari Airport",5.846940040588379,20.647499084472656,1549,AF,CF,CF-UK,Bambari,0,FEFM,BBY,,,http://en.wikipedia.org/wiki/Bambari_Airport,,50,2008-06-13T14:30:04+00:00
31119,FEGB,small_airport,"Bambouli Airport",5.433000087738037,27.216999053955078,2264,AF,CF,CF-HM,Bambouli,0,FEGB,,,,,,50,2008-06-13T14:30:04+00:00
30703,FEFG,small_airport,"Bangassou Airport",4.784999847412109,22.7810001373291,1706,AF,CF,CF-MB,Bangassou,0,FEFG,BGU,,,http://en.wikipedia.org/wiki/Bangassou_Airport,,50,2008-06-13T14:30:04+00:00
30800,FEGF,small_airport,"Batangafo Airport",7.314109802246094,18.308799743652344,1378,AF,CF,CF-AC,Batangafo,0,FEGF,BTG,,,http://en.wikipedia.org/wiki/Batangafo_Airport,,50,2008-06-13T14:30:04+00:00
31687,FEFI,small_airport,"Birao Airport",10.23639965057373,22.716899871826172,1696,AF,CF,CF-VR,Birao,0,FEFI,IRO,,,http://en.wikipedia.org/wiki/Birao_Airport,,50,2009-02-13T10:52:35+00:00
31120,FEGC,small_airport,"Bocaranga Airport",6.916999816894531,15.616999626159668,3464,AF,CF,CF-OP,Bocaranga,0,FEGC,,,,http://en.wikipedia.org/wiki/Bocaranga_Airport,,50,2008-06-13T14:30:04+00:00
30794,FEFS,small_airport,"Bossangoa Airport",6.492000102996826,17.429000854492188,1637,AF,CF,CF-AC,Bossangoa,0,FEFS,BSN,,,http://en.wikipedia.org/wiki/Bossangoa_Airport,,50,2008-06-13T14:30:04+00:00
30695,FEFL,closed,"Bossembélé Airport",5.267002,17.632999,2231,AF,CF,CF-MP,Bossembélé,0,FEFL,,,,http://en.wikipedia.org/wiki/Bossemb%C3%A9l%C3%A9_Airport,BEM,50,2018-02-16T01:41:23+00:00
30785,FEFO,small_airport,"Bouar Airport",5.958000183105469,15.63700008392334,3360,AF,CF,CF-NM,Bouar,0,FEFO,BOP,,,http://en.wikipedia.org/wiki/Bouar_Airport,,50,2008-06-13T14:30:04+00:00
30686,FEGU,small_airport,"Bouca Airport",6.517000198364258,18.267000198364258,1532,AF,CF,CF-AC,Bouca,0,FEGU,BCF,,,http://en.wikipedia.org/wiki/Bouca_Airport,,50,2008-06-13T14:30:04+00:00
30787,FEGZ,small_airport,"Bozoum Airport",6.344170093536377,16.3218994140625,2215,AF,CF,CF-OP,Bozoum,0,FEGZ,BOZ,,,http://en.wikipedia.org/wiki/Bozoum_Airport,,50,2008-06-13T14:30:04+00:00
30756,FEFR,small_airport,"Bria Airport",6.527780055999756,21.98940086364746,1975,AF,CF,CF-HK,Bria,0,FEFR,BIV,,,http://en.wikipedia.org/wiki/Bria_Airport,,50,2008-06-13T14:30:04+00:00
30850,FEFC,small_airport,"Carnot Airport",4.936999797821045,15.894000053405762,1985,AF,CF,CF-HS,Carnot,0,FEFC,CRF,,,http://en.wikipedia.org/wiki/Carnot_Airport,,50,2008-06-13T14:30:04+00:00
31112,FEFD,small_airport,"Damara Airport",4.949999809265137,18.700000762939453,1427,AF,CF,CF-MP,Damara,0,FEFD,,,,,,50,2008-06-13T14:30:04+00:00
31121,FEGD,small_airport,"Dekoa Airport",6.300000190734863,19.08300018310547,1804,AF,CF,CF-KG,Dekoa,0,FEGD,,,,,,50,2008-06-13T14:30:04+00:00
31122,FEGG,small_airport,"Gamboula Airport",4.132999897003174,15.149999618530273,2001,AF,CF,CF-HS,Gamboula,0,FEGG,,,,,,50,2008-06-13T14:30:04+00:00
