id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2998,FTTJ,large_airport,"N'Djamena International Airport",12.1337,15.034,968,AF,TD,TD-CB,N'Djamena,1,FTTJ,NDJ,,,http://en.wikipedia.org/wiki/N'Djamena_International_Airport,"Ndjamena Hassan Djamous",1050,2019-01-13T13:36:17+00:00
2996,FTTC,medium_airport,"Abeche Airport",13.847000122070312,20.84429931640625,1788,AF,TD,TD-OD,,1,FTTC,AEH,,,http://en.wikipedia.org/wiki/Ab%C3%A9ch%C3%A9_Airport,,800,2008-06-13T14:30:04+00:00
2999,FTTY,medium_airport,"Faya Largeau Airport",17.91710090637207,19.111099243164062,771,AF,TD,TD-BET,,0,FTTY,FYT,,,,,250,2008-06-13T14:30:04+00:00
31212,FTTG,small_airport,"Goz-Beida Airport",12.199999809265137,21.466999053955078,1765,AF,TD,TD-OD,Goz-Beida,0,FTTG,,,,,,50,2008-10-23T15:24:12+00:00
31975,FTTM,small_airport,"Mongo Airport",12.166999816894531,18.674999237060547,1414,AF,TD,TD-GR,Mongo,0,FTTM,MVO,,,,,50,2008-10-23T15:26:06+00:00
2997,FTTD,medium_airport,"Moundou Airport",8.624409675598145,16.071399688720703,1407,AF,TD,TD-LO,,1,FTTD,MQQ,,,http://en.wikipedia.org/wiki/Moundou_Airport,,875,2008-06-13T14:30:04+00:00
32383,FTTA,small_airport,"Sarh Airport",9.14444,18.374399,1198,AF,TD,TD-MC,Sarh,1,FTTA,SRH,,,https://en.wikipedia.org/wiki/Sarh_Airport,,450,2018-09-16T03:18:20+00:00
30639,FTTN,small_airport,"Am Timan Airport",11.0340003967,20.274000167799997,1420,AF,TD,TD-SA,"Am Timan",0,FTTN,AMC,,,http://en.wikipedia.org/wiki/Am_Timan_Airport,,50,2012-11-29T21:51:47+00:00
30658,FTTI,small_airport,"Ati Airport",13.238900184631348,18.31329917907715,1089,AF,TD,TD-BA,Ati,0,FTTI,ATV,,,,,50,2008-08-03T11:32:14+00:00
31214,FTTZ,small_airport,"Bardai Zougra Airport",21.450000762939453,17.049999237060547,3524,AF,TD,TD-BET,"Bardai Zougra",0,FTTZ,,,,,,50,2008-10-23T15:19:57+00:00
31210,FTTE,small_airport,"Biltine Airport",14.517000198364258,20.899999618530273,1680,AF,TD,TD-BI,Biltine,0,FTTE,,,,,,50,2008-08-03T11:32:10+00:00
30765,FTTK,small_airport,"Bokoro Airport",12.383000373840332,17.066999435424805,984,AF,TD,TD-CB,Bokoro,0,FTTK,BKR,,,,,50,2008-08-03T11:32:16+00:00
32130,FTTL,small_airport,"Bol Airport",13.443300247192383,14.739399909973145,955,AF,TD,TD-LC,Bol,0,FTTL,OTC,,,,,50,2008-10-23T15:32:36+00:00
32099,FTTB,small_airport,"Bongor Airport",10.288100242614746,15.381099700927734,1076,AF,TD,TD-MK,Bongor,0,FTTB,OGR,,,,,50,2008-08-03T11:32:08+00:00
32134,FTTS,small_airport,"Bousso Airport",10.482999801635742,16.716999053955078,1099,AF,TD,TD-CB,Bousso,0,FTTS,OUT,,,,,50,2008-08-03T11:32:21+00:00
31211,FTTF,small_airport,"Fada Airport",17.16699981689453,21.566999435424805,1788,AF,TD,TD-BET,Fada,0,FTTF,,,,,,50,2008-10-23T15:22:36+00:00
31855,FTTH,small_airport,"Lai Airport",9.3979,16.3125,1171,AF,TD,TD-TA,Lai,0,FTTH,LTC,,,http://en.wikipedia.org/wiki/La%C3%AF_Airport,,50,2015-02-14T21:54:51+00:00
30641,FTTU,small_airport,"Mao Airport",14.145600318908691,15.314399719238281,1072,AF,TD,TD-KA,Mao,0,FTTU,AMO,,,,,50,2008-08-03T11:32:23+00:00
32163,FTTP,small_airport,"Pala Airport",9.378060340881348,14.925000190734863,1532,AF,TD,TD-MK,Pala,0,FTTP,PLF,,,,,50,2008-08-03T11:32:19+00:00
31213,FTTR,small_airport,"Zouar Airport",20.450000762939453,16.58300018310547,2655,AF,TD,TD-BET,Zouar,0,FTTR,,,,,,50,2008-10-23T15:20:06+00:00
308250,TD-0001,small_airport,"Aozou Airstrip",22.645195,17.696527,,AF,TD,TD-BET,,0,,,,,,,0,2013-02-06T06:31:05+00:00
312362,AOD,small_airport,"Abou-Deïa Airport",11.4773,19.2874,1592,AF,TD,TD-SA,Abou-Deïa,0,,AOD,,,http://en.wikipedia.org/wiki/Abou-De%C3%AFa_Airport,,0,2014-07-03T20:57:35+00:00
319201,TD-0003,small_airport,"Baïbokoum Airport",7.765304,15.703935,1476,AF,TD,TD-LR,Baïbokoum,0,,,,,https://en.wikipedia.org/wiki/Ba%C3%AFbokoum_Airport,,0,2016-06-28T09:45:38+00:00
319200,TD-0002,small_airport,"Doba Airport",8.701775,16.834947,1296,AF,TD,TD-LR,Doba,0,,,,,https://en.wikipedia.org/wiki/Doba_Airport,,0,2016-06-28T09:41:34+00:00
319206,TD-0007,small_airport,"Goundi Airport",9.382597,17.380952,,AF,TD,TD-MC,Goundi,0,,,,,,,0,2016-06-28T09:59:20+00:00
319210,TD-0009,small_airport,"Haraze Airport",9.918697,20.90368,1358,AF,TD,TD-SA,Haraze,0,,,,,https://en.wikipedia.org/wiki/Haraze_Airport,,0,2016-06-28T10:07:38+00:00
325963,TD-0011,small_airport,"Iriba Airport",15.134124,22.221355,3061,AF,TD,TD-BI,Iriba,0,,,,,https://en.wikipedia.org/wiki/Iriba_Airport,,0,2017-12-27T07:04:38+00:00
319204,TD-0005,small_airport,"Kélo Airport",9.31408,15.786463,1240,AF,TD,TD-TA,Kélo,0,,,,,https://en.wikipedia.org/wiki/K%C3%A9lo_Airport,,0,2016-06-28T09:51:50+00:00
319205,TD-0006,small_airport,"Koumra Airport",8.958891,17.635592,1401,AF,TD,TD-MC,Koumra,0,,,,,https://en.wikipedia.org/wiki/Koumra_Airport,,0,2016-06-28T09:53:40+00:00
