id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6015,SCEL,large_airport,"Comodoro Arturo Merino Benítez International Airport",-33.393001556396484,-70.78579711914062,1555,SA,CL,CL-RM,Santiago,1,SCEL,SCL,,http://www.aeropuertosantiago.cl/ingles/index.php,http://en.wikipedia.org/wiki/Comodoro_Arturo_Merino_Ben%C3%ADtez_International_Airport,,51150,2009-01-31T17:19:23+00:00
6043,SCTE,medium_airport,"El Tepual Airport",-41.438899993896484,-73.09400177001953,294,SA,CL,CL-LL,"Puerto Montt",1,SCTE,PMC,,,http://en.wikipedia.org/wiki/El_Tepual_Airport,,1050,2008-07-12T07:26:32+00:00
6009,SCCI,medium_airport,"Pdte. Carlos Ibañez del Campo Airport",-53.002602,-70.854599,139,SA,CL,CL-MA,"Punta Arenas",1,SCCI,PUQ,,,http://en.wikipedia.org/wiki/Carlos_Ibanez_Del_Campo_International_Airport,,1050,2018-03-09T09:31:46+00:00
6026,SCIP,medium_airport,"Mataveri Airport",-27.1648006439,-109.42199707,227,SA,CL,CL-VS,"Isla De Pascua",1,SCIP,IPC,,,http://en.wikipedia.org/wiki/Mataveri_International_Airport,"Rapa Nui, Easter Island",1000,2011-10-28T10:05:26+00:00
6007,SCCF,medium_airport,"El Loa Airport",-22.498199462890625,-68.90360260009766,7543,SA,CL,CL-AN,Calama,1,SCCF,CJC,,,,,875,2008-07-12T07:22:23+00:00
6018,SCFA,medium_airport,"Andrés Sabella Gálvez International Airport",-23.444501,-70.445099,455,SA,CL,CL-AN,Antofagasta,1,SCFA,ANF,,,https://en.wikipedia.org/wiki/Andr%C3%A9s_Sabella_G%C3%A1lvez_International_Airport,"Cerro Moreno Airport",875,2019-02-15T15:15:06+00:00
6012,SCDA,medium_airport,"Diego Aracena Airport",-20.535200119018555,-70.1812973022461,155,SA,CL,CL-TA,Iquique,1,SCDA,IQQ,,,,,1050,2008-07-12T07:22:36+00:00
6003,SCBA,medium_airport,"Balmaceda Airport",-45.916099548339844,-71.68949890136719,1722,SA,CL,CL-AI,Balmaceda,1,SCBA,BBA,,,,,875,2008-07-12T07:22:12+00:00
6002,SCAT,medium_airport,"Desierto de Atacama Airport",-27.2611999512,-70.7791976929,670,SA,CL,CL-AT,Copiapo,1,SCAT,CPO,,,http://en.wikipedia.org/wiki/Desierto_de_Atacama_Airport,,400,2014-07-27T13:12:49+00:00
6025,SCIE,medium_airport,"Carriel Sur Airport",-36.772701,-73.063103,26,SA,CL,CL-BI,Concepcion,1,SCIE,CCP,,,http://en.wikipedia.org/wiki/Carriel_Sur_International_Airport,,1050,2018-06-17T00:28:54+00:00
6040,SCSE,medium_airport,"La Florida Airport",-29.916201,-71.199501,481,SA,CL,CL-CO,"La Serena-Coquimbo",1,SCSE,LSC,,,http://en.wikipedia.org/wiki/La_Florida_Airport_(Chile),COW,875,2018-05-26T16:23:04+00:00
6042,SCTC,medium_airport,"Maquehue Airport",-38.766799926758,-72.637100219727,304,SA,CL,CL-AR,Temuco,0,SCTC,PZS,,,http://en.wikipedia.org/wiki/Maquehue_Airport,ZCO,875,2016-01-15T10:50:36+00:00
6001,SCAR,medium_airport,"Chacalluta Airport",-18.348499,-70.338699,167,SA,CL,CL-AP,Arica,1,SCAR,ARI,,,https://en.wikipedia.org/wiki/Chacalluta_International_Airport,,875,2018-09-16T04:04:48+00:00
6031,SCNT,medium_airport,"Tte. Julio Gallardo Airport",-51.67150115966797,-72.52839660644531,217,SA,CL,CL-MA,"Puerto Natales",0,SCNT,PNT,,,,,275,2008-07-12T07:24:59+00:00
6024,SCHR,medium_airport,"Cochrane Airport",-47.24380111694336,-72.5884017944336,643,SA,CL,CL-AI,Cochrane,0,SCHR,LGR,,,,,250,2008-07-12T07:23:38+00:00
6023,SCGZ,medium_airport,"Guardiamarina Zañartu Airport",-54.93109893798828,-67.62629699707031,88,SA,CL,CL-MA,"Puerto Williams",0,SCGZ,WPU,,,,,250,2008-07-12T07:23:26+00:00
6041,SCTB,small_airport,"Eulogio Sánchez Airport",-33.456298828125,-70.54669952392578,2129,SA,CL,CL-RM,Santiago,0,SCTB,,,,,,50,2008-07-12T07:26:32+00:00
30379,SCLC,small_airport,"Municipal de Vitacura Airport",-33.38079833984375,-70.58219909667969,2274,SA,CL,CL-RM,Santiago,0,SCLC,,,,,,50,2008-07-12T07:24:15+00:00
6048,SCVD,medium_airport,"Pichoy Airport",-39.6500015259,-73.0860977173,59,SA,CL,CL-LR,Valdivia,1,SCVD,ZAL,,,http://en.wikipedia.org/wiki/Pichoy_Airport,,825,2011-11-12T15:48:51+00:00
6037,SCRA,medium_airport,"Chañaral Airport",-26.332500457763672,-70.6072998046875,97,SA,CL,CL-AT,Chañaral,0,SCRA,CNR,,,,,250,2008-07-12T07:25:47+00:00
6011,SCCY,medium_airport,"Teniente Vidal Airport",-45.594200134277344,-72.1061019897461,1020,SA,CL,CL-AI,Coyhaique,0,SCCY,GXQ,,,,,250,2008-06-13T14:30:04+00:00
28147,SCIR,small_airport,"Robinson Crusoe Airport",-33.6650009155,-78.9297027588,433,SA,CL,CL-VS,"Isla Robinson Crusoe",0,SCIR,,,,http://es.wikipedia.org/wiki/Aer%C3%B3dromo_Robinson_Crusoe,,50,2012-02-11T04:16:07+00:00
39176,SCIS,small_airport,"Puerto Sur Airport",-37.0261116027832,-73.50694274902344,20,SA,CL,CL-BI,"Isla Santa Maria",0,SCIS,,,,,,50,2008-07-12T07:23:54+00:00
39238,SCOM,small_airport,"Olmué Airport",-32.997093,-71.17169,396,SA,CL,CL-VS,Olmué,0,SCOM,,,,,"aeródromo Olmué, SCOM",50,2019-01-19T11:44:55+00:00
39148,SCGM,small_airport,"Los Gomeros Airport",-34.36111068725586,-70.88194274902344,1034,SA,CL,CL-LI,Rengo,0,SCGM,,,,,,50,2008-07-12T07:23:17+00:00
39321,SCXB,small_airport,"Las Brujas Airport",-31.7866668701,-71.0111083984,1483,SA,CL,CL-CO,Salamanca,0,SCXB,,,,,,50,2013-01-26T15:06:48+00:00
6005,SCBQ,small_airport,"El Bosque Airport",-33.561798095703125,-70.68840026855469,1844,SA,CL,CL-RM,Santiago,0,SCBQ,,,,,,50,2008-07-12T07:22:17+00:00
314783,SCQP,medium_airport,"La Araucanía Airport",-38.9259,-72.6515,333,SA,CL,CL-AR,Temuco,1,SCQP,ZCO,,,https://en.wikipedia.org/wiki/La_Araucan%C3%ADa_International_Airport,,0,2018-09-15T15:42:08+00:00
6027,SCJO,medium_airport,"Cañal Bajo Carlos - Hott Siebert Airport",-40.61119842529297,-73.06099700927734,187,SA,CL,CL-LL,Osorno,1,SCJO,ZOS,,,http://en.wikipedia.org/wiki/Canal_Bajo_Carlos_Hott_Siebert_Airport,,875,2008-07-12T07:23:59+00:00
6017,SCES,medium_airport,"Ricardo García Posada Airport",-26.311100006103516,-69.76519775390625,5240,SA,CL,CL-AT,"El Salvador",1,SCES,ESR,,,,,800,2008-07-12T07:22:55+00:00
29774,SCHA,small_airport,"Chamonate Airport",-27.2968997955,-70.4131011963,984,SA,CL,CL-AT,Copiapo,0,SCHA,,,,http://en.wikipedia.org/wiki/Chamonate_Airport,CPO,450,2014-07-27T13:26:07+00:00
6033,SCPC,small_airport,"Pucón Airport",-39.29280090332031,-71.91590118408203,853,SA,CL,CL-AR,Pucon,1,SCPC,ZPC,,,,,450,2008-07-12T07:25:17+00:00
6049,SCVL,small_airport,"Las Marías Airport",-39.7969017029,-73.24169921880001,13,SA,CL,CL-LR,Valdivia,1,SCVL,,,,http://en.wikipedia.org/wiki/Las_Marias_Airport,,450,2011-11-12T15:53:25+00:00
6050,SCVM,medium_airport,"Viña del mar Airport",-32.9496,-71.4786,461,SA,CL,CL-VS,"Viña Del Mar",0,SCVM,KNA,,,https://en.wikipedia.org/wiki/Vi%C3%B1a_del_Mar_Airport,Torquemada,325,2016-09-27T15:19:13+00:00
6045,SCTN,medium_airport,"Chaitén Airport",-42.93280029296875,-72.6990966796875,13,SA,CL,CL-LL,Chaiten,0,SCTN,WCH,,,,,250,2008-07-12T07:26:35+00:00
6006,SCCC,medium_airport,"Chile Chico Airport",-46.58330154418945,-71.6874008178711,1070,SA,CL,CL-AI,"Chile Chico",0,SCCC,CCH,,,,,250,2008-07-12T07:22:23+00:00
6008,SCCH,medium_airport,"Gral. Bernardo O´Higgins Airport",-36.58250045776367,-72.03140258789062,495,SA,CL,CL-BI,Chillan,0,SCCH,YAI,,,http://en.wikipedia.org/wiki/General_Bernardo_O'Higgins_Airport,,250,2008-07-12T07:22:24+00:00
6019,SCFM,medium_airport,"Capitan Fuentes Martinez Airport Airport",-53.253700256347656,-70.31919860839844,104,SA,CL,CL-MA,Porvenir,0,SCFM,WPR,,,,,250,2008-07-12T07:23:06+00:00
6038,SCRG,medium_airport,"De La Independencia Airport",-34.17369842529297,-70.77570343017578,1446,SA,CL,CL-LI,Rancagua,0,SCRG,QRC,,,,,250,2008-07-12T07:25:53+00:00
6044,SCTL,medium_airport,"Panguilemo Airport",-35.37779998779297,-71.60169982910156,371,SA,CL,CL-ML,Talca,0,SCTL,TLX,,,,,250,2008-07-12T07:26:34+00:00
6047,SCTT,medium_airport,"Las Breas Airport",-25.564300537109375,-70.37590026855469,2580,SA,CL,CL-AN,Taltal,0,SCTT,TTC,,,,,250,2008-07-12T07:26:40+00:00
6004,SCBE,medium_airport,"Barriles Airport",-22.14109992980957,-70.06289672851562,3475,SA,CL,CL-AN,Tocopilla,0,SCBE,TOQ,,,,,250,2008-07-12T07:22:14+00:00
6029,SCLL,medium_airport,"Vallenar Airport",-28.596399307250977,-70.75599670410156,1725,SA,CL,CL-AT,Vallenar,0,SCLL,VLR,,,,,250,2008-07-12T07:24:24+00:00
6046,SCTO,medium_airport,"Victoria Airport",-38.245601654052734,-72.34860229492188,1148,SA,CL,CL-AR,Victoria,0,SCTO,ZIC,,,,,250,2008-07-12T07:26:35+00:00
32256,SCAH,small_airport,"Tolquien Airport",-42.4494018555,-73.5246963501,551,SA,CL,CL-LL,Achao,0,SCAH,,,,http://en.wikipedia.org/wiki/Achao_Airport,,50,2014-01-18T21:17:16+00:00
32269,SCSG,small_airport,"San Gerónimo Airport",-33.3532981873,-71.6260986328,341,SA,CL,CL-VS,Algarrobo,0,SCSG,,,,http://en.wikipedia.org/wiki/San_Ger%C3%B3nimo_Airport,,50,2014-01-18T21:19:49+00:00
32254,SCAF,small_airport,"San Alfonso Airport",-34.055599212646484,-71.23690032958984,407,SA,CL,CL-RM,Alhue,0,SCAF,,,,,,50,2008-07-12T07:21:53+00:00
32272,SCTQ,small_airport,"Tres Quebradas Airport",-29.26,-70.087,11690,SA,CL,CL-AT,"Alto Del Carmen",0,SCTQ,,,,http://en.wikipedia.org/wiki/Alto_del_Carmen_Tres_Quebradas_Airport,,50,2014-01-18T21:44:48+00:00
29657,SCAP,small_airport,"Alto Palena Airport",-43.6119003296,-71.806098938,794,SA,CL,CL-LL,"Alto Palena",0,SCAP,WAP,,,http://en.wikipedia.org/wiki/Alto_Palena_Airfield,,50,2014-01-18T21:46:36+00:00
30304,SCAC,small_airport,"Pupelde Airport",-41.904251,-73.796571,315,SA,CL,CL-LL,Ancud,0,SCAC,ZUD,,,https://en.wikipedia.org/wiki/Pupelde_Airfield,,50,2016-06-06T06:33:14+00:00
32259,SCGO,small_airport,"Los Confines Airport",-37.794700622558594,-72.68720245361328,240,SA,CL,CL-AR,Angol,0,SCGO,,,,,,50,2008-07-12T07:23:20+00:00
32260,SCGU,small_airport,"Aguas Blancas Airport",-24.13640022277832,-69.82859802246094,3346,SA,CL,CL-AN,Antofagasta,0,SCGU,,,,,,50,2008-07-12T07:23:23+00:00
32263,SCLE,small_airport,"La Escondida Airport",-24.294700622558594,-69.13169860839844,10289,SA,CL,CL-AN,Antofagasta,0,SCLE,,,,,,50,2008-07-12T07:24:19+00:00
32266,SCPA,small_airport,"Paranal Airport",-24.639400482177734,-70.3488998413086,6834,SA,CL,CL-AN,Antofagasta,0,SCPA,,,,,,50,2008-07-12T07:25:16+00:00
