id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26535,VHHH,large_airport,"Hong Kong International Airport",22.308901,113.915001,28,AS,HK,HK-U-A,"Hong Kong",1,VHHH,HKG,,http://www.hongkongairport.com/,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,"Chek Lap Kok Airport, 赤鱲角機場",1044675,2018-09-15T13:33:37+00:00
28112,VHHX,closed,"Hong Kong International Airport Kai Tak",22.3203040432,114.198074341,28,AS,HK,HK-U-A,"Hong Kong",0,VHHX,HKG,,,http://en.wikipedia.org/wiki/Kai_Tak_Airport,"checkerboard, kowloon, Kaitak, RAF Kai Tak",301,2013-05-07T12:56:06+00:00
43192,VHST,heliport,"Shun Tak Heliport",22.2893714905,114.152153015,107,AS,HK,HK-U-A,"Hong Kong",1,VHST,HHP,,http://www.skyshuttlehk.com/,"http://en.wikipedia.org/wiki/Hong_Kong-Macau_Ferry_Pier,_Hong_Kong#Heliport",,0,2010-09-14T11:29:31+00:00
43193,HK-0002,heliport,"Heli-Tours Helipad",22.298906326293945,114.15681457519531,,AS,HK,HK-U-A,"Hong Kong",0,,,,,,,0,2009-01-24T17:57:32+00:00
43194,HK-0003,heliport,"Peninsula Hotel Helipad",22.300174713134766,114.17232513427734,,AS,HK,HK-U-A,"Hong Kong",0,,,,,,,0,2009-01-24T18:03:54+00:00
26536,VHSK,medium_airport,"Shek Kong Air Base",22.436599731445312,114.08000183105469,50,AS,HK,HK-U-A,"Hong Kong",0,VHSK,,,,http://en.wikipedia.org/wiki/Shek_Kong_Airfield,"Yuen Long Airport, RAF Sek Kong, 石崗機場",250,2009-04-18T15:47:46+00:00
43196,HK-0005,heliport,"Cheung Chau Helipad",22.208171844482422,114.03410339355469,,AS,HK,HK-U-A,"Cheung Chau Island",0,,,,,,,0,2009-01-24T18:19:48+00:00
43191,HK-0001,closed,"Sha Tin Airfield",22.380237579345703,114.18983459472656,,AS,HK,HK-U-A,"Hong Kong",0,,,,,http://en.wikipedia.org/wiki/Sha_Tin_Airfield,"RAF Shatin",0,2009-01-24T17:47:34+00:00
43195,HK-0004,heliport,"Ping Chau Helipad",22.543333053588867,114.43055725097656,,AS,HK,HK-U-A,"Ping Chau Island",0,,,,,,,0,2009-01-24T18:05:31+00:00
