id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6104,SKBO,large_airport,"El Dorado International Airport",4.70159,-74.1469,8361,SA,CO,CO-CUN,Bogota,1,SKBO,BOG,BOG,,http://en.wikipedia.org/wiki/El_Dorado_International_Airport,,51275,2009-10-20T10:46:07+00:00
6109,SKCG,medium_airport,"Rafael Nuñez International Airport",10.4424,-75.513,4,SA,CO,CO-BOL,Cartagena,1,SKCG,CTG,CTG,,http://en.wikipedia.org/wiki/Rafael_N%C3%BA%C3%B1ez_International_Airport,,875,2009-10-20T10:46:09+00:00
6158,SKRG,medium_airport,"Jose Maria Córdova International Airport",6.16454,-75.4231,6955,SA,CO,CO-ANT,Medellín,1,SKRG,MDE,MDE,,http://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_C%C3%B3rdova_International_Airport,,1050,2017-08-14T21:49:57+00:00
6110,SKCL,medium_airport,"Alfonso Bonilla Aragon International Airport",3.54322,-76.3816,3162,SA,CO,CO-VAC,Cali,1,SKCL,CLO,CLO,,http://en.wikipedia.org/wiki/Alfonso_Bonilla_Arag%C3%B3n_International_Airport,,1050,2009-10-20T10:46:09+00:00
6163,SKSP,medium_airport,"Gustavo Rojas Pinilla International Airport",12.5836,-81.7112,19,SA,CO,CO-SAP,"San Andrés",1,SKSP,ADZ,ADZ,,http://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport,,875,2009-10-20T10:46:25+00:00
6105,SKBQ,medium_airport,"Ernesto Cortissoz International Airport",10.8896,-74.7808,98,SA,CO,CO-ATL,Barranquilla,1,SKBQ,BAQ,BAQ,,http://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport,,1050,2009-10-20T10:46:07+00:00
6161,SKSM,medium_airport,"Simón Bolívar International Airport",11.1196,-74.2306,22,SA,CO,CO-MAG,"Santa Marta",1,SKSM,SMR,SMR,,http://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar_International_Airport_(Colombia),,800,2015-05-08T23:40:04+00:00
6140,SKMZ,medium_airport,"La Nubia Airport",5.0296,-75.4647,6871,SA,CO,CO-CAL,Manizales,1,SKMZ,MZL,MZL,,http://en.wikipedia.org/wiki/La_Nubia_Airport,,800,2009-10-20T10:46:19+00:00
6132,SKMD,medium_airport,"Enrique Olaya Herrera Airport",6.220549,-75.590582,4949,SA,CO,CO-ANT,Medellín,1,SKMD,EOH,EOH,,http://en.wikipedia.org/wiki/Enrique_Olaya_Herrera_International_Airport,,800,2011-06-13T16:50:03+00:00
6148,SKPE,medium_airport,"Matecaña International Airport",4.81267,-75.7395,4416,SA,CO,CO-RIS,Pereira,1,SKPE,PEI,PEI,,http://en.wikipedia.org/wiki/Mateca%C3%B1a_International_Airport,,875,2009-10-20T10:46:19+00:00
6099,SKAR,medium_airport,"El Eden Airport",4.45278,-75.7664,3990,SA,CO,CO-QUI,Armenia,1,SKAR,AXM,AXM,,http://en.wikipedia.org/wiki/El_Ed%C3%A9n_Airport,,800,2009-10-20T10:46:07+00:00
6155,SKPV,medium_airport,"El Embrujo Airport",13.3569,-81.3583,10,SA,CO,CO-SAP,Providencia,1,SKPV,PVA,PVA,,http://en.wikipedia.org/wiki/El_Embrujo_Airport,,800,2015-05-09T00:28:37+00:00
6108,SKCC,medium_airport,"Camilo Daza International Airport",7.92757,-72.5115,1096,SA,CO,CO-NSA,Cúcuta,1,SKCC,CUC,CUC,,http://en.wikipedia.org/wiki/Camilo_Daza_International_Airport,,1050,2009-10-20T10:46:08+00:00
6130,SKLT,medium_airport,"Alfredo Vásquez Cobo International Airport",-4.19355,-69.9432,277,SA,CO,CO-AMA,Leticia,1,SKLT,LET,LET,,http://en.wikipedia.org/wiki/V%C3%A1squez_Cobo_International_Airport,,875,2009-10-20T10:46:17+00:00
6102,SKBG,medium_airport,"Palonegro Airport",7.1265,-73.1848,3897,SA,CO,CO-SAN,Bucaramanga,1,SKBG,BGA,BGA,,http://en.wikipedia.org/wiki/Palo_Negro_International_Airport,,800,2009-10-20T10:46:07+00:00
6154,SKPS,medium_airport,"Antonio Narino Airport",1.39625,-77.2915,5951,SA,CO,CO-NAR,Pasto,1,SKPS,PSO,PSO,,http://en.wikipedia.org/wiki/Antonio_Nari%C3%B1o_Airport,,800,2018-09-14T06:31:10+00:00
6177,SKVV,medium_airport,"Vanguardia Airport",4.16787,-73.6138,1394,SA,CO,CO-MET,Villavicencio,1,SKVV,VVC,VVC,,http://en.wikipedia.org/wiki/La_Vanguardia_Airport,,800,2009-10-20T10:46:27+00:00
40906,SK-429,small_airport,"Leticia Airport",4.463611,-75.033611,2197,SA,CO,CO-TOL,Alvarado,0,,,LCT,,,,50,2009-10-20T10:45:58+00:00
41044,SK-144,small_airport,"Ayacucho Airport",8.6,-73.616667,415,SA,CO,CO-CES,Ayacucho,0,,AYC,AYC,,,,50,2012-06-24T18:00:43+00:00
6119,SKGB,small_airport,"Marco Fidel Suarez Air Base",3.45899,-76.4966,3165,SA,CO,CO-VAC,Cali,0,SKGB,,,,,,50,2009-10-20T10:46:14+00:00
40960,SK-464,small_airport,"Praga Airport",4.589167,-75.981667,3025,SA,CO,CO-VAC,Obando,0,,,OBA,,,,50,2009-10-20T10:46:01+00:00
