id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2868,FCBB,medium_airport,"Maya-Maya Airport",-4.251699924468994,15.253000259399414,1048,AF,CG,CG-12,Brazzaville,1,FCBB,BZV,,,http://en.wikipedia.org/wiki/Maya-Maya_Airport,,875,2008-06-13T14:30:04+00:00
2871,FCPP,medium_airport,"Pointe Noire Airport",-4.816030025482178,11.88659954071045,55,AF,CG,CG-5,"Pointe Noire",1,FCPP,PNR,,,http://en.wikipedia.org/wiki/Pointe_Noire_Airport,"Antonio Agostinho Neto International Airport",875,2008-06-13T14:30:04+00:00
30920,FCPL,medium_airport,"Ngot Nzoungou Airport",-4.20635,12.6599,1079,AF,CG,CG-9,Dolisie,1,FCPD,DIS,,,http://en.wikipedia.org/wiki/Dolisie_Airport,Dolisie,450,2012-12-15T10:39:06+00:00
2870,FCOU,medium_airport,"Ouesso Airport",1.6159900426899998,16.0379009247,1158,AF,CG,CG-13,,0,FCOU,OUE,,,,,250,2014-03-27T11:19:29+00:00
2869,FCOO,medium_airport,"Owando Airport",-0.5313500165939331,15.95009994506836,1214,AF,CG,CG-8,Owando,0,FCOO,FTX,,,,,250,2008-12-19T20:05:25+00:00
31680,FCOI,small_airport,"Impfondo Airport",1.6169999837875366,18.066999435424805,1099,AF,CG,CG-7,Impfondo,0,FCOI,ION,,,,,50,2008-08-03T11:30:05+00:00
31959,FCMM,small_airport,"Mossendjo Airport",-2.950000047683716,12.699999809265137,1519,AF,CG,CG-9,Mossendjo,0,FCMM,MSX,,,,,50,2008-08-03T11:29:50+00:00
32036,FCBY,small_airport,"Yokangassi Airport",-4.223077,13.286347,541,AF,CG,CG-11,Nkayi,0,FCBY,NKY,,,http://en.wikipedia.org/wiki/Yokangassi_Airport,,50,2016-01-31T08:46:06+00:00
30645,FCBZ,small_airport,"Zanaga Airport",-2.8499999046325684,13.817000389099121,1870,AF,CG,CG-2,Zanaga,0,FCBZ,ANJ,,,,,50,2008-08-03T11:29:32+00:00
31081,FCBU,small_airport,"Aubeville Airport",-4.267000198364258,13.532999992370605,1148,AF,CG,CG-11,Aubeville,0,FCBU,,,,,,50,2008-08-03T11:29:28+00:00
31096,FCPB,small_airport,"Bangamba Airport",-3.683000087738037,13.199999809265137,1312,AF,CG,CG-2,Bangamba,0,FCPB,,,,,,50,2008-08-03T11:30:12+00:00
30798,FCOT,small_airport,"Betou Airport",3.049999952316284,18.5,1168,AF,CG,CG-7,Betou,0,FCOT,BTB,,,,,50,2008-08-03T11:30:08+00:00
30784,FCOB,small_airport,"Boundji Airport",-1.0329999923706055,15.383000373840332,1247,AF,CG,CG-8,Boundji,0,FCOB,BOE,,,,,50,2008-12-19T20:05:17+00:00
