id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4958,NCRG,large_airport,"Rarotonga International Airport",-21.2026996613,-159.805999756,19,OC,CK,CK-U-A,Avarua,1,NCRG,RAR,,,http://en.wikipedia.org/wiki/Rarotonga_International_Airport,,1275,2013-05-07T12:52:22+00:00
4957,NCAI,small_airport,"Aitutaki Airport",-18.830900192260742,-159.76400756835938,14,OC,CK,CK-U-A,Aitutaki,1,NCAI,AIT,,,http://en.wikipedia.org/wiki/Aitutaki_Airport,,450,2009-02-08T18:51:48+00:00
316695,NCPK,small_airport,"Pukapuka Island Airport",-10.9145,-165.8393,20,OC,CK,CK-U-A,"Pukapuka Atoll",0,NCPK,PZK,,,,"Wale, Te Ulu-o-Te-Watu",0,2016-01-15T10:37:12+00:00
30629,NCAT,small_airport,"Enua Airport",-19.96780014038086,-158.11900329589844,36,OC,CK,CK-U-A,"Atiu Island",1,NCAT,AIU,,,http://en.wikipedia.org/wiki/Enua_Airport,,450,2009-02-08T18:50:54+00:00
31900,NCMG,small_airport,"Mangaia Island Airport",-21.895986557006836,-157.9066619873047,45,OC,CK,CK-U-A,"Mangaia Island",1,NCMG,MGS,,,http://en.wikipedia.org/wiki/Mangaia_Airport,,450,2009-06-18T11:53:45+00:00
31907,NCMH,small_airport,"Manihiki Island Airport",-10.376700401306152,-161.0019989013672,,OC,CK,CK-U-A,"Manihiki Island",1,NCMH,MHX,,,http://en.wikipedia.org/wiki/Manihiki_Island_Airport,"Humphrey Island",450,2009-02-08T18:54:54+00:00
31968,NCMK,small_airport,"Mauke Airport",-20.13610076904297,-157.34500122070312,26,OC,CK,CK-U-A,"Mauke Island",1,NCMK,MUK,,,http://en.wikipedia.org/wiki/Mauke_Airport,"Akatoka Manava Airport",450,2008-06-13T14:30:04+00:00
31933,NCMR,small_airport,"Mitiaro Island Airport",-19.842500686645508,-157.7030029296875,25,OC,CK,CK-U-A,"Mitiaro Island",1,NCMR,MOI,,,http://en.wikipedia.org/wiki/Mitiaro_Airport,"Nukuroa Airport",450,2009-02-08T19:32:54+00:00
32184,NCPY,small_airport,"Tongareva Airport",-9.01436996459961,-158.03240966796875,8,OC,CK,CK-U-A,"Penrhyn Island",1,NCPY,PYE,,,http://en.wikipedia.org/wiki/Tongareva_Airport,,450,2009-02-08T18:22:56+00:00
32011,NCMN,small_airport,"Manuae Airport",-19.266700744628906,-158.9600067138672,15,OC,CK,CK-U-A,Manuae,0,NCMN,,,,,,50,2008-06-13T14:30:04+00:00
