id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4810,MROC,medium_airport,"Juan Santamaria International Airport",9.993860244750977,-84.20880126953125,3021,NA,CR,CR-A,"San Jose",1,MROC,SJO,,,http://en.wikipedia.org/wiki/Juan_Santamar%C3%ADa_International_Airport,,1050,2008-08-10T07:52:45+00:00
4806,MRLB,large_airport,"Daniel Oduber Quiros International Airport",10.5933,-85.544403,270,NA,CR,CR-G,Liberia,1,MRLB,LIR,,,http://en.wikipedia.org/wiki/Daniel_Oduber_Quir%C3%B3s_International_Airport,,875,2018-07-12T02:50:33+00:00
4813,MRPV,medium_airport,"Tobias Bolanos International Airport",9.957050323486328,-84.13980102539062,3287,NA,CR,CR-SJ,"San Jose",1,MRPV,SYQ,,,http://en.wikipedia.org/wiki/Tob%C3%ADas_Bola%C3%B1os_International_Airport,,875,2008-09-27T10:20:14+00:00
4814,MRQP,medium_airport,"Quepos Managua Airport",9.443160057067871,-84.12979888916016,85,NA,CR,CR-P,Quepos,1,MRQP,XQP,,,http://en.wikipedia.org/wiki/Quepos_Managua_Airport,,800,2008-06-13T14:30:04+00:00
4796,MRBA,medium_airport,"Buenos Aires Airport",9.163949,-83.330171,1214,NA,CR,CR-P,"Punta Arenas",0,MRBA,BAI,,,https://en.wikipedia.org/wiki/Buenos_Aires_Airport_(Costa_Rica),,250,2016-06-06T07:31:45+00:00
42000,MRTR,small_airport,"Tambor Airport",9.73852,-85.013802,33,NA,CR,CR-P,Nicoya,0,MRTR,TMU,,,https://en.wikipedia.org/wiki/Tambor_Airport,,50,2018-05-09T06:32:13+00:00
4808,MRLM,medium_airport,"Limon International Airport",9.95796012878418,-83.02200317382812,7,NA,CR,CR-L,"Puerto Limon",1,MRLM,LIO,,,http://en.wikipedia.org/wiki/Lim%C3%B3n_International_Airport,,875,2008-09-27T10:19:58+00:00
4797,MRBC,medium_airport,"Barra del Colorado Airport",10.768699645996094,-83.58560180664062,3,NA,CR,CR-L,Pococi,1,MRBC,BCL,,,http://en.wikipedia.org/wiki/Barra_del_Colorado_Airport,,800,2008-09-27T10:21:32+00:00
4795,MRAO,medium_airport,"Aerotortuguero Airport",10.42,-83.6095,92,NA,CR,CR-L,Roxana,1,MRAO,TTQ,,,,,800,2015-07-05T18:42:14+00:00
4805,MRGP,medium_airport,"Guapiles Airport",10.2172002792,-83.79699707030001,883,NA,CR,CR-L,Pococi,0,MRGP,GPL,,,http://en.wikipedia.org/wiki/Gu%C3%A1piles_Airport,,250,2011-10-08T18:27:29+00:00
41925,MRAN,small_airport,"Arenal Airport",10.478,-84.634499,342,NA,CR,CR-A,"La Fortuna/San Carlos",0,MRAN,FON,,,https://en.wikipedia.org/wiki/La_Fortuna_Arenal_Airport,,50,2018-05-11T06:36:29+00:00
31949,MRLF,small_airport,"La Flor Airport",10.649999618530273,-85.53299713134766,177,NA,CR,CR-G,Liberia,0,MRLF,,,,,,50,2008-09-27T10:19:55+00:00
