id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3984,LDDU,medium_airport,"Dubrovnik Airport",42.5614013671875,18.268199920654297,527,EU,HR,HR-19,Dubrovnik,1,LDDU,DBV,,,http://en.wikipedia.org/wiki/Dubrovnik_Airport,,1050,2008-12-19T20:08:33+00:00
3993,LDZA,large_airport,"Zagreb Airport",45.7429008484,16.0687999725,353,EU,HR,HR-21,Zagreb,1,LDZA,ZAG,,,http://en.wikipedia.org/wiki/Zagreb_Airport,Pleso,1275,2009-09-10T09:01:35+00:00
3991,LDSP,medium_airport,"Split Airport",43.53889846801758,16.29800033569336,79,EU,HR,HR-17,Split,1,LDSP,SPU,,,http://en.wikipedia.org/wiki/Split_Airport,,1050,2008-12-19T20:08:57+00:00
3987,LDPL,medium_airport,"Pula Airport",44.89350128173828,13.922200202941895,274,EU,HR,HR-18,Pula,1,LDPL,PUY,,,http://en.wikipedia.org/wiki/Pula_Airport,,1050,2008-12-19T20:08:47+00:00
3994,LDZD,medium_airport,"Zadar Airport",44.108299,15.3467,289,EU,HR,HR-13,"Zemunik (Zadar)",1,LDZD,ZAD,,https://www.zadar-airport.hr/en,http://en.wikipedia.org/wiki/Zadar_Airport,,875,2018-10-20T05:21:51+00:00
3989,LDRI,medium_airport,"Rijeka Airport",45.21689987182617,14.570300102233887,278,EU,HR,HR-08,Rijeka,1,LDRI,RJK,,,http://en.wikipedia.org/wiki/Rijeka_Airport,"Reka, Rika, Fiume",975,2009-01-03T17:09:57+00:00
30541,LDPV,small_airport,"Vrsar Crljenka Airport",45.141700744628906,13.630599975585938,121,EU,HR,HR-18,Vrsar,0,LDPV,,,,,,50,2008-12-19T20:08:51+00:00
30085,LDLO,small_airport,"Lošinj Island Airport",44.5657997131,14.3930997849,151,EU,HR,HR-08,Lošinj,0,LDLO,LSZ,,,http://en.wikipedia.org/wiki/Lo%C5%A1inj_Airport,,50,2012-04-15T23:42:17+00:00
3990,LDSB,medium_airport,"Bol Airport",43.285701751708984,16.67970085144043,1776,EU,HR,HR-17,"Brač Island",1,LDSB,BWK,,,http://en.wikipedia.org/wiki/Bol_Airport,"Brač Airport",800,2009-01-03T15:23:53+00:00
30506,LDPN,small_airport,"Unije Airport",44.628299713134766,14.241100311279297,39,EU,HR,HR-08,"Unije Island",0,LDPN,,,,,,50,2009-01-03T17:05:56+00:00
29968,LDSH,small_airport,"Hvar Airport",43.181702,16.633301,92,EU,HR,HR-17,"Hvar Island",0,LDSH,,,,,,50,2016-02-15T00:13:30+00:00
3992,LDVA,small_airport,"Varaždin Airport",46.294647216796875,16.382932662963867,548,EU,HR,HR-05,Varaždin,0,LDVA,,,,,,50,2009-01-03T17:11:32+00:00
30574,LDZL,small_airport,"Lučko Airport",45.76689910888672,15.848600387573242,400,EU,HR,HR-21,Zagreb,0,LDZL,,,,http://en.wikipedia.org/wiki/Lu%C4%8Dko_Airport,,50,2009-01-03T17:11:54+00:00
3986,LDOS,medium_airport,"Osijek Airport",45.46269989013672,18.810199737548828,290,EU,HR,HR-14,Osijek,0,LDOS,OSI,,,http://en.wikipedia.org/wiki/Osijek_Airport,,275,2008-12-19T20:08:43+00:00
29747,LDVC,small_airport,"Čakovec Pribisla Airport",46.39189910888672,16.50029945373535,512,EU,HR,HR-20,Čakovec,0,LDVC,,,,,,50,2009-01-03T15:21:31+00:00
3988,LDRG,small_airport,"Grobnicko Polje Airport",45.37950134277344,14.503800392150879,951,EU,HR,HR-08,Grobnicko,0,LDRG,,,,,,50,2009-01-03T17:05:56+00:00
30226,LDRO,small_airport,"Otočac Airport",44.847774505615234,15.286617279052734,1539,EU,HR,HR-09,Otočac,0,LDRO,,,,,,50,2009-01-03T17:09:19+00:00
3995,LDZU,closed,"Udbina Air Base",44.55759811401367,15.774399757385254,2462,EU,HR,HR-09,Udbina,0,LDZU,,,,,,250,2009-03-27T18:08:06+00:00
29744,LDZB,small_airport,"Buševec Velika Glider Airport",45.647499084472656,16.124399185180664,341,EU,HR,HR-01,Busevec,0,LDZB,,,,,,50,2009-01-03T17:07:42+00:00
3985,LDOC,small_airport,"Osijek-Čepin Airfield",45.5427778,18.6319444,299,EU,HR,HR-14,Čepin,0,LDOC,,,http://www.ak-osijek.hr,,,50,2016-09-30T06:34:43+00:00
30128,LDPM,small_airport,"Medulin Campanoz Airport",44.843299865722656,13.904199600219727,171,EU,HR,HR-18,Medulin,0,LDPM,,,,,,50,2008-12-19T20:08:49+00:00
30417,LDSS,small_airport,"Sinj Glider Airport",43.70029830932617,16.67140007019043,981,EU,HR,HR-17,Sinj,0,LDSS,,,,,,50,2008-12-19T20:08:59+00:00
315504,LDZS,small_airport,Sisak,45.465556,16.486389,,EU,HR,HR-03,,0,LDZS,,,,,,0,2015-09-20T17:11:46+00:00
321953,LDSJ,closed,"Hvar/Jelsa Seaplane Base",43.172778,16.700172,1,EU,HR,HR-U-A,Hvar,0,LDSJ,,,,,,0,2018-09-13T06:42:11+00:00
316069,LDZK,small_airport,"Aerodrom Zabok-Gubaševo",46.013233,15.860129,,EU,HR,HR-02,Zabok,0,LDZK,,,http://www.zagorje-aerodrom.hr/,,,0,2017-07-13T09:18:18+00:00
29710,LDZJ,small_airport,"Bjelovar Brezova Airport",45.860801696777344,16.835800170898438,430,EU,HR,HR-07,Bjelovar,0,LDZJ,,,,,,50,2009-01-03T17:05:56+00:00
29765,LDZC,closed,"Čazma Grabovnica Airport",45.749698638916016,16.66360092163086,479,EU,HR,HR-07,Čazma,0,LDZC,,,,,,50,2009-03-27T18:08:06+00:00
29819,LDVD,small_airport,"Daruvar Blagorod Airport",45.55939865112305,17.033100128173828,410,EU,HR,HR-07,Daruvar,0,LDVD,,,,,,50,2009-01-03T17:05:56+00:00
30039,LDVK,closed,"Koprivnica Danic Airport",46.21310043334961,16.837200164794922,440,EU,HR,HR-06,Koprivnica,0,LDVK,,,,,,50,2009-03-27T18:08:06+00:00
3983,LDDP,closed,"Ploce Airport",43.038700103759766,17.42959976196289,7,EU,HR,HR-19,Ploce,0,LDDP,,,,,,50,2009-03-27T18:08:09+00:00
30422,LDOR,small_airport,"Slavonski Jelas Airport",45.15610122680664,17.988100051879883,276,EU,HR,HR-12,Slavonski,0,LDOR,,,,,,50,2008-12-19T20:08:41+00:00
30534,LDOV,small_airport,"Vinkovci Sopot Airport",45.2510986328125,18.759199142456055,266,EU,HR,HR-16,Vinkovci,0,LDOV,,,,,,50,2008-12-19T20:08:45+00:00
30543,LDOB,closed,"Vukovar Borovo N Airport",45.386398,18.962799,289,EU,HR,HR-16,Vukovar,0,LDOB,,,,,,50,2017-01-30T03:55:27+00:00
3235,LD57,small_airport,"Sepurine Training Base",44.209999084472656,15.163200378417969,60,EU,HR,HR-13,Zaton,0,LD57,,LD57,,,,50,2009-03-27T18:08:06+00:00
327858,HR-0006,small_airport,"Pisarovina Airfield",45.6181172,15.7934802,,EU,HR,HR-01,,0,,,,,,Panavia,0,2018-05-18T08:53:25+00:00
