id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4839,MUHA,large_airport,"José Martí International Airport",22.989200592041016,-82.40910339355469,210,NA,CU,CU-03,Havana,1,MUHA,HAV,,,http://en.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%AD_International_Airport,Habana,1200,2008-06-13T14:30:04+00:00
4859,MUVR,large_airport,"Juan Gualberto Gomez International Airport",23.034400939941406,-81.435302734375,210,NA,CU,CU-04,Varadero,1,MUVR,VRA,,,http://en.wikipedia.org/wiki/Juan_Gualberto_G%C3%B3mez_Airport,,1200,2008-06-13T14:30:04+00:00
4840,MUHG,medium_airport,"Frank Pais International Airport",20.785600662231445,-76.31510162353516,361,NA,CU,CU-11,Holguin,1,MUHG,HOG,,,http://en.wikipedia.org/wiki/Frank_Pa%C3%ADs_Airport,,1050,2008-10-17T19:57:18+00:00
4854,MUSC,medium_airport,"Abel Santamaria Airport",22.49220085144043,-79.943603515625,338,NA,CU,CU-05,"Santa Clara",0,MUSC,SNU,,,http://en.wikipedia.org/wiki/Abel_Santa_Mar%C3%ADa_Airport,,250,2008-10-17T19:57:31+00:00
4835,MUCU,medium_airport,"Antonio Maceo International Airport",19.96980094909668,-75.83540344238281,249,NA,CU,CU-13,Santiago,1,MUCU,SCU,,,http://en.wikipedia.org/wiki/Antonio_Maceo_Airport,,1050,2008-10-17T19:57:16+00:00
4850,MUOC,closed,"Cayo Coco Airport",22.513200759900002,-78.51100158690001,6,NA,CU,CU-08,"Cayo Coco",0,MUOC,,,,http://en.wikipedia.org/wiki/Cayo_Coco_Airport,CCC,800,2011-08-13T17:20:11+00:00
4834,MUCM,medium_airport,"Ignacio Agramonte International Airport",21.420299530029297,-77.84750366210938,413,NA,CU,CU-09,Camaguey,1,MUCM,CMW,,,http://en.wikipedia.org/wiki/Ignacio_Agramonte_International_Airport,,875,2008-10-17T19:57:22+00:00
4837,MUGM,medium_airport,"Leeward Point Field",19.906499862671,-75.207099914551,56,NA,CU,CU-14,"Guantanamo Bay Naval Station",0,MUGM,NBW,,,https://en.wikipedia.org/wiki/Leeward_Point_Field,"Gitmo, Leeward Point Fld",275,2015-09-06T10:16:47+00:00
4829,MUCA,medium_airport,"Maximo Gomez Airport",22.027099609375,-78.78959655761719,335,NA,CU,CU-08,"Ciego de Avila",1,MUCA,AVI,,,http://en.wikipedia.org/wiki/M%C3%A1ximo_G%C3%B3mez_Airport,,875,2008-10-17T19:57:27+00:00
4831,MUCC,medium_airport,"Jardines Del Rey Airport",22.461000442499998,-78.32839965820001,13,NA,CU,CU-08,"Cayo Coco",1,MUCC,CCC,,,http://en.wikipedia.org/wiki/Jardines_del_Rey_Airport,"Cayo Coco",400,2011-08-13T17:22:04+00:00
