id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4408,LKPR,large_airport,"Václav Havel Airport Prague",50.1008,14.26,1247,EU,CZ,CZ-PR,Prague,1,LKPR,PRG,,http://www.prg.aero,http://en.wikipedia.org/wiki/Ruzyn%C4%9B_International_Airport,"Letiště Praha-Ruzyně, Ruzyně International Airport, Letiště Václava Havla Praha",51475,2016-10-16T16:24:57+00:00
4409,LKTB,medium_airport,"Brno-Tuřany Airport",49.15129852294922,16.694400787353516,778,EU,CZ,CZ-JM,Brno,1,LKTB,BRQ,,http://www.airport-brno.cz/index.php?id=0&lang=en,http://en.wikipedia.org/wiki/Brno-Tu%C5%99any_Airport,,1050,2009-02-11T17:03:36+00:00
30074,LKLT,small_airport,"Letňany Airport",50.13140106201172,14.52560043334961,909,EU,CZ,CZ-PR,Letňany,0,LKLT,,,,,,50,2009-02-11T22:13:15+00:00
4395,LKHK,small_airport,"Hradec Králové Airport",50.253201,15.8452,791,EU,CZ,CZ-KR,"Hradec Králové",0,LKHK,,,http://www.lshk.cz,https://en.wikipedia.org/wiki/Hradec_Kr%C3%A1lov%C3%A9_Airport,,50,2016-08-17T15:56:22+00:00
4399,LKKV,medium_airport,"Karlovy Vary International Airport",50.202999114990234,12.914999961853027,1989,EU,CZ,CZ-KA,"Karlovy Vary",1,LKKV,KLV,,http://www.airport-k-vary.cz/indexEN.php,http://en.wikipedia.org/wiki/Karlovy_Vary_International_Airport,,975,2009-02-11T16:30:32+00:00
4398,LKKU,medium_airport,"Kunovice Airport",49.02939987182617,17.439699172973633,581,EU,CZ,CZ-ZL,"Uherské Hradiště",0,LKKU,UHE,,,http://en.wikipedia.org/wiki/Kunovice_Airport,"Letiště Kunovice",250,2009-02-11T17:10:18+00:00
4402,LKMT,medium_airport,"Ostrava Leos Janáček Airport",49.6963005065918,18.111099243164062,844,EU,CZ,CZ-MO,Ostrava,1,LKMT,OSR,,http://www.airport-ostrava.cz/en/,http://en.wikipedia.org/wiki/Ostrava_Leos_Janacek_Airport,"Ostrava-Mošnov International Airport",1050,2009-02-11T17:05:12+00:00
4406,LKPM,small_airport,"Pribram Airport",49.7201,14.1006,1529,EU,CZ,CZ-ST,Pribram,0,LKPM,,,http://www.lkpm.cz,,,50,2017-05-31T06:27:50+00:00
4405,LKPD,medium_airport,"Pardubice Airport",50.01340103149414,15.73859977722168,741,EU,CZ,CZ-PA,Pardubice,1,LKPD,PED,,http://www.airport-pardubice.cz/?lang=en,http://en.wikipedia.org/wiki/Pardubice_Airport,"Letiště Pardubice",975,2009-02-11T17:06:30+00:00
