id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2096,DIAP,medium_airport,"Port Bouet Airport",5.261390209197998,-3.9262900352478027,21,AF,CI,CI-01,Abidjan,1,DIAP,ABJ,,,http://en.wikipedia.org/wiki/Port_Bouet_Airport,"Félix Houphouët-Boigny International Airport",1050,2008-06-13T14:30:04+00:00
2102,DIYO,medium_airport,"Yamoussoukro Airport",6.9031701088,-5.36558008194,699,AF,CI,CI-07,Yamoussoukro,0,DIYO,ASK,,,http://en.wikipedia.org/wiki/Yamoussoukro_Airport,,250,2012-11-10T11:44:41+00:00
2097,DIBK,medium_airport,"Bouaké Airport",7.738800048828125,-5.073669910430908,1230,AF,CI,CI-04,,1,DIBK,BYK,,,http://en.wikipedia.org/wiki/Bouak%C3%A9_Airport,,800,2008-06-13T14:30:04+00:00
2098,DIDL,medium_airport,"Daloa Airport",6.792809963226318,-6.473189830780029,823,AF,CI,CI-02,,0,DIDL,DJO,,,,,250,2008-06-13T14:30:04+00:00
2100,DIMN,medium_airport,"Man Airport",7.272069931030273,-7.58735990524292,1089,AF,CI,CI-06,,0,DIMN,MJC,,,,,250,2008-06-13T14:30:04+00:00
2101,DISP,medium_airport,"San Pedro Airport",4.746719837188721,-6.660820007324219,26,AF,CI,CI-09,,0,DISP,SPY,,,,,250,2008-06-13T14:30:04+00:00
2099,DIKO,medium_airport,"Korhogo Airport",9.38718032837,-5.55666017532,1214,AF,CI,CI-03,Korhogo,0,DIKO,HGO,,,http://en.wikipedia.org/wiki/Korhogo_Airport,,250,2013-07-19T07:03:28+00:00
32098,DIAU,small_airport,"Abengourou Airport",6.715559959411621,-3.4702799320220947,676,AF,CI,CI-05,Abengourou,0,DIAU,OGO,,,,,50,2008-12-19T22:09:11+00:00
30914,DIBC,small_airport,"Bocanda Airport",7.0329999923706055,-4.5329999923706055,427,AF,CI,CI-11,Bocanda,0,DIBC,,,,,,50,2008-12-19T20:04:27+00:00
