id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3040,FZAA,large_airport,"Ndjili International Airport",-4.38575,15.4446,1027,AF,CD,CD-KN,Kinshasa,1,FZAA,FIH,,,https://en.wikipedia.org/wiki/N%27djili_Airport,,1050,2019-01-13T13:29:08+00:00
3057,FZNA,medium_airport,"Goma International Airport",-1.6708099842071533,29.238500595092773,5089,AF,CD,CD-NK,Goma,1,FZNA,GOM,,,http://en.wikipedia.org/wiki/Goma_International_Airport,,800,2008-06-13T14:30:04+00:00
3059,FZQA,medium_airport,"Lubumbashi International Airport",-11.5913000107,27.5308990479,4295,AF,CD,CD-KA,Lubumbashi,1,FZQA,FBM,,,http://en.wikipedia.org/wiki/Lubumbashi_International_Airport,,1050,2012-05-06T14:38:49+00:00
3056,FZMA,medium_airport,"Bukavu Kavumu Airport",-2.3089799880981445,28.808799743652344,5643,AF,CD,CD-SK,,0,FZMA,BKY,,,,,250,2008-10-23T08:25:28+00:00
3054,FZKA,medium_airport,"Bunia Airport",1.5657199621200562,30.220800399780273,4045,AF,CD,CD-OR,,1,FZKA,BUX,,,http://en.wikipedia.org/wiki/Bunia_Airport,,800,2008-08-03T11:38:11+00:00
3052,FZIC,medium_airport,"Bangoka International Airport",0.481638997793,25.3379993439,1417,AF,CD,CD-OR,Kisangani,1,FZIC,FKI,,,http://en.wikipedia.org/wiki/Bangoka_International_Airport,,800,2010-08-30T12:52:06+00:00
3041,FZAB,medium_airport,"Ndolo Airport",-4.32666015625,15.327500343323,915,AF,CD,CD-KN,N'dolo,0,FZAB,NLO,,,https://en.wikipedia.org/wiki/N%27Dolo_Airport,"N'Dolo Airport",250,2015-12-13T20:57:05+00:00
3061,FZRF,medium_airport,"Kalemie Airport",-5.8755598068237305,29.25,2569,AF,CD,CD-KA,,1,FZRF,FMI,,,http://en.wikipedia.org/wiki/Kalemie_Airport,,800,2008-08-03T11:38:58+00:00
3063,FZUA,medium_airport,"Kananga Airport",-5.90005016327,22.4692001343,2139,AF,CD,CD-KW,Kananga,1,FZUA,KGA,,,http://en.wikipedia.org/wiki/Kananga_Airport,,800,2010-08-30T12:53:45+00:00
3064,FZWA,medium_airport,"Mbuji Mayi Airport",-6.121240139010001,23.569000244099996,2221,AF,CD,CD-KE,"Mbuji Mayi",1,FZWA,MJM,,,http://en.wikipedia.org/wiki/Mbuji_Mayi_Airport,,800,2010-08-30T12:57:05+00:00
30780,FZNP,small_airport,"Beni Airport",0.575,29.4739,3517,AF,CD,CD-NK,Beni,0,FZNP,BNC,,,https://en.wikipedia.org/wiki/Beni_Airport,,50,2018-05-01T17:32:43+00:00
3060,FZQM,medium_airport,"Kolwezi Airport",-10.765899658203125,25.505699157714844,5007,AF,CD,CD-KA,,1,FZQM,KWZ,,,http://en.wikipedia.org/wiki/Kolwezi_Airport,,800,2008-08-03T11:38:39+00:00
3058,FZOA,medium_airport,"Kindu Airport",-2.91917991638,25.915399551399997,1630,AF,CD,CD-MA,Kindu,1,FZOA,KND,,,http://en.wikipedia.org/wiki/Kindu_Airport,,800,2010-08-30T12:54:07+00:00
3042,FZAG,small_airport,"Muanda Airport",-5.9308600425720215,12.351799964904785,89,AF,CD,CD-BC,,1,FZAG,MNB,,,http://en.wikipedia.org/wiki/Muanda_Airport,,450,2008-08-03T11:34:10+00:00
31827,FZVA,small_airport,"Lodja Airport",-3.4170000553131104,23.450000762939453,1647,AF,CD,CD-KE,Lodja,1,FZVA,LJA,,,,,450,2008-08-03T11:40:08+00:00
42423,CD-0001,small_airport,Beni,0.5027468204498291,29.474258422851562,,AF,CD,CD-NK,,0,,,,,,,50,2008-10-23T08:20:45+00:00
31727,FZRM,small_airport,"Kabalo Airport",-6.083000183105469,26.91699981689453,1840,AF,CD,CD-KA,Kabalo,0,FZRM,KBO,,,,,50,2008-08-03T11:39:07+00:00
31455,FZSB,small_airport,"Ville Airport",-8.728610038757324,24.99139976501465,3475,AF,CD,CD-KA,Kamina,0,FZSB,,,,,,50,2008-08-03T11:39:16+00:00
31429,FZOK,small_airport,"Kasongo Airport",-4.5329999923706055,26.617000579833984,1785,AF,CD,CD-MA,Kasongo,0,FZOK,,,,,,50,2008-10-23T11:33:49+00:00
31416,FZNB,small_airport,"Katale Airport",-1.3047200441360474,29.373899459838867,4589,AF,CD,CD-NK,Katale,0,FZNB,,,,,,50,2008-10-23T11:07:08+00:00
31395,FZIK,small_airport,"Katende Airport",0.3330000042915344,25.5,1476,AF,CD,CD-OR,Katende,0,FZIK,,,,,,50,2008-08-03T11:37:49+00:00
31414,FZMP,small_airport,"Kimano Ii Airport",-4.382999897003174,28.350000381469727,2461,AF,CD,CD-MA,"Kimano Ii",0,FZMP,,,,,,50,2008-10-23T12:10:40+00:00
31767,FZRQ,small_airport,"Kongolo Airport",-5.39444,26.99,1850,AF,CD,CD-KA,Kongolo,0,FZRQ,KOO,,,https://en.wikipedia.org/wiki/Kongolo_Airport,,50,2018-05-01T17:35:40+00:00
31396,FZIZ,small_airport,"Lokutu Airport",1.1169999837875366,23.617000579833984,1214,AF,CD,CD-OR,Lokutu,0,FZIZ,,,,,,50,2008-08-03T11:37:53+00:00
31929,FZRA,small_airport,"Manono Airport",-7.2888898849487305,27.394399642944336,2077,AF,CD,CD-KA,Manono,0,FZRA,MNO,,,,,50,2008-08-03T11:38:49+00:00
30693,FZRB,small_airport,"Moba Airport",-7.066999912261963,29.783000946044922,2953,AF,CD,CD-KA,Moba,0,FZRB,BDV,,,,,50,2008-08-03T11:38:50+00:00
31427,FZOH,small_airport,"Moga Airport",-2.4670000076293945,26.799999237060547,2018,AF,CD,CD-MA,Moga,0,FZOH,,,,,,50,2008-10-23T11:34:07+00:00
31411,FZMC,small_airport,"Mulungu Airport",-2.9830000400543213,27.850000381469727,2400,AF,CD,CD-SK,Mulungu,0,FZMC,,,,,,50,2008-10-23T11:17:20+00:00
32178,FZOP,small_airport,"Punia Airport",-1.3669999837875366,26.33300018310547,1742,AF,CD,CD-MA,Punia,0,FZOP,PUN,,,,,50,2008-10-23T11:38:50+00:00
31417,FZNC,small_airport,"Rutshuru Airport",-1.1670000553131104,29.41699981689453,3707,AF,CD,CD-NK,Rutshuru,0,FZNC,,,,,,50,2008-10-23T11:07:18+00:00
31457,FZSD,small_airport,"Sandoa Airport",-9.633000373840332,22.850000381469727,3022,AF,CD,CD-KA,Sandoa,0,FZSD,,,,,,50,2008-08-03T11:39:20+00:00
31415,FZMW,small_airport,"Shabunda Airport",-2.683000087738037,27.33300018310547,1837,AF,CD,CD-SK,Shabunda,0,FZMW,,,,,,50,2008-10-23T11:42:12+00:00
3044,FZBO,medium_airport,"Bandundu Airport",-3.3113200664520264,17.38170051574707,1063,AF,CD,CD-BN,,1,FZBO,FDU,,,http://en.wikipedia.org/wiki/Bandundu_Airport,,800,2008-08-03T11:34:59+00:00
3045,FZCA,medium_airport,"Kikwit Airport",-5.035769939422607,18.785600662231445,1572,AF,CD,CD-BN,,1,FZCA,KKW,,,http://en.wikipedia.org/wiki/Kikwit_Airport,,800,2008-08-03T11:35:14+00:00
3047,FZFD,medium_airport,"Gbadolite Airport",4.253210067749023,20.975299835205078,1509,AF,CD,CD-EQ,,1,FZFD,BDT,,,http://en.wikipedia.org/wiki/Gbadolite_Airport,,800,2008-08-03T11:36:49+00:00
3053,FZJH,medium_airport,"Matari Airport",2.8276100158691406,27.588300704956055,2438,AF,CD,CD-OR,,1,FZJH,IRP,,,http://en.wikipedia.org/wiki/Matari_Airport,,800,2008-08-03T11:38:02+00:00
3048,FZFK,medium_airport,"Gemena Airport",3.2353699207299997,19.771299362199997,1378,AF,CD,CD-EQ,Gemena,1,FZFK,GMA,,,http://en.wikipedia.org/wiki/Gemena_Airport,,800,2010-08-30T12:53:18+00:00
3046,FZEA,medium_airport,"Mbandaka Airport",0.0226000007242,18.2887001038,1040,AF,CD,CD-EQ,Mbandaka,1,FZEA,MDK,,,http://en.wikipedia.org/wiki/Mbandaka_Airport,,800,2010-08-30T12:55:51+00:00
30796,FZEN,small_airport,"Basankusu Airport",1.2247200012207031,19.78890037536621,1217,AF,CD,CD-EQ,Basankusu,1,FZEN,BSU,,,,,450,2008-08-03T11:36:34+00:00
30783,FZAJ,small_airport,"Boma Airport",-5.854000091552734,13.064000129699707,26,AF,CD,CD-BC,Boma,1,FZAJ,BOA,,,,,450,2008-08-03T11:34:16+00:00
32156,FZVS,small_airport,"Ilebo Airport",-4.329919,20.590124,1450,AF,CD,CD-KW,Ilebo,1,FZVS,PFR,,,https://en.wikipedia.org/wiki/Ilebo_Airport,,450,2016-06-06T07:33:49+00:00
31679,FZBA,small_airport,"Inongo Airport",-1.947219967842102,18.28580093383789,1040,AF,CD,CD-BN,Inongo,1,FZBA,INO,,,,,450,2008-08-03T11:34:35+00:00
31775,FZBT,small_airport,"Basango Mboliasa Airport",-1.434999942779541,19.02400016784668,1013,AF,CD,CD-BN,Kiri,1,FZBT,KRZ,,,,,450,2008-08-03T11:35:06+00:00
31877,FZAM,small_airport,"Tshimpi Airport",-5.799610137939453,13.440400123596191,1115,AF,CD,CD-BC,Matadi,1,FZAM,MAT,,,http://en.wikipedia.org/wiki/Tshimpi_Airport,,450,2008-06-13T14:30:04+00:00
32030,FZBI,small_airport,"Nioki Airport",-2.7174999713897705,17.68470001220703,1043,AF,CD,CD-BN,Nioki,1,FZBI,NIO,,,,,450,2008-08-03T11:34:49+00:00
32478,FZUK,small_airport,"Tshikapa Airport",-6.43833,20.794701,1595,AF,CD,CD-KW,Tshikapa,1,FZUK,TSH,,,https://en.wikipedia.org/wiki/Tshikapa_Airport,,450,2018-09-15T16:06:56+00:00
31484,FZVJ,small_airport,"Tshumbe Airport",-4.099999904632568,24.367000579833984,1804,AF,CD,CD-KE,Tshumbe,1,FZVJ,,,,http://en.wikipedia.org/wiki/Tshombe_Airport,Tshombe,450,2008-08-03T11:40:23+00:00
