id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2542,EKCH,large_airport,"Copenhagen Kastrup Airport",55.617900848389,12.656000137329,17,EU,DK,DK-84,Copenhagen,1,EKCH,CPH,,http://www.cph.dk/en/,http://en.wikipedia.org/wiki/Copenhagen_Airport,"København, Malmö",1020075,2015-09-19T15:12:02+00:00
2541,EKBI,large_airport,"Billund Airport",55.7402992249,9.15178012848,247,EU,DK,DK-83,Billund,1,EKBI,BLL,,http://www.billund-airport.dk/?sc_lang=en,http://en.wikipedia.org/wiki/Billund_Airport,,1275,2011-07-23T10:40:06+00:00
2562,EKYT,large_airport,"Aalborg Airport",57.0927589138,9.84924316406,10,EU,DK,DK-81,Aalborg,1,EKYT,AAL,,http://www.aal.dk,http://en.wikipedia.org/wiki/Aalborg_Airport,,1275,2010-07-27T05:41:11+00:00
2540,EKAH,medium_airport,"Aarhus Airport",56.2999992371,10.619000434899998,82,EU,DK,DK-82,Aarhus,1,EKAH,AAR,,http://www.aar.dk/default.asp?id=87,http://en.wikipedia.org/wiki/Aarhus_Airport,,1050,2011-07-23T10:42:29+00:00
2551,EKRK,medium_airport,"Copenhagen Roskilde Airport",55.585601806640625,12.131400108337402,146,EU,DK,DK-85,Copenhagen,0,EKRK,RKE,,,http://en.wikipedia.org/wiki/Roskilde_Airport,København,575,2008-07-13T07:18:45+00:00
2552,EKRN,medium_airport,"Bornholm Airport",55.06330108642578,14.759599685668945,52,EU,DK,DK-84,Rønne,1,EKRN,RNN,,http://www.bornholms-lufthavn.dk/en/,http://en.wikipedia.org/wiki/Bornholm_Airport,Roenne,1050,2009-02-25T17:24:40+00:00
2553,EKSB,medium_airport,"Sønderborg Airport",54.96440124511719,9.791729927062988,24,EU,DK,DK-83,Sønderborg,1,EKSB,SGD,,,http://en.wikipedia.org/wiki/S%C3%B8nderborg_Airport,"Sonderborg, Soenderborg",975,2008-07-13T07:23:11+00:00
2549,EKOD,medium_airport,"Odense Airport",55.47669982910156,10.330900192260742,56,EU,DK,DK-83,Odense,1,EKOD,ODE,,,http://en.wikipedia.org/wiki/Odense_Airport,,975,2008-07-13T07:21:05+00:00
29235,EKEL,small_airport,"Endelave Flyveplads",55.7565,10.2485,15,EU,DK,DK-82,Endelave,0,EKEL,,,http://www.toftair.dk/,,,50,2018-12-22T13:49:54+00:00
