id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3174,HDAM,medium_airport,"Djibouti-Ambouli Airport",11.547300338745117,43.15950012207031,49,AF,DJ,DJ-DJ,"Djibouti City",1,HDAM,JIB,,,http://en.wikipedia.org/wiki/Djibouti-Ambouli_International_Airport,,1050,2008-07-18T22:28:04+00:00
39580,HDAS,small_airport,"Ali-Sabieh Airport",11.1468888889,42.72,2320,AF,DJ,DJ-AS,Ali-Sabieh,0,HDAS,AII,,,http://en.wikipedia.org/wiki/Ali-Sabieh_Airport,,50,2012-03-02T08:09:40+00:00
39581,HDAG,small_airport,"Assa-Gueyla Airport",12.188882,42.637494,2050,AF,DJ,DJ-TA,Assa-Gueyla,0,HDAG,,,,http://en.wikipedia.org/wiki/Assa-Gueyla_Airport,,50,2016-06-02T08:23:44+00:00
31574,HDCH,small_airport,"Chabelley Airport",11.516799926757812,43.0614013671875,279,AF,DJ,DJ-AR,Chabelley,0,HDCH,,,,http://en.wikipedia.org/wiki/Chabelley_Airport,,50,2008-07-18T22:39:51+00:00
39582,HDDK,small_airport,"Dikhil Airport",11.097958,42.350556,1520,AF,DJ,DJ-DI,Dikhil,0,HDDK,,,,http://en.wikipedia.org/wiki/Dikhil_Airport,,50,2016-06-02T08:25:25+00:00
39583,HDHE,small_airport,"Herkale Airport",12.4449,43.292575,38,AF,DJ,DJ-OB,Herkale,0,HDHE,,,,http://en.wikipedia.org/wiki/Herkale_Airport,,50,2016-06-01T08:01:36+00:00
39584,HDMO,small_airport,"Moucha Airport",11.716667175292969,43.20000076293945,,AF,DJ,DJ-DJ,"Moucha Island",0,HDMO,MHI,,,http://en.wikipedia.org/wiki/Moucha_Airport,,50,2008-07-18T22:39:13+00:00
32082,HDOB,small_airport,"Obock Airport",11.967000007629395,43.266998291015625,69,AF,DJ,DJ-OB,Obock,0,HDOB,OBC,,,http://en.wikipedia.org/wiki/Obock_Airport,,50,2008-07-18T22:40:38+00:00
32430,HDTJ,small_airport,"Tadjoura Airport",11.782999992370605,42.91699981689453,246,AF,DJ,DJ-TA,Tadjoura,0,HDTJ,TDJ,,,http://en.wikipedia.org/wiki/Tadjoura_Airport,,50,2008-07-18T22:41:11+00:00
