id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6056,SEGU,medium_airport,"José Joaquín de Olmedo International Airport",-2.1574199199699997,-79.88359832760001,19,SA,EC,EC-G,Guayaquil,1,SEGU,GYE,,,http://en.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_de_Olmedo_International_Airport,"Simon Bolivar International Airport",1050,2014-10-02T21:31:39+00:00
308273,SEQM,large_airport,"Mariscal Sucre International Airport",-0.129166666667,-78.3575,7841,SA,EC,EC-P,Quito,1,SEQM,UIO,UIO,,http://en.wikipedia.org/wiki/Mariscal_Sucre_International_Airport,"Nuevo Aeropuerto Internacional Mariscal Sucre",0,2015-04-19T17:23:24+00:00
6073,SEQU,closed,"Mariscal Sucre International Airport",-0.141144007444,-78.4881973267,9228,SA,EC,EC-P,Quito,1,SEQU,,,http://www.aeropuertoquito.aero/,http://en.wikipedia.org/wiki/Old_Mariscal_Sucre_International_Airport,"Quito, Ecuador, Dangerous, Closed, Mountains, Volcano, America, Middle of the world",475,2013-02-25T20:00:36+00:00
6055,SEGS,small_airport,"Seymour Airport",-0.45375800132751465,-90.26589965820312,207,SA,EC,EC-W,Baltra,1,SEGS,GPS,,,,,450,2008-08-08T17:18:26+00:00
6054,SECU,medium_airport,"Mariscal Lamar Airport",-2.88947,-78.984398,8306,SA,EC,EC-A,Cuenca,1,SECU,CUE,,,https://en.wikipedia.org/wiki/Mariscal_Lamar_International_Airport,,925,2018-09-16T04:08:13+00:00
6079,SEST,small_airport,"San Cristóbal Airport",-0.910206,-89.617401,62,SA,EC,EC-W,"San Cristóbal",1,SEST,SCY,,,https://en.wikipedia.org/wiki/San_Cristóbal_Airport,,450,2018-09-16T04:06:21+00:00
6066,SEMT,medium_airport,"Eloy Alfaro International Airport",-0.9460780024528503,-80.67880249023438,48,SA,EC,EC-M,Manta,1,SEMT,MEC,,,http://en.wikipedia.org/wiki/Manta_Air_Base,,1050,2008-06-13T14:30:04+00:00
6061,SELT,large_airport,"Cotopaxi International Airport",-0.906833,-78.615799,9205,SA,EC,EC-X,Latacunga,1,SELT,LTX,,,https://en.wikipedia.org/wiki/Cotopaxi_International_Airport,"Latacunga, Vulcano, Ecuador, Cargo, Long runway, Height",400,2018-09-13T12:55:51+00:00
6053,SECO,medium_airport,"Francisco De Orellana Airport",-0.4628860056400299,-76.98680114746094,834,SA,EC,EC-D,Coca,1,SECO,OCC,,,,,800,2008-08-08T17:17:45+00:00
