id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4820,MSLP,large_airport,"Monseñor Óscar Arnulfo Romero International Airport",13.4409,-89.055702,101,NA,SV,SV-PA,"San Salvador (San Luis Talpa)",1,MSLP,SAL,,,https://en.wikipedia.org/wiki/Monse%C3%B1or_%C3%93scar_Arnulfo_Romero_International_Airport,,1050,2017-08-14T22:20:40+00:00
4821,MSSS,medium_airport,"Ilopango International Airport",13.69950008392334,-89.11990356445312,2021,NA,SV,SV-SS,"San Salvador",0,MSSS,,,,http://en.wikipedia.org/wiki/Ilopango_International_Airport,,250,2008-09-27T10:30:41+00:00
42019,MSZT,small_airport,"El Zapote Airport",13.707954406738281,-90.0262680053711,6,NA,SV,SV-AH,"Barra de Santiago",0,MSZT,,,,,,50,2008-09-27T10:30:42+00:00
42004,MSBS,small_airport,"Barillas Airport",13.265262603759766,-88.49913024902344,32,NA,SV,SV-US,Barrillas,0,MSBS,,,,,,50,2008-09-27T10:30:27+00:00
42021,SV-0002,small_airport,"Las Cachas Airport",13.466724,-89.191345,51,NA,SV,SV-LI,Cangrejera,0,MSCS,,,,,,50,2017-07-02T11:55:16+00:00
4818,MSET,small_airport,"El Tamarindo Airport",13.1625995636,-87.904800415,10,NA,SV,SV-UN,Canoguero,0,MSET,,MS1A,,http://en.wikipedia.org/wiki/El_Tamarindo_Airport,,50,2012-06-08T17:45:17+00:00
42005,MSCD,small_airport,"Ceiba Doblada Airport",13.213010787963867,-88.60281372070312,10,NA,SV,SV-US,"Ceiba Doblada",0,MSCD,,,,,,50,2008-09-27T10:30:28+00:00
42007,MSCM,small_airport,"Corral De Mulas Airport",13.205588340759277,-88.5473403930664,26,NA,SV,SV-US,"Corral de Mulas",0,MSCM,,,,,,50,2008-09-27T10:30:30+00:00
42017,MSSJ,small_airport,"Punta San Juan Airport",13.17873477935791,-88.47315979003906,3,NA,SV,SV-US,"Corral de Mulas",0,MSSJ,,,,,,50,2008-09-27T10:30:40+00:00
42020,SV-0001,small_airport,"Rio Sucio Highway Airstrip",13.771100044250488,-89.37139892578125,1594,NA,SV,SV-LI,"El Botoncillal",0,,,,,,,50,2008-09-27T10:30:43+00:00
42011,MSJC,small_airport,"El Jocotillo Airport",13.586153984069824,-89.74652099609375,127,NA,SV,SV-SO,"El Jocotillo",0,MSJC,,,,,,50,2008-09-27T10:30:34+00:00
42010,MSES,small_airport,"Espiritu Santo Airport",13.219324111938477,-88.55404663085938,1,NA,SV,SV-US,"Espíritu Santo",0,MSES,,,,,,50,2008-09-27T10:30:33+00:00
42008,MSCN,small_airport,"Casas Nuevas Airport",13.309972763061523,-88.50586700439453,157,NA,SV,SV-US,Jiquilisco,0,MSCN,,,,,,50,2008-09-27T10:30:31+00:00
42009,MSCR,small_airport,"La Carrera Airport",13.328702926635742,-88.52091979980469,254,NA,SV,SV-US,Jiquilisco,0,MSCR,,,,,,50,2008-09-27T10:30:32+00:00
42012,MSLC,small_airport,"La Cabaña Airport",14.009810447692871,-89.18476104736328,885,NA,SV,SV-SS,"La Cabaña",0,MSLC,,,,,,50,2008-09-27T10:30:35+00:00
42006,MSCH,small_airport,"La Chepona Airport",13.186094,-88.406448,13,NA,SV,SV-US,"La Chepona",0,MSCH,,,,https://en.wikipedia.org/wiki/La_Chepona_Airport,,50,2016-07-04T04:21:20+00:00
42014,MSLM,small_airport,"Las Mesas Airport",13.487070083618164,-89.19265747070312,187,NA,SV,SV-LI,"Las Mesas",0,MSLM,,,,,,50,2008-09-27T10:30:37+00:00
42016,MSRC,small_airport,"El Ronco Airport",14.31871509552002,-89.50689697265625,1460,NA,SV,SV-SA,Metapán,0,MSRC,,,,,,50,2008-09-27T10:30:39+00:00
42022,SV-0003,small_airport,"El Playón Airport",13.455400466918945,-88.75669860839844,137,NA,SV,SV-SV,"San Fernando",0,,,,,,,50,2008-09-27T10:30:45+00:00
4819,MSLD,small_airport,"Los Comandos Airport",13.726200103759766,-88.10669708251953,919,NA,SV,SV-MO,"San Francisco Gotera",0,MSLD,,MS1B,,,,50,2008-09-27T10:30:35+00:00
31958,MSSM,small_airport,"El Papalon Airport",13.444100379943848,-88.12699890136719,283,NA,SV,SV-SM,"San Miguel",0,MSSM,,,,,MSPP,50,2008-09-27T10:30:40+00:00
42003,MSAC,small_airport,"La Aramuaca Airport",13.447990417480469,-88.12010955810547,285,NA,SV,SV-SM,"San Miguel",0,MSAC,,,,,,50,2008-09-27T10:30:26+00:00
42018,MSSN,small_airport,"San Ramon Airport",13.197465896606445,-87.9609146118164,37,NA,SV,SV-UN,"San Ramón",0,MSSN,,,,,,50,2008-09-27T10:30:41+00:00
42013,MSLG,small_airport,"La Gloria Airport",13.714739799499512,-89.19134521484375,2163,NA,SV,SV-SS,"San Salvador",0,MSLG,,,,,,50,2008-09-27T10:30:36+00:00
42023,SV-0004,small_airport,"Santa Rosa de Lima Airport",13.616000175476074,-87.86389923095703,239,NA,SV,SV-UN,"Santa Rosa de Lima",0,,,,,,,50,2008-09-27T10:30:46+00:00
42015,MSPT,small_airport,"El Platanar Airport",13.945300102233887,-89.06279754638672,1354,NA,SV,SV-CU,Suchitoto,0,MSPT,,,,,,50,2008-09-27T10:30:38+00:00
299894,MSSA,small_airport,"El Palmer Airport",14.0672222222,-89.6322222222,2229,NA,SV,SV-SA,"Santa Ana",0,MSSA,,,,,,0,2011-11-11T14:19:53+00:00
