id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2301,EETN,large_airport,"Lennart Meri Tallinn Airport",59.41329956049999,24.832799911499997,131,EU,EE,EE-37,Tallinn,1,EETN,TLL,,http://www.tallinn-airport.ee/eng,http://en.wikipedia.org/wiki/Tallinn_Airport,,1150,2015-04-19T15:32:47+00:00
2302,EETU,medium_airport,"Tartu Airport",58.3074989319,26.690399169900004,219,EU,EE,EE-7B,Tartu,1,EETU,TAY,,,http://en.wikipedia.org/wiki/Tartu_Airport,,250,2013-08-30T03:41:29+00:00
2299,EEKE,medium_airport,"Kuressaare Airport",58.22990036010742,22.50950050354004,14,EU,EE,EE-74,Kuressaare,1,EEKE,URE,,http://www.eeke.ee/,http://en.wikipedia.org/wiki/Kuressaare_Airport,,800,2009-02-02T22:24:08+00:00
2298,EEKA,medium_airport,"Kärdla Airport",58.99079895019531,22.830699920654297,18,EU,EE,EE-39,Kärdla,1,EEKA,KDL,,,http://en.wikipedia.org/wiki/K%C3%A4rdla_Airport,,800,2009-02-02T22:05:58+00:00
43020,EECL,heliport,"Tallinn Linnahall Heliport",59.4486198425293,24.75322723388672,23,EU,EE,EE-37,Tallinn,1,EECL,,,,http://en.wikipedia.org/wiki/Tallinn_Linnahall_Heliport,,300,2009-01-09T21:57:40+00:00
30181,EENA,small_airport,"Narva Estonia Airport",59.38859939575195,28.11359977722168,92,EU,EE,EE-44,Narva,0,EENA,,,,,,50,2008-12-19T20:04:57+00:00
2300,EEPU,medium_airport,"Pärnu Airport",58.41899871826172,24.47279930114746,47,EU,EE,EE-67,Pärnu,1,EEPU,EPU,,,http://en.wikipedia.org/wiki/P%C3%A4rnu_Airport,,550,2009-01-09T21:51:57+00:00
30355,EERU,small_airport,"Ruhnu Airfield",57.78390121459961,23.26609992980957,10,EU,EE,EE-74,Ringsu,1,EERU,,,,http://en.wikipedia.org/wiki/Ruhnu_Airfield,"Ruhnu island",350,2009-02-02T22:26:29+00:00
30027,EEKU,small_airport,"Kihnu Airfield",58.14830017089844,24.002500534057617,10,EU,EE,EE-67,Saareküla,1,EEKU,,,http://www.eepu.ee/index.php?sitesig=PILEN&page=PILEN_013_Kihnu_Airfield&subpage=PILEN_001_General,http://en.wikipedia.org/wiki/Kihnu_Airfield,"Kihnu Island",350,2009-02-02T22:28:46+00:00
