id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3157,HAAB,large_airport,"Addis Ababa Bole International Airport",8.97789001465,38.799301147499996,7630,AF,ET,ET-AA,"Addis Ababa",1,HAAB,ADD,,http://www.ethiopianairports.com,http://en.wikipedia.org/wiki/Bole_International_Airport,"Haile Selassie I, Bole International Airport",1050,2015-02-17T14:00:49+00:00
3162,HADR,medium_airport,"Aba Tenna Dejazmach Yilma International Airport",9.624699592590332,41.85419845581055,3827,AF,ET,ET-DD,"Dire Dawa",1,HADR,DIR,,,http://en.wikipedia.org/wiki/Aba_Tenna_Dejazmach_Yilma_International_Airport,,825,2008-06-13T14:30:04+00:00
3164,HAGN,medium_airport,"Gonder Airport",12.51990032196045,37.433998107910156,6449,AF,ET,ET-AM,Gondar,1,HAGN,GDQ,,,http://en.wikipedia.org/wiki/Gondar_Airport,Azezo,800,2008-06-13T14:30:04+00:00
3159,HAAM,medium_airport,"Arba Minch Airport",6.0393900871276855,37.59049987792969,3901,AF,ET,ET-SN,,1,HAAM,AMH,,,http://en.wikipedia.org/wiki/Arba_Minch_Airport,"Gantar,Minghi",800,2008-06-13T14:30:04+00:00
3161,HABD,medium_airport,"Bahir Dar Airport",11.608099937438965,37.32160186767578,5978,AF,ET,ET-AM,"Bahir Dar",1,HABD,BJR,,,http://en.wikipedia.org/wiki/Bahir_Dar_Airport,,800,2008-06-13T14:30:04+00:00
3168,HAMK,medium_airport,"Mekele Airport",13.467399597167969,39.53350067138672,7396,AF,ET,ET-TI,,0,HAMK,MQX,,,http://en.wikipedia.org/wiki/Alula_Aba_Airport,,250,2008-06-13T14:30:04+00:00
3167,HALL,small_airport,"Lalibella Airport",11.975000381469727,38.97999954223633,6506,AF,ET,ET-AM,Lalibela,0,HALL,LLI,,,http://en.wikipedia.org/wiki/Lalibela_Airport,,50,2008-06-13T14:30:04+00:00
3160,HAAX,medium_airport,"Axum Airport",14.14680004119873,38.77280044555664,6959,AF,ET,ET-TI,,1,HAAX,AXU,,,http://en.wikipedia.org/wiki/Axum_Airport,,800,2008-06-13T14:30:04+00:00
313314,HAJJ,medium_airport,"Wilwal International Airport",9.3325,42.9121,5954,AF,ET,ET-SO,Jijiga,1,HAJJ,JIJ,,,http://en.wikipedia.org/wiki/Jijiga_Airport,"Garaad Wiil-Waal",0,2014-12-01T00:25:04+00:00
3169,HASO,medium_airport,"Asosa Airport",10.018500328063965,34.586299896240234,5100,AF,ET,ET-BE,Asosa,1,HASO,ASO,,,http://en.wikipedia.org/wiki/Asosa_Airport,,800,2008-06-13T14:30:04+00:00
3163,HAGM,medium_airport,"Gambella Airport",8.12876033782959,34.5630989074707,1614,AF,ET,ET-GA,Gambela,1,HAGM,GMB,,,http://en.wikipedia.org/wiki/Gambela_Airport,"Gambela National Park",800,2008-06-13T14:30:04+00:00
3165,HAGO,medium_airport,"Gode Airport",5.93513011932,43.5786018372,834,AF,ET,ET-SO,Gode,1,HAGO,GDE,,,http://en.wikipedia.org/wiki/Gode_Airport,Iddiole,800,2010-04-10T17:28:48+00:00
3166,HAJM,medium_airport,"Jimma Airport",7.66609001159668,36.81660079956055,5500,AF,ET,ET-OR,Jimma,1,HAJM,JIM,,,http://en.wikipedia.org/wiki/Aba_Segud_Airport,,800,2008-06-13T14:30:04+00:00
28119,HABC,small_airport,"Baco Airport",5.78287,36.562,4580,AF,ET,ET-SN,Baco,0,HABC,BCO,,,http://en.wikipedia.org/wiki/Baco_Airport,Jinka,450,2016-06-01T06:33:17+00:00
30694,HABE,small_airport,"Beica Airport",9.38638973236084,34.52190017700195,5410,AF,ET,ET-BE,Beica,1,HABE,BEI,,,,,450,2008-12-19T20:06:58+00:00
30885,HADD,small_airport,"Dembidollo Airport",8.553999900817871,34.858001708984375,5200,AF,ET,ET-GA,Dembidollo,1,HADD,DEM,,,,,450,2008-12-19T20:07:02+00:00
30949,HADC,small_airport,"Combolcha Airport",11.082500457763672,39.71139907836914,6117,AF,ET,ET-AM,Dessie,1,HADC,DSE,,,,,450,2008-12-19T20:07:00+00:00
31547,HAGR,small_airport,"Gore Airport",8.1614,35.5529,6580,AF,ET,ET-GA,Gore,1,HAGR,GOR,,,http://en.wikipedia.org/wiki/Gore_Airport,,450,2011-10-07T07:21:31+00:00
30612,HAKD,small_airport,"Kabri Dehar Airport",6.734,44.252998,1800,AF,ET,ET-SO,"Kabri Dehar",1,HAKD,ABK,,,https://en.wikipedia.org/wiki/Kabri_Dar_Airport,"Kabri Dar",450,2018-09-15T16:15:01+00:00
31960,HAMT,small_airport,"Mizan Teferi Airport",6.9571,35.5547,4396,AF,ET,ET-GA,"Mizan Teferi",1,HAMT,MTF,,,http://en.wikipedia.org/wiki/Mizan_Teferi_Airport,,450,2011-10-07T06:59:59+00:00
