id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2512,EGYP,medium_airport,"Mount Pleasant Airport",-51.82279968261719,-58.447200775146484,244,SA,FK,FK-U-A,"Mount Pleasant",1,EGYP,MPN,,,http://en.wikipedia.org/wiki/RAF_Mount_Pleasant,"RAF Mount Pleasant",1000,2008-08-24T11:33:48+00:00
6087,SFAL,medium_airport,"Port Stanley Airport",-51.685699462891,-57.777599334717,75,SA,FK,FK-U-A,Stanley,1,SFAL,PSY,,,http://en.wikipedia.org/wiki/Port_Stanley_Airport,,550,2016-01-09T10:46:55+00:00
43041,FK-0011,small_airport,"Carcass Island Landing Strip",-51.263671875,-60.592079162597656,,SA,FK,FK-U-A,"Carcass Island",0,,,,,,,50,2009-01-14T19:49:04+00:00
41526,FK-0001,small_airport,"Fox Bay Clay Airstrip",-51.933694,-60.061595,,SA,FK,FK-U-A,"Fox Bay",0,,,,,,,50,2017-03-27T10:48:38+00:00
41530,FK-0005,small_airport,"Goose Green Airfield",-51.819282,-58.980893,,SA,FK,FK-U-A,"Goose Green",0,,,,,,,50,2017-03-15T15:09:26+00:00
41527,FK-0002,small_airport,"Pebble Island Landing Strip",-51.30978775024414,-59.60877227783203,,SA,FK,FK-U-A,"Pebble Island Settlement",0,,,,,,,50,2008-08-24T08:45:54+00:00
43039,FK-0009,small_airport,"Port Howard Purvis Pond Airstrip",-51.5681,-59.533699,,SA,FK,FK-U-A,"Port Howard Settlement",0,,,,,,,50,2017-03-27T10:35:14+00:00
41533,FK-0008,small_airport,"Port San Carlos Landing Strip",-51.50166702270508,-59.00361251831055,,SA,FK,FK-U-A,"Port San Carlos",0,,,,,,,50,2008-08-24T11:38:42+00:00
41531,FK-0006,small_airport,"Roy Cove Landing Strip",-51.539398193359375,-60.35639953613281,,SA,FK,FK-U-A,"Roy Cove",0,,,,,,,50,2008-08-24T11:10:33+00:00
43040,FK-0010,small_airport,"Saunders Island Landing Strip",-51.37810134887695,-60.091609954833984,,SA,FK,FK-U-A,"Saunders Island Settlement",0,,,,,,,50,2009-01-14T19:46:57+00:00
41528,FK-0003,small_airport,"Sea Lion Lodge Airstrip",-52.428215,-59.077744,,SA,FK,FK-U-A,"Sea Lion Island",0,,,,,,,50,2017-03-27T10:43:20+00:00
41532,FK-0007,small_airport,"Spring Point Landing Strip",-51.82929992675781,-60.45140075683594,,SA,FK,FK-U-A,"Spring Point Settlement",0,,,,,,,50,2009-08-03T14:29:43+00:00
