id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2307,EFHK,large_airport,"Helsinki Vantaa Airport",60.317199707031,24.963300704956,179,EU,FI,FI-ES,Helsinki,1,EFHK,HEL,,http://www.finavia.fi/en/helsinki-airport,http://en.wikipedia.org/wiki/Helsinki-Vantaa_Airport,,51875,2015-07-30T15:00:21+00:00
2334,EFOU,medium_airport,"Oulu Airport",64.930099487305,25.354600906372,47,EU,FI,FI-OL,"Oulu / Oulunsalo",1,EFOU,OUL,,https://www.finavia.fi/en/oulu/,http://en.wikipedia.org/wiki/Oulu_Airport,,1050,2015-07-30T17:27:21+00:00
2347,EFTP,medium_airport,"Tampere-Pirkkala Airport",61.414100646973,23.604400634766,390,EU,FI,FI-LS,"Tampere / Pirkkala",1,EFTP,TMP,,https://www.finavia.fi/en/tampere-pirkkala/,http://en.wikipedia.org/wiki/Tampere-Pirkkala_Airport,,1050,2015-07-30T17:30:18+00:00
2341,EFRO,medium_airport,"Rovaniemi Airport",66.564796447754,25.830400466919,642,EU,FI,FI-LL,Rovaniemi,1,EFRO,RVN,,http://www.finavia.fi/en/rovaniemi/,http://en.wikipedia.org/wiki/Rovaniemi_Airport,,1000,2015-07-31T13:16:58+00:00
2349,EFTU,medium_airport,"Turku Airport",60.514099121094,22.262800216675,161,EU,FI,FI-LS,Turku,1,EFTU,TKU,,https://www.finavia.fi/en/turku/,http://en.wikipedia.org/wiki/Turku_Airport,,1050,2015-07-30T17:33:00+00:00
2325,EFKT,medium_airport,"Kittilä Airport",67.700996398926,24.846799850464,644,EU,FI,FI-LL,Kittilä,1,EFKT,KTT,,http://www.finavia.fi/en/kittila/,http://en.wikipedia.org/wiki/Kittil%C3%A4_Airport,,1050,2016-01-04T17:12:25+00:00
2351,EFVA,medium_airport,"Vaasa Airport",63.050701141357,21.762199401855,19,EU,FI,FI-LS,Vaasa,1,EFVA,VAA,,http://www.finavia.fi/en/vaasa/,http://en.wikipedia.org/wiki/Vaasa_Airport,,975,2015-07-31T13:07:23+00:00
2306,EFHF,medium_airport,"Helsinki Malmi Airport",60.254600524902344,25.042800903320312,57,EU,FI,FI-ES,Helsinki,0,EFHF,HEM,,,http://en.wikipedia.org/wiki/Helsinki-Malmi_Airport,,250,2008-07-27T15:23:35+00:00
2329,EFLP,medium_airport,"Lappeenranta Airport",61.044601,28.144743,349,EU,FI,FI-ES,Lappeenranta,0,EFLP,LPP,,https://www.finavia.fi/en/lappeenranta/,http://en.wikipedia.org/wiki/Lappeenranta_Airport,,975,2016-02-20T10:10:11+00:00
2314,EFIV,medium_airport,"Ivalo Airport",68.607299804688,27.405300140381,481,EU,FI,FI-LL,Ivalo,1,EFIV,IVL,,http://www.finavia.fi/en/ivalo/,http://en.wikipedia.org/wiki/Ivalo_Airport,,975,2015-07-31T13:10:41+00:00
