id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4185,LFPG,large_airport,"Charles de Gaulle International Airport",49.012798,2.55,392,EU,FR,FR-J,Paris,1,LFPG,CDG,,http://www.aeroportsdeparis.fr/,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport,"PAR, Aéroport Roissy-Charles de Gaulle, Roissy Airport",1127475,2018-09-15T03:23:45+00:00
4189,LFPO,large_airport,"Paris-Orly Airport",48.7233333,2.3794444,291,EU,FR,FR-J,Paris,1,LFPO,ORY,,,http://en.wikipedia.org/wiki/Orly_Airport_(Paris),PAR,1032775,2016-10-02T05:09:17+00:00
4156,LFMN,large_airport,"Nice-Côte d'Azur Airport",43.6584014893,7.215869903560001,12,EU,FR,FR-U,Nice,1,LFMN,NCE,,,http://en.wikipedia.org/wiki/C%C3%B4te_d'Azur_International_Airport,,51475,2010-08-31T21:55:57+00:00
4155,LFML,large_airport,"Marseille Provence Airport",43.439271922,5.22142410278,74,EU,FR,FR-U,Marseille,1,LFML,MRS,,,http://en.wikipedia.org/wiki/Marseille_Provence_Airport,,1375,2011-12-17T07:33:34+00:00
4070,LFBO,large_airport,"Toulouse-Blagnac Airport",43.629101,1.36382,499,EU,FR,FR-N,Toulouse/Blagnac,1,LFBO,TLS,,http://www.toulouse.aeroport.fr/,http://en.wikipedia.org/wiki/Toulouse_Blagnac_International_Airport,,1675,2016-07-17T15:22:33+00:00
4137,LFLL,large_airport,"Lyon Saint-Exupéry Airport",45.725556,5.081111,821,EU,FR,FR-V,Lyon,1,LFLL,LYS,,https://www.lyonaeroports.com/,http://en.wikipedia.org/wiki/Saint-Exup%C3%A9ry_International_Airport,,975,2018-02-11T14:28:31+00:00
4226,LFSB,large_airport,"EuroAirport Basel-Mulhouse-Freiburg Airport",47.59,7.5291667,885,EU,FR,FR-A,Bâle/Mulhouse,1,LFSB,BSL,,http://www.euroairport.com/,http://en.wikipedia.org/wiki/EuroAirport_Basel-Mulhouse-Freiburg,"MLH, EAP",1050,2016-07-17T09:43:06+00:00
4060,LFBD,large_airport,"Bordeaux-Mérignac Airport",44.828300476100004,-0.715556025505,162,EU,FR,FR-B,Bordeaux/Mérignac,1,LFBD,BOD,,,http://en.wikipedia.org/wiki/Bordeaux%E2%80%93M%C3%A9rignac_Airport,,1275,2015-02-17T14:06:02+00:00
4169,LFOB,medium_airport,"Paris Beauvais Tillé Airport",49.45439910888672,2.1127800941467285,359,EU,FR,FR-S,Beauvais/Tillé,1,LFOB,BVA,,,http://en.wikipedia.org/wiki/Paris_Beauvais_Till%C3%A9_Airport,,975,2008-06-13T14:30:04+00:00
4183,LFPB,medium_airport,"Paris-Le Bourget Airport",48.969398498535156,2.441390037536621,218,EU,FR,FR-J,Paris,0,LFPB,LBG,,http://www.aeroportsdeparis.fr/,http://en.wikipedia.org/wiki/Le_Bourget_Airport,PAR,275,2008-06-13T14:30:04+00:00
4221,LFRS,medium_airport,"Nantes Atlantique Airport",47.153198242200006,-1.61073005199,90,EU,FR,FR-R,Nantes,1,LFRS,NTE,,,http://en.wikipedia.org/wiki/Nantes_Atlantique_Airport,,1050,2010-08-31T21:50:59+00:00
4161,LFMT,medium_airport,"Montpellier-Méditerranée Airport",43.57619857788086,3.96301007270813,17,EU,FR,FR-K,Montpellier/Méditerranée,1,LFMT,MPL,,,http://en.wikipedia.org/wiki/Montpellier_-_M%C3%A9diterran%C3%A9e_Airport,,975,2008-06-13T14:30:04+00:00
4238,LFST,medium_airport,"Strasbourg Airport",48.538299560546875,7.628230094909668,505,EU,FR,FR-A,Strasbourg,1,LFST,SXB,,http://www.strasbourg.aeroport.fr/E/index.php,http://en.wikipedia.org/wiki/Strasbourg_Airport,"BA 124",1050,2008-06-13T14:30:04+00:00
4202,LFQQ,medium_airport,"Lille-Lesquin Airport",50.563332,3.086886,157,EU,FR,FR-O,Lille/Lesquin,1,LFQQ,LIL,,,http://en.wikipedia.org/wiki/Lille_Lesquin_International_Airport,,1050,2016-09-25T07:55:47+00:00
4055,LFAT,medium_airport,"Le Touquet-Côte d'Opale Airport",50.517398834228516,1.6205899715423584,36,EU,FR,FR-O,"Le Touquet-Paris-Plage",0,LFAT,LTQ,,,,,525,2008-06-13T14:30:04+00:00
4148,LFLY,medium_airport,"Lyon-Bron Airport",45.72719955444336,4.944270133972168,659,EU,FR,FR-V,Lyon/Bron,0,LFLY,LYN,,,,,475,2008-06-13T14:30:04+00:00
4151,LFMD,medium_airport,"Cannes-Mandelieu Airport",43.542,6.95348,13,EU,FR,FR-U,Cannes/Mandelieu,1,LFMD,CEQ,,https://www.cannes.aeroport.fr/,https://en.wikipedia.org/wiki/Cannes_%E2%80%93_Mandelieu_Airport,,875,2018-09-13T12:36:26+00:00
4154,LFMK,medium_airport,"Carcassonne Airport",43.215999603271484,2.3063199520111084,433,EU,FR,FR-K,Carcassonne/Salvaza,1,LFMK,CCF,,,http://en.wikipedia.org/wiki/Carcassonne_Salvaza_Airport,,975,2008-06-13T14:30:04+00:00
4131,LFLB,medium_airport,"Chambéry-Savoie Airport",45.638099670410156,5.880229949951172,779,EU,FR,FR-V,Chambéry/Aix-les-Bains,1,LFLB,CMF,,,http://en.wikipedia.org/wiki/Chamb%C3%A9ry_Airport,,1050,2008-06-13T14:30:04+00:00
4064,LFBH,medium_airport,"La Rochelle-Île de Ré Airport",46.17919921875,-1.1952799558639526,74,EU,FR,FR-T,"La Rochelle/Île de Ré",1,LFBH,LRH,,,http://en.wikipedia.org/wiki/La_Rochelle_-_%C3%8Ele_de_R%C3%A9_Airport,"Laleu Airport",975,2008-06-13T14:30:04+00:00
4163,LFMV,medium_airport,"Avignon-Caumont Airport",43.90729904174805,4.901830196380615,124,EU,FR,FR-U,Avignon/Caumont,1,LFMV,AVN,,,http://en.wikipedia.org/wiki/Avignon_-_Caumont_Airport,,1050,2008-06-13T14:30:04+00:00
4123,LFKB,medium_airport,"Bastia-Poretta Airport",42.55270004272461,9.48373031616211,26,EU,FR,FR-H,Bastia/Poretta,1,LFKB,BIA,,,http://en.wikipedia.org/wiki/Bastia_-_Poretta_Airport,,1050,2008-09-11T04:28:46+00:00
4158,LFMP,medium_airport,"Perpignan-Rivesaltes (Llabanère) Airport",42.74039840698242,2.8706700801849365,144,EU,FR,FR-K,Perpignan/Rivesaltes,1,LFMP,PGF,,,http://en.wikipedia.org/wiki/Perpignan_-_Rivesaltes_Airport,,1050,2008-06-13T14:30:04+00:00
4142,LFLS,medium_airport,"Grenoble-Isère Airport",45.36289978027344,5.329370021820068,1302,EU,FR,FR-V,Grenoble/Saint-Geoirs,1,LFLS,GNB,,,http://en.wikipedia.org/wiki/Grenoble-Is%C3%A8re_Airport,,1050,2008-06-13T14:30:04+00:00
4218,LFRN,medium_airport,"Rennes-Saint-Jacques Airport",48.069499969499994,-1.73478996754,124,EU,FR,FR-E,Rennes/Saint-Jacques,1,LFRN,RNS,,http://www.rennes.aeroport.fr/,http://en.wikipedia.org/wiki/Rennes_-_Saint-Jacques_Airport,,1050,2013-10-27T04:32:23+00:00
4126,LFKJ,medium_airport,"Ajaccio-Napoléon Bonaparte Airport",41.92359924316406,8.8029203414917,18,EU,FR,FR-H,"Ajaccio/Napoléon Bonaparte",1,LFKJ,AJA,,,http://en.wikipedia.org/wiki/Ajaccio_-_Campo_dell'Oro_Airport,,975,2008-10-06T13:37:21+00:00
4124,LFKC,medium_airport,"Calvi-Sainte-Catherine Airport",42.5244444,8.7930556,209,EU,FR,FR-H,Calvi/Sainte-Catherine,1,LFKC,CLY,,,http://en.wikipedia.org/wiki/Calvi_-_Sainte-Catherine_Airport,,875,2016-10-07T13:41:48+00:00
4141,LFLP,medium_airport,"Annecy-Haute-Savoie-Mont Blanc Airport",45.9308333,6.1063889,1521,EU,FR,FR-V,Annecy/Meythet,1,LFLP,NCY,,,http://en.wikipedia.org/wiki/Annecy_-_Haute-Savoie_-_Mont_Blanc_Airport,,975,2016-10-01T01:25:49+00:00
4179,LFOT,medium_airport,"Tours-Val-de-Loire Airport",47.4322013855,0.727605998516,357,EU,FR,FR-F,"Tours/Val de Loire (Loire Valley)",1,LFOT,TUF,,http://www.tours.aeroport.fr/index_en.php,http://en.wikipedia.org/wiki/Tours_Loire_Valley_Airport,,1275,2014-01-15T13:24:47+00:00
4132,LFLC,medium_airport,"Clermont-Ferrand Auvergne Airport",45.7867012024,3.1691699028,1090,EU,FR,FR-C,Clermont-Ferrand/Auvergne,1,LFLC,CFE,,,http://en.wikipedia.org/wiki/Clermont-Ferrand_Auvergne_Airport,,975,2015-05-06T19:12:46+00:00
