id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4979,NTAA,large_airport,"Faa'a International Airport",-17.553699,-149.606995,5,OC,PF,PF-U-A,Papeete,1,NTAA,PPT,,,http://en.wikipedia.org/wiki/Faa'a_International_Airport,,1050,2019-01-13T19:32:34+00:00
5006,NTTM,medium_airport,"Moorea Airport",-17.49,-149.761993,9,OC,PF,PF-U-A,,1,NTTM,MOZ,,,https://en.wikipedia.org/wiki/Moorea_Airport,"Temae Airport, Moorea Temae Airport",800,2018-09-15T03:46:39+00:00
5003,NTTB,medium_airport,"Bora Bora Airport",-16.444400787353516,-151.75100708007812,10,OC,PF,PF-U-A,"Motu Mute",1,NTTB,BOB,,,http://en.wikipedia.org/wiki/Bora_Bora_Airport,,800,2008-06-13T14:30:04+00:00
5005,NTTH,medium_airport,"Huahine-Fare Airport",-16.68720054626465,-151.02200317382812,7,OC,PF,PF-U-A,Fare,1,NTTH,HUH,,,http://en.wikipedia.org/wiki/Huahine_-_Fare_Airport,,800,2008-06-13T14:30:04+00:00
5009,NTTR,medium_airport,"Raiatea Airport",-16.7229,-151.466003,3,OC,PF,PF-U-A,Uturoa,1,NTTR,RFP,,,http://en.wikipedia.org/wiki/Raiatea_Airport,,800,2016-02-27T08:23:45+00:00
5004,NTTG,medium_airport,"Rangiroa Airport",-14.954299926757812,-147.66099548339844,10,OC,PF,PF-U-A,,1,NTTG,RGI,,,http://en.wikipedia.org/wiki/Rangiroa_Airport,,800,2008-06-13T14:30:04+00:00
4980,NTAR,medium_airport,"Rurutu Airport",-22.434099197387695,-151.36099243164062,18,OC,PF,PF-U-A,,1,NTAR,RUR,,,http://en.wikipedia.org/wiki/Rurutu_Airport,,800,2008-06-13T14:30:04+00:00
4981,NTAT,medium_airport,"Tubuai Airport",-23.365400314331055,-149.5240020751953,7,OC,PF,PF-U-A,,1,NTAT,TUB,,,http://en.wikipedia.org/wiki/Tubuai_-_Mataura_Airport,,800,2008-06-13T14:30:04+00:00
4983,NTGA,medium_airport,"Anaa Airport",-17.35260009765625,-145.50999450683594,10,OC,PF,PF-U-A,,1,NTGA,AAA,,,http://en.wikipedia.org/wiki/Anaa_Airport,,800,2008-06-13T14:30:04+00:00
