id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4251,LGAV,large_airport,"Eleftherios Venizelos International Airport",37.9364013672,23.9444999695,308,EU,GR,GR-A1,Athens,1,LGAV,ATH,,http://www.aia.gr,http://en.wikipedia.org/wiki/Athens_International_Airport,,51600,2013-11-08T08:51:37+00:00
4258,LGIR,large_airport,"Heraklion International Nikos Kazantzakis Airport",35.3396987915,25.180299758900002,115,EU,GR,GR-91,Heraklion,1,LGIR,HER,,,http://en.wikipedia.org/wiki/Heraklion_International_Airport%2C_%22Nikos_Kazantzakis%22,"Crete Island",1200,2010-09-01T11:49:57+00:00
4293,LGTS,large_airport,"Thessaloniki Macedonia International Airport",40.51969909667969,22.97089958190918,22,EU,GR,GR-54,Thessaloniki,1,LGTS,SKG,,,http://en.wikipedia.org/wiki/Thessaloniki_International_Airport%2C_%22Macedonia%22,"Makedonia. Macedonia. Salonica",1275,2008-11-03T17:02:47+00:00
4266,LGKR,medium_airport,"Ioannis Kapodistrias International Airport",39.601898193359375,19.911699295043945,6,EU,GR,GR-22,"Kerkyra Island",1,LGKR,CFU,,,http://en.wikipedia.org/wiki/Corfu_International_Airport%2C_%26quot%3BIoannis_Kapodistrias%26quot%3B,Corfu,800,2008-11-03T17:02:04+00:00
4279,LGRP,medium_airport,"Diagoras Airport",36.405399322509766,28.086200714111328,17,EU,GR,GR-81,"Rodes Island",1,LGRP,RHO,,,http://en.wikipedia.org/wiki/Rhodes_International_Airport%2C_%26quot%3BDiagoras%26quot%3B,,1000,2008-11-03T17:02:32+00:00
4264,LGKO,medium_airport,"Kos Airport",36.79330062866211,27.091699600219727,412,EU,GR,GR-81,"Kos Island",1,LGKO,KGS,,,http://en.wikipedia.org/wiki/Kos_Island_International_Airport,,800,2008-11-03T17:02:02+00:00
4281,LGSA,medium_airport,"Chania International Airport",35.531700134277344,24.149700164794922,490,EU,GR,GR-94,Souda,1,LGSA,CHQ,,,http://en.wikipedia.org/wiki/Chania_International_Airport,,875,2008-06-13T14:30:04+00:00
4286,LGSR,medium_airport,"Santorini Airport",36.399200439453125,25.479299545288086,127,EU,GR,GR-82,"Santorini Island",1,LGSR,JTR,,,http://en.wikipedia.org/wiki/Santorini_(Thira)_National_Airport,,800,2008-11-03T17:02:40+00:00
4274,LGMK,medium_airport,"Mikonos Airport",37.43510055541992,25.348100662231445,405,EU,GR,GR-82,"Mykonos Island",1,LGMK,JMK,,,http://en.wikipedia.org/wiki/Mykonos_Island_National_Airport,,800,2008-11-03T17:02:20+00:00
