id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
115,BGSF,medium_airport,"Kangerlussuaq Airport",67.0122218992,-50.7116031647,165,NA,GL,GL-U-A,Kangerlussuaq,1,BGSF,SFJ,,,http://en.wikipedia.org/wiki/Kangerlussuaq_Airport,"Sondre Stromfjord",900,2011-08-05T16:17:51+00:00
113,BGBW,medium_airport,"Narsarsuaq Airport",61.1604995728,-45.4259986877,112,NA,GL,GL-U-A,Narsarsuaq,1,BGBW,UAK,,,http://en.wikipedia.org/wiki/Narsarsuaq_Airport,,800,2011-08-05T13:36:33+00:00
114,BGGH,medium_airport,"Godthaab / Nuuk Airport",64.19090271,-51.6781005859,283,NA,GL,GL-U-A,Nuuk,1,BGGH,GOH,,,http://en.wikipedia.org/wiki/Nuuk_Airport,Nuussuaq,800,2011-08-05T17:27:27+00:00
116,BGTL,medium_airport,"Thule Air Base",76.5311965942,-68.7032012939,251,NA,GL,GL-U-A,Thule,1,BGTL,THU,,,http://en.wikipedia.org/wiki/Thule_Air_Base,Pituffik,1050,2011-08-05T17:26:45+00:00
31786,BGKK,small_airport,"Kulusuk Airport",65.573600769,-37.1236000061,117,NA,GL,GL-U-A,Kulusuk,1,BGKK,KUS,,,http://en.wikipedia.org/wiki/Kulusuk_Airport,"Kap Dan, BGKD",450,2012-12-08T13:19:54+00:00
31694,BGJN,small_airport,"Ilulissat Airport",69.2432022095,-51.0570983887,95,NA,GL,GL-U-A,Ilulissat,1,BGJN,JAV,,,http://en.wikipedia.org/wiki/Ilulissat_Airport,,450,2011-08-05T17:50:08+00:00
31700,BGSS,small_airport,"Sisimiut Airport",66.9513015747,-53.7293014526,33,NA,GL,GL-U-A,Sisimiut,1,BGSS,JHS,,,http://en.wikipedia.org/wiki/Sisimiut_Airport,,450,2011-08-05T17:56:57+00:00
35299,BGCH,heliport,"Qasigiannguit Heliport",68.822815547,-51.1734473705,70,NA,GL,GL-U-A,Qasigiannguit,1,BGCH,JCH,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/qasigiannguit/,http://en.wikipedia.org/wiki/Qasigiannguit_Heliport,,625,2011-08-05T16:15:00+00:00
31697,BGAA,medium_airport,"Aasiaat Airport",68.7218017578,-52.7846984863,74,NA,GL,GL-U-A,Aasiaat,1,BGAA,JEG,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/,http://en.wikipedia.org/wiki/Aasiaat_Airport,,450,2011-08-05T16:24:34+00:00
32004,BGQQ,small_airport,"Qaanaaq Airport",77.4886016846,-69.3887023926,51,NA,GL,GL-U-A,Qaanaaq,1,BGQQ,NAQ,,,http://en.wikipedia.org/wiki/Qaanaaq_Airport,,450,2011-08-05T17:55:56+00:00
31709,BGUQ,small_airport,"Qaarsut Airport",70.7341995239,-52.6962013245,289,NA,GL,GL-U-A,Uummannaq,1,BGUQ,JQA,,,http://en.wikipedia.org/wiki/Qaarsut_Airport,,450,2011-08-05T17:56:27+00:00
35294,BGNN,heliport,"Nanortalik Heliport",60.141883975899994,-45.232976675,17,NA,GL,GL-U-A,Nanortalik,0,BGNN,JNN,,,http://en.wikipedia.org/wiki/Nanortalik_Heliport,,325,2011-08-05T13:28:00+00:00
44072,BGNO,heliport,"Station Nord Heliport",81.6978444497,-17.8088378906,,NA,GL,GL-U-A,,0,BGNO,,,,,,0,2010-12-22T11:20:55+00:00
299108,GL-0001,small_airport,"NEEM Camp Skiway",79.45,-51.006,,NA,GL,GL-U-A,,0,,,,,http://en.wikipedia.org/wiki/NEEM_Camp,,0,2011-08-05T18:30:50+00:00
299843,BGMI,small_airport,"Station Nord Landing Strip",81.6,-16.6666666667,35,NA,GL,GL-U-A,,0,BGMI,,,,"http://en.wikipedia.org/wiki/Nord,_Greenland",,0,2011-11-03T16:42:44+00:00
314700,GL-0008,closed,"Camp Tuto Airport",76.4288,-68.3378,1664,NA,GL,GL-U-A,,0,,,,,http://en.wikipedia.org/wiki/Camp_TUTO,,0,2015-06-05T15:30:41+00:00
44061,BGNL,heliport,"Nalunaq Heliport",60.3572400194,-44.8279631138,778,NA,GL,GL-U-A,Nalunaq,0,BGNL,,,,,,0,2011-08-05T14:48:42+00:00
312829,BGDU,closed,"Dundas Airport",76.525,-68.8,200,NA,GL,GL-U-A,Pituffik,0,BGDU,DUN,,,,,0,2014-09-05T19:53:13+00:00
35284,GL-QCU,heliport,"Akunaq Heliport",68.7442728315,-52.340369224499995,59,NA,GL,GL-U-A,,1,BGAK,QCU,,,http://en.wikipedia.org/wiki/Akunnaaq_Heliport,Akunnaaq,625,2011-08-05T18:08:11+00:00
35288,GL-QFI,heliport,"Iginniarfik Heliport",68.699997,-52.966702,,NA,GL,GL-U-A,,0,,,,,,,625,2016-07-06T21:55:41+00:00
35285,BGAP,heliport,"Alluitsup Paa Heliport",60.46445,-45.56917,54,NA,GL,GL-U-A,"Alluitsup Paa",1,BGAP,LLU,,,http://en.wikipedia.org/wiki/Alluitsup_Paa_Heliport,,625,2013-11-26T02:16:17+00:00
35287,GL-JGR,heliport,"Groennedal Heliport",61.233299,-48.099998,,NA,GL,GL-U-A,Groennedal,1,,JGR,,,,,625,2016-07-06T21:55:08+00:00
35289,BGIT,heliport,"Ikamiut Heliport",68.6342530984,-51.8322622776,49,NA,GL,GL-U-A,Ikamiut,1,BGIT,QJI,,,http://en.wikipedia.org/wiki/Ikamiut_Heliport,,625,2011-08-05T18:09:51+00:00
35290,BGIK,heliport,"Ikerassaarsuk Heliport",68.14088100629999,-53.4414589405,165,NA,GL,GL-U-A,Ikerassaarsuk,1,BGIK,QRY,,,http://en.wikipedia.org/wiki/Ikerasaarsuk_Heliport,,625,2012-12-08T11:52:42+00:00
35291,BGIL,heliport,"Ilimanaq Heliport",69.0809150007,-51.1143153906,52,NA,GL,GL-U-A,Ilimanaq,1,BGIL,XIQ,,,http://en.wikipedia.org/wiki/Ilimanaq_Heliport,,625,2011-08-05T17:05:26+00:00
35292,BGKA,heliport,"Kangaatsiaq Heliport",68.3126574861,-53.4602075815,17,NA,GL,GL-U-A,Kangaatsiaq,1,BGKA,QPW,,,http://en.wikipedia.org/wiki/Kangaatsiaq_Heliport,,625,2011-08-05T18:15:08+00:00
35293,BGKT,heliport,"Kitsissuarsuit Heliport",68.85792599759999,-53.123295307199996,18,NA,GL,GL-U-A,Kitsissuarsuit,1,BGKT,QJE,,,http://en.wikipedia.org/wiki/Kitsissuarsuit_Heliport,,625,2011-08-05T18:15:48+00:00
35295,BGNS,heliport,"Narsaq Heliport",60.9172827256,-46.059923172,83,NA,GL,GL-U-A,Narsaq,1,BGNS,JNS,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/narsaq/,http://en.wikipedia.org/wiki/Narsaq_Heliport,,625,2011-08-05T13:31:01+00:00
35296,BGNK,heliport,"Niaqornaarsuk Heliport",68.236381,-52.852148,152,NA,GL,GL-U-A,Niaqornaarsuk,1,BGNK,,,,http://en.wikipedia.org/wiki/Niaqornaarsuk_Heliport,QMK,625,2017-01-07T12:41:05+00:00
35297,BGFH,closed,"Paamiut Heliport",61.9921989441,-49.6624984741,63,NA,GL,GL-U-A,Paamiut,0,BGFH,,,,,JFR,625,2014-11-30T18:00:21+00:00
35298,BGJH,heliport,"Qaqortoq Heliport",60.715684155299996,-46.0299186409,53,NA,GL,GL-U-A,Qaqortoq,1,BGJH,JJU,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/qaqortoq/,http://en.wikipedia.org/wiki/Qaqortoq_Heliport,,625,2011-08-05T15:45:41+00:00
35300,BGGN,heliport,"Qeqertarsuaq Heliport",69.251181993,-53.5148763657,9,NA,GL,GL-U-A,"Qeqertarsuaq Airport",1,BGGN,JGO,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/qeqertarsuaq/,http://en.wikipedia.org/wiki/Qeqertarsuaq_Heliport,,625,2011-08-05T16:16:14+00:00
35301,BGSQ,heliport,"Saqqaq Heliport",70.011448,-51.932142,38,NA,GL,GL-U-A,Saqqaq,1,BGSQ,,QUP,,http://en.wikipedia.org/wiki/Saqqaq_Heliport,,625,2017-01-07T13:03:00+00:00
31711,BGMQ,small_airport,"Maniitsoq Airport",65.4124984741,-52.9393997192,91,NA,GL,GL-U-A,Maniitsoq,1,BGMQ,JSU,,,http://en.wikipedia.org/wiki/Maniitsoq_Airport,,450,2011-08-05T17:52:54+00:00
30839,BGCO,small_airport,"Neerlerit Inaat Airport",70.7431030273,-22.6504993439,45,NA,GL,GL-U-A,"Neerlerit Inaat",1,BGCO,CNP,,,http://en.wikipedia.org/wiki/Nerlerit_Inaat_Airport,"Constable Point",450,2011-08-05T17:23:56+00:00
31713,BGUK,small_airport,"Upernavik Airport",72.7901992798,-56.1305999756,414,NA,GL,GL-U-A,Upernavik,1,BGUK,JUV,,,http://en.wikipedia.org/wiki/Upernavik_Airport,,450,2011-08-05T17:57:37+00:00
43215,BGIA,heliport,"Ikerasak Heliport",70.4981453548,-51.3030838966,66,NA,GL,GL-U-A,Ikerasak,1,BGIA,,IKE,,http://en.wikipedia.org/wiki/Ikerasak_Heliport,,300,2012-12-08T11:45:03+00:00
