id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4644,MGGT,large_airport,"La Aurora Airport",14.5833,-90.527496,4952,NA,GT,GT-GU,"Guatemala City",1,MGGT,GUA,,,http://en.wikipedia.org/wiki/La_Aurora_International_Airport,,1050,2019-01-23T12:52:37+00:00
4649,MGTK,medium_airport,"Mundo Maya International Airport",16.913799285899998,-89.86640167239999,427,NA,GT,GT-PE,"San Benito",1,MGMM,FRS,,,http://en.wikipedia.org/wiki/Mundo_Maya_International_Airport,,1050,2015-01-21T15:29:25+00:00
42234,MGRD,small_airport,"Las Vegas Airport",15.668363,-88.961763,28,NA,GT,GT-IZ,"Rio Dulce",0,MGRD,LCF,,,https://en.m.wikipedia.org/wiki/Río_Dulce_Airport,,50,2016-01-30T21:46:08+00:00
4648,MGSJ,medium_airport,"San José Airport",13.936200141899999,-90.83580017090001,29,NA,GT,GT-ES,"Puerto San José",1,MGSJ,GSJ,,,http://en.wikipedia.org/wiki/San_Jos%C3%A9_Airport,,800,2012-04-05T01:46:18+00:00
42235,GT-0006,small_airport,"El Petén Airport",17.226388931274414,-89.6050033569336,774,NA,GT,GT-PE,Tikal,0,,TKM,,,,,50,2008-09-29T08:27:35+00:00
4645,MGPB,medium_airport,"Puerto Barrios Airport",15.7309,-88.583801,33,NA,GT,GT-IZ,"Puerto Barrios",1,MGPB,PBR,,,https://en.wikipedia.org/wiki/Puerto_Barrios_Airport,,875,2018-09-16T04:25:11+00:00
30610,MGQZ,small_airport,"Quezaltenango Airport",14.8656,-91.501999,7779,NA,GT,GT-QZ,Quezaltenango,1,MGQZ,AAZ,,,https://en.wikipedia.org/wiki/Quetzaltenango_Airport,"Los Altos Airport, Xelajú , Xela",450,2017-04-22T14:42:52+00:00
4643,MGCB,medium_airport,"Coban Airport",15.468999862670898,-90.40670013427734,4339,NA,GT,GT-AV,Coban,0,MGCB,CBV,,,,,250,2008-09-29T08:27:20+00:00
4647,MGRT,medium_airport,"Retalhuleu Airport",14.520999908447266,-91.69730377197266,656,NA,GT,GT-RE,Retalhuleu,0,MGRT,RER,,,,,250,2008-09-29T08:27:28+00:00
4646,MGRB,medium_airport,"Rubelsanto Airport",15.991999626159668,-90.44529724121094,426,NA,GT,GT-AV,Rubelsanto,0,MGRB,RUV,,,,,250,2008-09-29T08:27:28+00:00
42223,MGCR,small_airport,"Carmelita Airport",17.461200714111328,-90.05370330810547,753,NA,GT,GT-PE,Carmelita,0,MGCR,CMM,,,,,50,2008-09-29T08:27:21+00:00
