id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3146,GUCY,medium_airport,"Conakry International Airport",9.57689,-13.612,72,AF,GN,GN-C,Conakry,1,GUCY,CKY,,http://www.aeroport-conakry.com/aeroport_international_de_conakry.php,http://en.wikipedia.org/wiki/Conakry_International_Airport,"Gbessia International Airport",875,2016-01-28T09:30:07+00:00
3148,GUFH,small_airport,"Faranah Airport",10.0354995728,-10.7698001862,1476,AF,GN,GN-F,Faranah,0,GUFH,FAA,,,http://en.wikipedia.org/wiki/Faranah_Airport,,250,2016-01-28T09:59:35+00:00
3147,GUFA,small_airport,"Fria Airport",10.350600242615,-13.569199562073,499,AF,GN,GN-B,Fria,0,GUFA,FIG,,,https://en.wikipedia.org/wiki/Fria_Airport,,250,2016-01-28T10:08:09+00:00
3149,GULB,small_airport,"Tata Airport",11.326100349426,-12.286800384521,3396,AF,GN,GN-L,Labé,0,GULB,LEK,,,https://en.wikipedia.org/wiki/Tata_Airport,,250,2016-01-28T10:05:02+00:00
31556,GUGO,small_airport,"Gbenko Airport",9.24602985382,-9.29514026642,2133,AF,GN,GN-F,Banankoro,0,GUGO,,,,http://en.wikipedia.org/wiki/Gbenko_Airport,,50,2016-01-28T10:08:44+00:00
30763,GUOK,small_airport,"Boké Baralande Airport",10.9658,-14.2811,164,AF,GN,GN-B,Boké,0,GUOK,BKJ,,,https://en.wikipedia.org/wiki/Bok%C3%A9_Baralande_Airport,,50,2016-06-07T06:10:13+00:00
31777,GUKU,small_airport,"Kissidougou Airport",9.1605596542358,-10.124400138855,1808,AF,GN,GN-F,Kissidougou,0,GUKU,KSI,,,https://en.wikipedia.org/wiki/Kissidougou_Airport,,50,2016-01-28T10:09:23+00:00
32250,GUSB,small_airport,"Sambailo Airport",12.572699546814,-13.358499526978,295,AF,GN,GN-B,Koundara,0,GUSB,SBI,,,https://en.wikipedia.org/wiki/Sambailo_Airport,,50,2016-01-28T10:10:50+00:00
31886,GUMA,small_airport,"Macenta Airport",8.481857,-9.525071,1690,AF,GN,GN-N,Macenta,0,GUMA,MCA,,,https://en.wikipedia.org/wiki/Macenta_Airport,,50,2016-06-07T06:11:04+00:00
32069,GUNZ,small_airport,"Nzérékoré Airport",7.8060193061829,-8.7017974853516,1657,AF,GN,GN-N,Nzérékoré,0,GUNZ,NZE,,,https://en.wikipedia.org/wiki/Nz%C3%A9r%C3%A9kor%C3%A9_Airport,,50,2016-01-28T10:10:18+00:00
31557,GUKR,small_airport,"Kawass Airport",10.651000022888,-14.533599853516,36,AF,GN,GN-B,"Port Kamsar",0,GUKR,,,,https://en.wikipedia.org/wiki/Kawass_Airport,,50,2016-01-28T09:57:06+00:00
31558,GUSA,small_airport,"Sangarédi Airport",11.114558,-13.815834,686,AF,GN,GN-B,Sangarédi,0,GUSA,,,,https://en.wikipedia.org/wiki/Sangar%C3%A9di_Airport,,50,2016-06-07T06:02:40+00:00
31530,GUSI,small_airport,"Siguiri Airport",11.432999610901,-9.1669998168945,1296,AF,GN,GN-K,Siguiri,0,GUSI,GII,,,https://en.wikipedia.org/wiki/Siguiri_Airport,,50,2016-01-28T10:12:18+00:00
316855,GUBE,small_airport,"Beyla Airport",8.697222,-8.713889,2190,AF,GN,GN-N,Beyla,0,GUBE,,,,https://en.wikipedia.org/wiki/Beyla_Airport,,0,2016-01-28T10:07:36+00:00
44577,GUXN,small_airport,"Kankan Airport",10.394000053406,-9.3037996292114,1234,AF,GN,GN-K,Kankan,0,GUXN,KNN,,,http://en.wikipedia.org/wiki/Kankan_Airport,,0,2016-01-28T10:01:20+00:00
318900,GN-0001,small_airport,"Kiniéro Airport",10.42242,-9.77592,1375,AF,GN,GN-K,Kiniéro,0,,,GUNE,,,,0,2016-06-19T01:36:47+00:00
