id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6356,SYCJ,medium_airport,"Cheddi Jagan International Airport",6.498549938201904,-58.25410079956055,95,SA,GY,GY-DE,Georgetown,1,SYCJ,GEO,SYGT,http://www.cjairport-gy.com/,http://en.wikipedia.org/wiki/Cheddi_Jagan_International_Airport,,1050,2009-05-08T10:56:22+00:00
41513,SYGO,medium_airport,"Eugene F. Correira International Airport",6.80628,-58.1059,10,SA,GY,GY-DE,Ogle,1,SYGO,OGL,,,http://en.wikipedia.org/wiki/Ogle_Airport,,50,2018-08-27T04:51:06+00:00
43226,PKSA,medium_airport,"Kaieteur International Airport",5.17275476456,-59.491481781,1520,SA,GY,GY-PT,"Kaieteur Falls",1,SYKA,KAI,,,http://en.wikipedia.org/wiki/Kaieteur_International_Airport,,300,2014-12-20T12:28:23+00:00
6358,SYLT,medium_airport,"Lethem Airport",3.37276,-59.789398,351,SA,GY,GY-UT,Lethem,1,SYLT,LTM,,,https://en.wikipedia.org/wiki/Lethem_Airport,,550,2018-09-13T12:22:23+00:00
32128,SYOR,small_airport,"Orinduik Airport",4.725269794464111,-60.03499984741211,1797,SA,GY,GY-PT,Orinduik,0,SYOR,ORJ,,,,,50,2009-05-08T10:56:24+00:00
30624,SYAH,small_airport,"Aishalton Airport",2.486530065536499,-59.31340026855469,587,SA,GY,GY-UT,Aishalton,0,SYAH,AHL,,,,,50,2008-08-23T17:37:29+00:00
32002,SYAN,small_airport,"Annai Airport",3.959439992904663,-59.12419891357422,301,SA,GY,GY-UT,Annai,0,SYAN,NAI,,,,,50,2009-05-08T10:56:21+00:00
32410,SYAP,small_airport,"Apoteri Airport",4.013879776000977,-58.60499954223633,301,SA,GY,GY-UT,Apoteri,0,SYAP,,,,,,50,2009-05-08T10:56:22+00:00
32411,SYAW,small_airport,"Awaruwaunau Airport",2.6500000953674316,-59.20000076293945,797,SA,GY,GY-UT,Awaruwaunau,0,SYAW,,,,,,50,2009-05-08T10:56:22+00:00
41511,SYBR,small_airport,"Baramita Airport",7.370120048522949,-60.487998962402344,328,SA,GY,GY-BA,Baramita,0,SYBR,BMJ,,,,,50,2009-05-08T10:56:22+00:00
41512,SYBT,small_airport,"Bartica A Airport",6.358864,-58.655207,3,SA,GY,GY-CU,Bartica,0,SYBT,GFO,,,,,50,2017-05-14T03:56:31+00:00
