id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4661,MHLM,medium_airport,"Ramón Villeda Morales International Airport",15.4526,-87.923599,91,NA,HN,HN-CR,"San Pedro Sula",1,MHLM,SAP,,,http://en.wikipedia.org/wiki/Ram%C3%B3n_Villeda_Morales_International_Airport,,800,2017-08-14T22:24:03+00:00
4666,MHTG,medium_airport,"Toncontín International Airport",14.06089973449707,-87.21720123291016,3294,NA,HN,HN-FM,Tegucigalpa,1,MHTG,TGU,,,http://en.wikipedia.org/wiki/Toncont%C3%ADn_International_Airport,,875,2008-08-23T10:16:35+00:00
4663,MHRO,medium_airport,"Juan Manuel Galvez International Airport",16.316799,-86.523003,39,NA,HN,HN-IB,"Roatan Island",1,MHRO,RTB,,,http://en.wikipedia.org/wiki/Juan_Manuel_G%C3%A1lvez_International_Airport,"Roatan International",875,2016-06-07T05:41:14+00:00
4660,MHLC,medium_airport,"Goloson International Airport",15.7425,-86.852997,39,NA,HN,HN-AT,"La Ceiba",1,MHLC,LCE,,,http://en.wikipedia.org/wiki/Golos%C3%B3n_International_Airport,"Hector C Moncada Air Base",875,2016-06-07T05:24:02+00:00
4664,MHSC,medium_airport,"Coronel Enrique Soto Cano Air Base",14.3824,-87.621201,2061,NA,HN,HN-CM,Comayagua,0,MHSC,XPL,,,https://en.wikipedia.org/wiki/Soto_Cano_Air_Base,"Palmerola Air Base",250,2016-06-07T04:58:08+00:00
4667,MHTJ,medium_airport,"Trujillo Airport",15.9268,-85.938202,3,NA,HN,HN-CL,Trujillo,0,MHTJ,TJI,,,https://en.wikipedia.org/wiki/Trujillo_Airport,,250,2016-06-07T05:58:23+00:00
42143,MHVE,small_airport,"Villa Hermosa Airport",14.230278015136719,-88.79944610595703,1280,NA,HN,HN-LE,Coyolillo,0,MHVE,,,,,,50,2008-09-27T10:43:44+00:00
42047,MHCL,closed,"Colon Airport",14.161944,-88.034447,1240,NA,HN,HN-LP,Marcala,0,MHMA,MRJ,,,https://en.wikipedia.org/wiki/Marcala_Airport,,50,2016-06-07T05:34:38+00:00
42026,HN-MOR,small_airport,"Mocoron Airport",15.02970027923584,-84.279296875,78,NA,HN,HN-GD,Mocorón,0,,,,,,,50,2008-09-27T10:38:43+00:00
42113,MHPB,heliport,"Publigraficos Heliport",15.453332901000977,-88.02194213867188,159,NA,HN,HN-CR,"San Pedro Sula",0,MHPB,,,,,,0,2008-09-27T10:43:44+00:00
30625,MHAH,small_airport,"Ahuas Airport",15.4722,-84.352203,249,NA,HN,HN-GD,Ahuas,0,MHAH,AHS,,,https://en.wikipedia.org/wiki/Ahuas_Airport,,450,2016-06-07T04:27:28+00:00
32153,MHPL,small_airport,"Puerto Lempira Airport",15.2622,-83.781197,33,NA,HN,HN-GD,"Puerto Lempira",1,MHPL,PEU,,,https://en.wikipedia.org/wiki/Puerto_Lempira_Airport,,450,2016-06-07T05:40:45+00:00
32522,MHUT,small_airport,"Utila Airport",16.1131,-86.880302,29,NA,HN,HN-IB,"Utila Island",1,MHUT,UII,,,https://en.wikipedia.org/wiki/%C3%9Atila_Airport,,450,2016-06-07T06:01:05+00:00
