id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4296,LHBP,large_airport,"Budapest Liszt Ferenc International Airport",47.42976,19.261093,495,EU,HU,HU-PE,Budapest,1,LHBP,BUD,,http://www.bud.hu/english,http://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport,"Ferihegyi nemzetközi repülőtér, Budapest Liszt Ferenc international Airport",51675,2018-10-09T00:04:01+00:00
29732,LHBS,small_airport,"Budaörs Airfield",47.451099,18.9806,397,EU,HU,HU-BU,Budaörs,0,LHBS,,,,,,50,2016-09-10T12:59:40+00:00
4298,LHFM,small_airport,"Fertőszentmiklós Airport",47.582802,16.8454,440,EU,HU,HU-GS,Fertőszentmiklós,0,LHFM,,,http://www.lhfm.hu/,,Meidl,50,2016-07-30T13:38:23+00:00
29681,LHSK,small_airport,"Siófok-Kiliti Airport",46.856899,18.0958,417,EU,HU,HU-SO,Siófok-Kiliti,0,LHSK,,,http://www.bud.hu/english/about_us/siofok-kiliti_airport/,,,50,2016-07-30T13:40:37+00:00
4305,LHSM,medium_airport,"Sármellék International Airport",46.686391,17.159084,408,EU,HU,HU-ZA,Sármellék,1,LHSM,SOB,,http://www.flybalaton.com/?null&lang=en,http://en.wikipedia.org/wiki/S%C3%A1rmell%C3%A9k_International_Airport,"FlyBatalon Airport, Batalon Airport, Sármellék Nemzetközi Repülőtér",975,2016-07-30T13:43:37+00:00
4303,LHPR,medium_airport,"Győr-Pér International Airport",47.624401,17.813601,424,EU,HU,HU-GS,Győr,1,LHPR,,,http://www.gyor-perairport.hu/index.php?displang=eng,http://en.wikipedia.org/wiki/Gy%C5%91r-P%C3%A9r_International_Airport,,800,2016-10-26T08:36:19+00:00
4297,LHDC,medium_airport,"Debrecen International Airport",47.48889923095703,21.615299224853516,359,EU,HU,HU-HB,Debrecen,1,LHDC,DEB,,http://www.airportdebrecen.hu/,http://en.wikipedia.org/wiki/Debrecen_International_Airport,"Debreceni nemzetközi repülőtér",975,2009-01-14T17:34:08+00:00
4299,LHKE,medium_airport,"Kecskemét Airport",46.91749954223633,19.74920082092285,376,EU,HU,HU-BK,Kecskemét,0,LHKE,,,,,,250,2009-01-14T17:52:04+00:00
30488,LHTL,medium_airport,"Tököl Airport",47.345298767100005,18.980800628699996,318,EU,HU,HU-PE,Tököl,0,LHTL,,,http://www.lhtl.hu/,,,250,2014-02-05T14:17:31+00:00
