id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
123,BIKF,large_airport,"Keflavik International Airport",63.985000610352,-22.605600357056,171,EU,IS,IS-2,Reykjavík,1,BIKF,KEF,,,http://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station,REK",1675,2016-01-04T17:20:26+00:00
125,BIRK,medium_airport,"Reykjavik Airport",64.1299972534,-21.9405994415,48,EU,IS,IS-1,Reykjavik,1,BIRK,RKV,,,http://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport,REK,1050,2016-01-04T17:22:01+00:00
117,BIAR,medium_airport,"Akureyri Airport",65.66000366210938,-18.07270050048828,6,EU,IS,IS-6,Akureyri,1,BIAR,AEY,,,http://en.wikipedia.org/wiki/Akureyri_Airport,,975,2008-08-03T15:29:32+00:00
119,BIEG,medium_airport,"Egilsstaðir Airport",65.2833023071289,-14.401399612426758,76,EU,IS,IS-7,Egilsstaðir,1,BIEG,EGS,,,http://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport,,1050,2008-08-03T15:30:19+00:00
128,BIVM,medium_airport,"Vestmannaeyjar Airport",63.42430114746094,-20.278900146484375,326,EU,IS,IS-8,Vestmannaeyjar,0,BIVM,VEY,,,http://en.wikipedia.org/wiki/Vestmannaeyjar_Airport,,250,2009-04-07T13:06:17+00:00
122,BIIS,medium_airport,"Ísafjörður Airport",66.05809783935547,-23.135299682617188,8,EU,IS,IS-4,Ísafjörður,1,BIIS,IFJ,,,http://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,,825,2008-08-03T14:36:06+00:00
31549,BIGR,small_airport,"Grímsey Airport",66.5458,-18.0173,66,EU,IS,IS-6,Grímsey,1,BIGR,GRY,,,,,450,2011-10-10T07:50:56+00:00
120,BIHN,medium_airport,"Hornafjörður Airport",64.295601,-15.2272,24,EU,IS,IS-8,Höfn,1,BIHN,HFN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport,,250,2016-05-31T09:48:24+00:00
127,BITN,small_airport,"Thorshofn Airport",66.21849822998047,-15.335599899291992,65,EU,IS,IS-6,Thorshofn,1,BITN,THO,,,http://en.wikipedia.org/wiki/Thorshofn_Airport,,450,2008-08-03T15:30:53+00:00
121,BIHU,medium_airport,"Húsavík Airport",65.952301,-17.426001,48,EU,IS,IS-6,Húsavík,1,BIHU,HZK,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport,,250,2016-05-31T09:49:24+00:00
126,BISI,medium_airport,"Siglufjörður Airport",66.133301,-18.9167,10,EU,IS,IS-6,Siglufjörður,0,BISI,SIJ,,,https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport,,250,2016-05-31T09:51:12+00:00
31973,BIRL,small_airport,"Reykjahlíð Airport",65.65579986572266,-16.918100357055664,1030,EU,IS,IS-6,Myvatn,0,BIRL,MVA,,,,,50,2008-08-03T14:44:50+00:00
32044,BINF,small_airport,"Norðfjörður Airport",65.13189697265625,-13.746399879455566,13,EU,IS,IS-7,Norðfjörður,0,BINF,NOR,,,,,50,2008-08-03T15:06:02+00:00
32593,BIVO,small_airport,"Vopnafjörður Airport",65.72059631347656,-14.850600242614746,16,EU,IS,IS-7,Vopnafjörður,1,BIVO,VPN,,,,,450,2009-04-07T13:06:17+00:00
124,BIPA,small_airport,"Patreksfjörður Airport",65.555801,-23.965,11,EU,IS,IS-4,Patreksfjörður,0,BIPA,PFJ,,,https://en.wikipedia.org/wiki/Patreksfj%C3%B6r%C3%B0ur_Airport,,250,2016-05-31T09:50:17+00:00
30759,BIBK,small_airport,"Bakkafjörður Airport",66.02189636230469,-14.824399948120117,14,EU,IS,IS-6,Bakkafjörður,0,BIBK,BJD,,,,,50,2009-04-07T13:06:17+00:00
118,BIBD,small_airport,"Bildudalur Airport",65.64129638671875,-23.546199798583984,18,EU,IS,IS-4,Bildudalur,0,BIBD,BIU,,,,,50,2009-04-07T13:06:11+00:00
30771,BIBL,small_airport,"Hjaltabakki Airport",65.6449966430664,-20.287500381469727,131,EU,IS,IS-5,Blönduós,0,BIBL,BLO,,,,,50,2008-08-03T14:47:34+00:00
30700,BIBF,small_airport,"Borgarfjörður eystri Airport",65.51640319824219,-13.805000305175781,80,EU,IS,IS-7,"Borgarfjörður eystri",0,BIBF,BGJ,,,,,50,2008-08-03T15:05:52+00:00
30807,BIBV,small_airport,"Breiðdalsvík Airport",64.79000091552734,-14.02280044555664,8,EU,IS,IS-7,Breiðdalsvík,0,BIBV,BXV,,,,,50,2009-04-07T13:06:17+00:00
30922,BIDV,small_airport,"Djúpivogur Airport",64.64420318603516,-14.28279972076416,9,EU,IS,IS-7,Djúpivogur,0,BIDV,DJU,,,,,50,2008-08-03T15:06:39+00:00
31058,BIFF,small_airport,"Fáskrúðsfjörður Airport",64.9317016602,-14.0606002808,15,EU,IS,IS-7,Fáskrúðsfjörður,0,BIFF,FAS,,,http://en.wikipedia.org/wiki/F%C3%A1skr%C3%BA%C3%B0sfj%C3%B6r%C3%B0ur_Airport,Faskrudsfjordur,50,2015-01-21T16:56:35+00:00
31531,BIGJ,small_airport,"Gjögur Airport",65.99530029296875,-21.326900482177734,83,EU,IS,IS-4,Gjögur,0,BIGJ,GJR,,,,,50,2009-04-07T13:06:11+00:00
30728,BIHY,small_airport,"Hrisey Airport",66,-18.399999618530273,15,EU,IS,IS-6,Hrisey,0,BIHY,,,,,,50,2008-08-03T15:12:59+00:00
32121,BIKP,small_airport,"Kópasker Airport",66.31079864501953,-16.466699600219727,20,EU,IS,IS-6,Kópasker,0,BIKP,OPA,,,,,50,2008-08-03T14:45:07+00:00
32096,BIOF,small_airport,"Ólafsfjörður Airport",66.08329772949219,-18.66670036315918,32,EU,IS,IS-6,Ólafsfjörður,0,BIOF,OFJ,,,,,50,2008-08-03T15:12:31+00:00
32205,BIRG,small_airport,"Raufarhöfn Airport",66.40640258789062,-15.918299674987793,39,EU,IS,IS-6,Raufarhöfn,0,BIRG,RFN,,,,,50,2008-08-03T14:45:11+00:00
30751,BISS,small_airport,"Sandskeið Airport",64.06079864501953,-21.57469940185547,600,EU,IS,IS-1,Sandskeið,0,BISS,,,,,,50,2008-08-03T14:55:40+00:00
32246,BIKR,small_airport,"Sauðárkrókur Airport",65.73169708249999,-19.572799682599996,8,EU,IS,IS-5,Sauðárkrókur,0,BIKR,SAK,,,http://en.wikipedia.org/wiki/Sau%C3%B0%C3%A1rkr%C3%B3kur_Airport,,50,2011-10-06T20:18:42+00:00
32415,BIST,small_airport,"Stykkishólmur Airport",65.05809783935547,-22.794200897216797,42,EU,IS,IS-3,Stykkishólmur,0,BIST,SYK,,,,,50,2008-08-03T14:40:10+00:00
30738,BIMS,small_airport,"Tungubakkar Airport",64.18109893798828,-21.707799911499023,5,EU,IS,IS-1,Tungubakkar,0,BIMS,,,,,,50,2008-08-03T14:55:00+00:00
44001,BIVH,small_airport,"Varmahlid Airport",65.55694580078125,-19.428056716918945,27,EU,IS,IS-5,Varmahlid,0,BIVH,,,,,,0,2009-04-07T13:06:13+00:00
30710,BIAL,small_airport,"Álftaver Airport",63.540000915527344,-18.449399948120117,160,EU,IS,IS-8,Álftaver,0,BIAL,,,,,,50,2008-08-03T14:58:39+00:00
30709,BIAE,small_airport,"Arngerðareyri Airport",65.90470123291016,-22.363300323486328,20,EU,IS,IS-4,Arngerðareyri,0,BIAE,,,,,,50,2008-08-03T14:35:37+00:00
