id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26751,WADD,large_airport,"Ngurah Rai (Bali) International Airport",-8.7481698989868,115.16699981689,14,AS,ID,ID-BA,"Denpasar-Bali Island",1,WADD,DPS,,http://www.angkasapura1.co.id/eng/location/bali.htm,http://en.wikipedia.org/wiki/Ngurah_Rai_Airport,WRRR,1200,2015-06-14T12:12:46+00:00
26835,WIII,large_airport,"Soekarno-Hatta International Airport",-6.1255698204,106.65599823,34,AS,ID,ID-BT,Jakarta,1,WIII,CGK,,http://www.jakartasoekarnohattaairport.com/,http://en.wikipedia.org/wiki/Soekarno-Hatta_International_Airport,"JKT, Cengkareng, Java",51600,2013-02-07T12:57:41+00:00
26787,WARJ,small_airport,"Adi Sutjipto International Airport",-7.788179874420166,110.43199920654297,350,AS,ID,ID-YO,"Yogyakarta-Java Island",1,WARJ,JOG,,,http://en.wikipedia.org/wiki/Adisucipto_International_Airport,WIIJ,450,2008-08-22T18:34:21+00:00
26832,WIHH,medium_airport,"Halim Perdanakusuma International Airport",-6.266610145568848,106.89099884033203,84,AS,ID,ID-JK,Jakarta,1,WIHH,HLP,,http://www.angkasapura2.co.id/cabang/hlp/content.php?menu=8&page_id=1,http://en.wikipedia.org/wiki/Halim_Perdanakusuma_International_Airport,"WIIH,WIIX,WIID",575,2009-01-02T09:06:01+00:00
26789,WARR,large_airport,"Juanda International Airport",-7.3798298835754395,112.78700256347656,9,AS,ID,ID-JI,Surabaya,1,WARR,SUB,,http://www.juanda-airport.com/,http://en.wikipedia.org/wiki/Juanda_International_Airport,WRSJ,51150,2009-01-30T18:09:03+00:00
299629,WADL,medium_airport,"Lombok International Airport",-8.757322,116.276675,319,AS,ID,ID-NB,Mataram,1,WADL,LOP,,http://www.lombok-airport.co.id/,http://en.wikipedia.org/wiki/Lombok_International_Airport,"Bandara Udara Internasional Lombok",0,2015-12-11T17:56:31+00:00
26839,WIMK,medium_airport,"Soewondo Air Force Base",3.559167,98.671111,114,AS,ID,ID-SU,"Medan-Sumatra Island",0,WIMK,MES,,,http://en.wikipedia.org/wiki/Polonia_International_Airport,"Polonia International Airport, WIMM",1050,2016-01-12T14:41:48+00:00
26745,WAAA,large_airport,"Hasanuddin International Airport",-5.061629772186279,119.55400085449219,47,AS,ID,ID-SN,"Ujung Pandang-Celebes Island",1,WAAA,UPG,,,http://en.wikipedia.org/wiki/Hasanuddin_International_Airport,,1275,2008-08-22T18:32:58+00:00
26790,WARS,small_airport,"Achmad Yani Airport",-6.97273,110.375,10,AS,ID,ID-JT,"Semarang-Java Island",1,WAHS,SRG,,,http://en.wikipedia.org/wiki/Achmad_Yani_Airport,"WIIS,WARS",450,2016-10-29T09:20:41+00:00
