id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5166,OIIE,large_airport,"Imam Khomeini International Airport",35.416099548339844,51.152198791503906,3305,AS,IR,IR-07,Tehran,1,OIIE,IKA,,http://www.ikia.ir/,http://en.wikipedia.org/wiki/Imam_Khomeini_International_Airport,Ahmadabad,1200,2008-06-13T14:30:04+00:00
5168,OIII,large_airport,"Mehrabad International Airport",35.68920135498047,51.31340026855469,3962,AS,IR,IR-07,Tehran,1,OIII,THR,,,http://en.wikipedia.org/wiki/Mehrabad_International_Airport,,1200,2008-06-13T14:30:04+00:00
5197,OISS,large_airport,"Shiraz Shahid Dastghaib International Airport",29.539199829101562,52.58980178833008,4920,AS,IR,IR-14,Shiraz,1,OISS,SYZ,,http://shirazairport.ir/,http://en.wikipedia.org/wiki/Shiraz_International_Airport,,1200,2008-06-13T14:30:04+00:00
5183,OIMM,large_airport,"Mashhad International Airport",36.235198974609375,59.64099884033203,3263,AS,IR,IR-30,Mashhad,1,OIMM,MHD,,,http://en.wikipedia.org/wiki/Mashhad_International_Airport,"Shahid Hashemi Nejad Airport",1200,2009-03-25T08:12:12+00:00
5204,OITT,large_airport,"Tabriz International Airport",38.1338996887207,46.23500061035156,4459,AS,IR,IR-01,Tabriz,1,OITT,TBZ,,http://www.tabrizairport.ir/,http://en.wikipedia.org/wiki/Tabriz_International_Airport,IRIAF,1200,2008-06-13T14:30:04+00:00
5156,OIFM,medium_airport,"Esfahan Shahid Beheshti International Airport",32.75080108642578,51.86130142211914,5059,AS,IR,IR-04,Isfahan,1,OIFM,IFN,,,http://en.wikipedia.org/wiki/Isfahan_International_Airport,"Isfahan Shahid Beheshti",1000,2008-06-13T14:30:04+00:00
5174,OIKK,medium_airport,"Kerman Airport",30.274400711099997,56.9510993958,5741,AS,IR,IR-15,Kerman,1,OIKK,KER,,,http://en.wikipedia.org/wiki/Kerman_Airport,,875,2010-08-30T18:47:10+00:00
5172,OIKB,medium_airport,"Bandar Abbas International Airport",27.218299865722656,56.37779998779297,22,AS,IR,IR-23,"Bandar Abbas",1,OIKB,BND,,,http://en.wikipedia.org/wiki/Bandar_Abbas_International_Airport,,1050,2008-06-13T14:30:04+00:00
5206,OIYY,medium_airport,"Shahid Sadooghi Airport",31.9048995972,54.2765007019,4054,AS,IR,IR-25,Yazd,1,OIYY,AZD,,,http://en.wikipedia.org/wiki/Shahid_Sadooghi_Airport,,875,2010-08-30T18:51:30+00:00
5130,OIAA,medium_airport,"Abadan Airport",30.371099472,48.2282981873,10,AS,IR,IR-10,Abadan,1,OIAA,ABD,,,http://en.wikipedia.org/wiki/Abadan_Airport,,875,2010-08-30T18:42:33+00:00
5209,OIZH,medium_airport,"Zahedan International Airport",29.47570037841797,60.90620040893555,4564,AS,IR,IR-13,Zahedan,1,OIZH,ZAH,,,http://en.wikipedia.org/wiki/Zahedan_International_Airport,,875,2008-06-13T14:30:04+00:00
5171,OIIP,medium_airport,"Payam International Airport",35.776100158691,50.826698303223,4170,AS,IR,IR-U-A,Karaj,1,OIIP,PYK,,,https://en.wikipedia.org/wiki/Payam_International_Airport,,250,2016-01-15T09:03:59+00:00
5163,OIIA,small_airport,"Ghazvin Azadi Airport",35.95209884643555,50.450801849365234,3769,AS,IR,IR-28,,0,OIIA,,,,,,50,2008-11-30T19:37:59+00:00
5137,OIAW,medium_airport,"Ahwaz Airport",31.337400436399996,48.7620010376,66,AS,IR,IR-10,Ahwaz,1,OIAW,AWZ,,,http://en.wikipedia.org/wiki/Ahvaz_Airport,,1050,2010-08-30T18:43:16+00:00
5149,OICC,medium_airport,"Shahid Ashrafi Esfahani Airport",34.3459014893,47.1581001282,4307,AS,IR,IR-17,Kermanshah,1,OICC,KSH,,,http://en.wikipedia.org/wiki/Shahid_Ashrafi_Esfahani_Airport,,1050,2010-08-30T18:50:18+00:00
5203,OITR,medium_airport,"Urmia Airport",37.6680984497,45.0686988831,4343,AS,IR,IR-02,Urmia,1,OITR,OMH,,,http://en.wikipedia.org/wiki/Urmia_Airport,,1000,2010-08-30T13:04:12+00:00
