id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5289,ORBI,large_airport,"Baghdad International Airport",33.262500762900004,44.2346000671,114,AS,IQ,IQ-BG,Baghdad,1,ORBI,BGW,,,http://en.wikipedia.org/wiki/Baghdad_International_Airport,"SDA, BIAP, VBC, ORBS, Camp Sather, Saddam International Airport, Al Anbar Airport",1150,2012-07-01T14:58:38+00:00
5292,ORER,medium_airport,"Erbil International Airport",36.23759841918945,43.963199615478516,1341,AS,IQ,IQ-AR,Arbil,1,ORER,EBL,,,http://en.wikipedia.org/wiki/Erbil_International_Airport,"Irbil, Kurdistan, فروکه‌خانه‌ی نيوده‌وله‌تی هه‌ولير",650,2009-01-01T17:26:40+00:00
5297,ORSU,medium_airport,"Sulaymaniyah International Airport",35.5617485046,45.316738128699996,2494,AS,IQ,IQ-SW,Sulaymaniyah,1,ORSU,ISU,OSO,,http://en.wikipedia.org/wiki/Sulaimaniyah_International_Airport,"Kurd, Kurdish, Kurdistan",800,2012-11-22T08:14:44+00:00
5294,ORMM,large_airport,"Basrah International Airport",30.549100875854492,47.66210174560547,11,AS,IQ,IQ-BA,Basrah,1,ORMM,BSR,,,http://en.wikipedia.org/wiki/Basra_International_Airport,,1275,2009-01-01T16:54:45+00:00
5286,ORAA,medium_airport,"Al Asad Air Base",33.7855987549,42.4412002563,618,AS,IQ,IQ-AN,Hīt,0,ORAA,IQA,,,http://en.wikipedia.org/wiki/Al_Asad_Airbase,"Qadisiyah Airbase",250,2012-03-18T12:37:15+00:00
44527,IQ-0033,closed,"Nejef New Air Field [Duplicate]",31.98946,44.405449,,AS,IQ,IQ-NA,,0,,,,,,,0,2017-06-29T09:46:58+00:00
311028,ORNI,small_airport,"Al Najaf International Airport",31.989853,44.404317,103,AS,IQ,IQ-NA,Najaf,1,ORNI,NJF,,http://www.alnajafairport.net/,http://en.wikipedia.org/wiki/Al_Najaf_International_Airport,,0,2016-06-02T08:40:02+00:00
5288,ORBD,medium_airport,"Joint Base Balad",33.940200805699995,44.361598968500005,161,AS,IQ,IQ-SD,Balad,0,ORBD,XQC,,,http://en.wikipedia.org/wiki/Joint_Base_Balad,"Balad Southeast Air Base,Al-Bakir Air Base, Camp Anaconda, قاعدة البكر الجوية",450,2015-01-21T16:37:02+00:00
5287,ORAT,medium_airport,"Al Taqaddum Air Base",33.33810043335,43.597099304199,275,AS,IQ,IQ-AN,"Al Habbaniyah",0,ORAT,TQD,,,http://en.wikipedia.org/wiki/Al_Taqaddum,"Tammuz Airbase, Al Fallujah, Greene Field",250,2015-12-04T00:51:27+00:00
5299,ORTI,medium_airport,"Al Taji Army Air Field",33.52389907836914,44.25669860839844,121,AS,IQ,IQ-BG,Taji,0,ORTI,,,,"http://en.wikipedia.org/wiki/Taji,_Iraq#Camp_Taji",,250,2009-01-01T17:31:21+00:00
44533,IQ-0039,medium_airport,"Rasheed Air Base",33.279327392578125,44.49370574951172,,AS,IQ,IQ-BG,,0,,,,,,,0,2009-06-27T15:27:53+00:00
300116,ORWH,heliport,"Washington Army Heliport",33.3044444444,44.403333333300004,139,AS,IQ,IQ-BG,,0,ORWH,,,,,,0,2011-12-10T04:56:59+00:00
44505,IQ-0012,small_airport,"Baqubah Airport",33.795249938964844,44.60118865966797,,AS,IQ,IQ-DI,,1,,,,,,,0,2009-06-27T12:32:53+00:00
44524,IQ-0030,medium_airport,"Kut Al Hayy East Air Base",32.11684036254883,46.382240295410156,,AS,IQ,IQ-WA,,0,,,,,,,0,2009-06-27T14:55:56+00:00
5301,ORUB,medium_airport,"Ubaydah Bin Al Jarrah Airport",32.481998443603516,45.75709915161133,68,AS,IQ,IQ-WA,"Al Cut",0,ORUB,,,,,,250,2009-01-01T17:41:13+00:00
5293,ORKK,medium_airport,"Kirkuk Air Base",35.46950149536133,44.348899841308594,1061,AS,IQ,IQ-TS,Kirkuk,0,ORKK,KIK,,,,,250,2009-01-01T17:13:21+00:00
5290,ORBM,medium_airport,"Mosul International Airport",36.305801,43.1474,719,AS,IQ,IQ-NI,Mosul,0,ORBM,OSM,,,http://en.wikipedia.org/wiki/Mosul_International_Airport,OSB,250,2018-05-02T16:38:44+00:00
5300,ORTL,medium_airport,"Ali Air Base",30.935800552368164,46.0900993347168,20,AS,IQ,IQ-DQ,Nasiriyah,0,ORTL,,,,http://en.wikipedia.org/wiki/Ali_Air_Base,"Tallil Air Base, Camp Adder",250,2009-01-01T17:35:21+00:00
5295,ORQW,medium_airport,"Qayyarah West Airport",35.76720047,43.125099182099994,749,AS,IQ,IQ-NI,Qayyarah,0,ORQW,RQW,,,,,250,2012-12-13T23:58:05+00:00
5298,ORTF,medium_airport,"Tall Afar Army Air Field",36.28310012817383,42.40299987792969,996,AS,IQ,IQ-NI,"Tall Afar",0,ORTF,,,,,,250,2009-01-01T17:39:14+00:00
5296,ORSH,medium_airport,"Al Sahra Army Air Field",34.67319869995117,43.542999267578125,451,AS,IQ,IQ-SD,Tikrit,0,ORSH,,,,,,250,2009-01-01T17:41:47+00:00
30776,ORBB,small_airport,"Bamarni Airport",37.09880065917969,43.2666015625,3455,AS,IQ,IQ-DA,Bamarni,0,ORBB,BMN,,,,,50,2008-12-19T20:11:00+00:00
5291,ORBR,small_airport,"Bashur Airfield",36.5336990356,44.3399009705,2079,AS,IQ,IQ-AR,Bashur,0,ORBR,,,,,,50,2010-02-23T07:56:04+00:00
44498,IQ-0005,small_airport,"Al Muhammadi Airport",33.440879821777344,42.913307189941406,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T11:13:43+00:00
44502,IQ-0009,small_airport,"Ar Rutbah Highway Strip",33.05903244018555,40.39664077758789,,AS,IQ,IQ-AN,,1,,,,,,,0,2009-06-27T11:55:47+00:00
44503,IQ-0010,small_airport,"Ar Rutbah South Airport",32.831565856933594,40.33956527709961,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T12:00:12+00:00
44509,IQ-0016,medium_airport,"H1 New Air Base",33.81869888305664,41.43220138549805,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T13:24:08+00:00
44510,IQ-0017,medium_airport,"H2 Air Base",33.36372375488281,40.5880241394043,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T13:23:09+00:00
44511,IQ-0018,medium_airport,"H3 Air Base",32.92938232421875,39.74510192871094,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T13:27:12+00:00
44512,IQ-0019,small_airport,"H3 Highway Strip",32.848533630371094,39.31089401245117,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T13:30:56+00:00
44513,IQ-0020,medium_airport,"H3 Northwest AFB",33.07456970214844,39.59961700439453,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T13:35:51+00:00
44514,IQ-0021,medium_airport,"H3 Southwest Air Base",32.74492645263672,39.59955596923828,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T13:44:29+00:00
44515,IQ-0022,small_airport,"Habbaniyah Airport",33.37422561645508,43.564395904541016,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T13:47:34+00:00
44525,IQ-0031,small_airport,"Markab Northeast Airport",33.252525329589844,43.59450149536133,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T14:58:22+00:00
44526,IQ-0032,small_airport,"Mudaysis Air Base",32.4106712341,41.9474945068,1210,AS,IQ,IQ-AN,,0,KQMG,,,,,,0,2011-03-10T19:40:21+00:00
44532,IQ-0038,small_airport,"Radif Al Khafi Highway Strip",31.93083953857422,42.140594482421875,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T15:22:57+00:00
44534,IQ-0040,medium_airport,"Ruwayshid Air Base",32.40611267089844,39.12361145019531,,AS,IQ,IQ-AN,,0,,,,,,,0,2009-06-27T15:32:21+00:00
300117,ORRW,heliport,"Korean Village Forward Operating Base",33.019166666699995,39.9383333333,2442,AS,IQ,IQ-AN,,0,ORRW,,,,,,0,2011-12-10T05:25:01+00:00
44497,IQ-0004,small_airport,"Al Mufrash Airport",30.226497650146484,47.47653579711914,,AS,IQ,IQ-BA,,0,,,,,,,0,2009-06-27T11:05:45+00:00
44501,IQ-0008,small_airport,"Ar Rumaylah Southwest Air Base",30.354156494140625,47.10853958129883,,AS,IQ,IQ-BA,,1,,,,,,,0,2009-06-27T11:41:45+00:00
44507,IQ-0014,small_airport,"Basrah Maqal Airport",30.568191528320312,47.77205276489258,,AS,IQ,IQ-BA,,0,,,,,,,0,2009-06-27T12:44:22+00:00
44517,IQ-0024,medium_airport,"Jalibah Southeast Air Base",30.546518325805664,46.602779388427734,,AS,IQ,IQ-BA,,1,,,,,,,0,2009-06-27T13:58:52+00:00
44535,IQ-0041,small_airport,"Safwan Airport",30.135746002197266,47.64951705932617,,AS,IQ,IQ-BA,,0,,,,,,,0,2009-06-27T16:43:16+00:00
44541,IQ-0047,small_airport,"Shaibah Airport",30.42682456970215,47.642234802246094,,AS,IQ,IQ-BA,,0,,,,,,,0,2009-06-27T17:01:27+00:00
44965,ORUQ,small_airport,"Umm Qasr Airport",30.018143521200003,47.9246163368,,AS,IQ,IQ-BA,,0,ORUQ,,,,,,0,2009-09-03T09:03:45+00:00
44496,IQ-0003,small_airport,"Al Iskandariyah New Airport",32.96919250488281,44.27127456665039,,AS,IQ,IQ-BB,,0,,,,,,,0,2009-06-27T10:57:06+00:00
44521,IQ-0028,small_airport,"Karbala Northeast Airport",32.75546646118164,44.1275520324707,,AS,IQ,IQ-BB,,0,,,,,,,0,2009-06-27T14:17:25+00:00
44543,IQ-0049,small_airport,"Shaykh Hantush Highway Strip",32.29306411743164,44.88743209838867,,AS,IQ,IQ-BB,,0,,,,,,,0,2009-06-27T17:05:57+00:00
44530,IQ-0036,small_airport,"Qasr Tall Mihl Airport",33.30641174316406,44.2419548034668,,AS,IQ,IQ-BG,,0,,,,,,,0,2009-06-27T15:16:26+00:00
44516,IQ-0023,small_airport,"Injanah Air Field",34.44561767578125,44.595306396484375,,AS,IQ,IQ-DI,,0,,,,,,,0,2009-06-27T13:55:22+00:00
44522,IQ-0029,small_airport,"Khan Bani Sad Airport",33.59035873413086,44.59564208984375,,AS,IQ,IQ-DI,,0,,,,,,,0,2009-06-27T14:21:02+00:00
44537,IQ-0043,small_airport,"Salman Pak East Air Field",33.16069030761719,44.77409362792969,,AS,IQ,IQ-DI,,0,,,,,,,0,2009-06-27T16:48:46+00:00
44538,IQ-0044,medium_airport,"Salum Air Base",34.1640739440918,44.7469482421875,,AS,IQ,IQ-DI,,0,,,,,,,0,2009-06-27T16:51:39+00:00
44544,IQ-0050,small_airport,"Subakhu Air Field",33.93447494506836,45.10136795043945,,AS,IQ,IQ-DI,,0,,,,,,,0,2009-06-27T17:12:16+00:00
44529,IQ-0035,small_airport,"Qalat Sikar Air Base",31.83498191833496,46.304840087890625,,AS,IQ,IQ-DQ,,0,,,,,,,0,2009-06-27T15:12:13+00:00
44499,IQ-0006,small_airport,"Amara New Air Base",31.81797218322754,47.07957077026367,,AS,IQ,IQ-MA,,0,,,,,,,0,2009-06-27T11:31:14+00:00
44528,IQ-0034,medium_airport,"Qalat Salih Air Base",31.456581115722656,47.289791107177734,,AS,IQ,IQ-MA,,0,,,,,,,0,2009-06-27T15:09:37+00:00
44504,IQ-0011,small_airport,"As Salman North Air Base",30.646995544433594,44.56970977783203,,AS,IQ,IQ-MU,,0,,,,,,,0,2009-06-27T12:09:01+00:00
44518,IQ-0025,small_airport,"Juwarin Highway Strip",30.689334869384766,46.424102783203125,,AS,IQ,IQ-MU,,0,,,,,,,0,2009-06-27T14:07:30+00:00
44508,IQ-0015,small_airport,"Ghalaysan New Air Base",30.913951873779297,43.67546081542969,,AS,IQ,IQ-NA,,0,,,,,,,0,2009-06-27T13:09:18+00:00
44549,IQ-0055,medium_airport,"Wadi Al Khirr New Air Base",31.417402267456055,43.1823616027832,,AS,IQ,IQ-NA,,0,,,,,,,0,2009-06-27T17:31:48+00:00
44506,IQ-0013,small_airport,"Bashiqah Airport",36.49066162109375,43.34629821777344,,AS,IQ,IQ-NI,,0,,,,,,,0,2009-06-27T12:37:56+00:00
44531,IQ-0037,small_airport,"Qayyarah South Airport",35.75707244873047,43.26463317871094,,AS,IQ,IQ-NI,,0,,,,,,,0,2009-06-27T15:18:35+00:00
44536,IQ-0042,medium_airport,"Sahl Sinjar Air Base",35.8592643737793,42.14213943481445,,AS,IQ,IQ-NI,,0,,,,,,,0,2009-06-27T16:46:13+00:00
44520,IQ-0027,small_airport,"K2 Air Base",34.920650482177734,43.38473129272461,,AS,IQ,IQ-SD,,0,,,,,,,0,2009-06-27T14:13:10+00:00
44539,IQ-0045,medium_airport,"Samarra East Air Base",34.16648864746094,44.263206481933594,,AS,IQ,IQ-SD,,0,,,,,,,0,2009-06-27T16:54:30+00:00
44540,IQ-0046,small_airport,"Samarra West Air Field",34.306312561035156,43.25982666015625,,AS,IQ,IQ-SD,,0,,,,,,,0,2009-06-27T16:58:48+00:00
44546,IQ-0052,small_airport,"Tikrit East Airport",34.60825729370117,43.77571105957031,,AS,IQ,IQ-SD,,0,,,,,,,0,2009-06-27T17:23:55+00:00
44547,IQ-0053,small_airport,"Tikrit South Airport",34.53464126586914,43.677574157714844,,AS,IQ,IQ-SD,,0,,,,,,,0,2009-06-27T17:27:04+00:00
44548,IQ-0054,medium_airport,"Tuz Khurmatu Air Base",34.93722152709961,44.4827766418457,,AS,IQ,IQ-SD,,0,,,,,,,0,2009-06-27T17:28:59+00:00
44494,IQ-0001,small_airport,"Al Fathah Air Base",35.135398864746094,43.72520065307617,,AS,IQ,IQ-TS,,0,,,,,,,0,2009-06-27T09:37:49+00:00
44519,IQ-0026,small_airport,"K1 Air Base",35.51319122314453,44.283626556396484,,AS,IQ,IQ-TS,,0,,,,,,,0,2009-06-27T14:10:40+00:00
44495,IQ-0002,small_airport,"Al Hayy Airport",32.125633239746094,45.7816162109375,,AS,IQ,IQ-WA,,0,,,,,,,0,2009-06-27T10:33:39+00:00
44500,IQ-0007,small_airport,"An Numaniyah Air Base",32.50628662109375,45.3266716003418,,AS,IQ,IQ-WA,,0,,,,,,,0,2009-06-27T11:37:46+00:00
44542,IQ-0048,small_airport,"Shayka Mazhar Air Base",32.929039001464844,44.629791259765625,,AS,IQ,IQ-WA,,0,,,,,,,0,2009-06-27T17:03:18+00:00
44545,IQ-0051,medium_airport,"Tal Ashtah New Air Base",35.13972091669999,44.133888244599994,611,AS,IQ,IQ-TS,http://en.wikipedia.org/wiki/Tal_Ashtah_Air_Base,0,,,,,http://en.wikipedia.org/wiki/Tal_Ashtah_Air_Base,,0,2013-11-15T00:01:53+00:00
