id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2533,EIDW,large_airport,"Dublin Airport",53.421299,-6.27007,242,EU,IE,IE-D,Dublin,1,EIDW,DUB,,http://www.dublinairport.com/,http://en.wikipedia.org/wiki/Dublin_Airport,"Aerfort Bhaile Átha Cliath",1014475,2018-07-19T09:23:39+00:00
2537,EINN,large_airport,"Shannon Airport",52.702,-8.92482,46,EU,IE,IE-CE,Shannon,1,EINN,SNN,,http://www.shannonairport.com/,http://en.wikipedia.org/wiki/Shannon_Airport,,1275,2019-01-15T07:31:08+00:00
2530,EICK,large_airport,"Cork Airport",51.84130096435547,-8.491109848022461,502,EU,IE,IE-C,Cork,1,EICK,ORK,,http://www.corkairport.com/,http://en.wikipedia.org/wiki/Cork_Airport,"Aerfort Chorcaí",1050,2009-02-15T11:04:52+00:00
2531,EICM,medium_airport,"Galway Airport",53.300201416015625,-8.941590309143066,81,EU,IE,IE-G,Galway,1,EICM,GWY,,http://www.galwayairport.com/,http://en.wikipedia.org/wiki/Galway_Airport,,925,2009-02-15T11:28:05+00:00
2535,EIKY,medium_airport,"Kerry Airport",52.18090057373047,-9.52377986907959,112,EU,IE,IE-KY,Killarney,1,EIKY,KIR,,http://www.kerryairport.ie/,http://en.wikipedia.org/wiki/Kerry_Airport,,925,2009-02-15T11:41:16+00:00
2539,EIWF,medium_airport,"Waterford Airport",52.187198638916016,-7.0869598388671875,119,EU,IE,IE-WD,Waterford,1,EIWF,WAT,,http://flywaterford.com/,http://en.wikipedia.org/wiki/Waterford_Airport,,925,2009-02-15T22:12:02+00:00
2534,EIKN,medium_airport,"Ireland West Knock Airport",53.910301208496094,-8.818490028381348,665,EU,IE,IE-MO,Charleston,1,EIKN,NOC,,http://www.irelandwestairport.com/,http://en.wikipedia.org/wiki/Ireland_West_Airport_Knock,Connaught,975,2009-02-15T22:03:55+00:00
29221,EIIM,small_airport,"Inishmore Aerodrome",53.1067008972168,-9.653610229492188,24,EU,IE,IE-G,"Inis Mór",1,EIIM,IOR,,,http://en.wikipedia.org/wiki/Inishmore_Aerodrome,"Aran Islands",350,2009-02-15T11:38:04+00:00
27309,EICA,small_airport,"Connemara Regional Airport",53.23030090332031,-9.467780113220215,70,EU,IE,IE-G,Inverin,1,EICA,NNR,,http://www.aerarannislands.ie/,http://en.wikipedia.org/wiki/Aerfort_na_Minna,"Aerfort na Minna, Indreabhán",350,2009-04-07T13:05:55+00:00
27310,EIWT,medium_airport,"Weston Airport",53.3521995544,-6.48611021042,150,EU,IE,IE-KE,Leixlip,0,EIWT,,,http://www.westonairport.com/,http://en.wikipedia.org/wiki/Weston_Airport,Dublin,150,2010-01-22T17:41:50+00:00
29213,EIAB,small_airport,"Abbeyshrule Aerodrome",53.59170150756836,-7.645559787750244,195,EU,IE,IE-LD,Abbeyshrule,0,EIAB,,,,http://en.wikipedia.org/wiki/Abbeyshrule_Aerodrome,,50,2009-04-07T13:05:59+00:00
29215,EIBR,small_airport,"Birr Aerodrome",53.07059860229492,-7.898330211639404,250,EU,IE,IE-OY,Birr,0,EIBR,,,http://www.ormandflyingclub.com/,http://en.wikipedia.org/wiki/Birr_Aerodrome,Biorra,50,2009-02-15T10:48:47+00:00
2538,EISG,medium_airport,"Sligo Airport",54.280200958252,-8.5992097854614,11,EU,IE,IE-SO,Sligo,0,EISG,SXL,,http://www.sligoairport.com/,http://en.wikipedia.org/wiki/Sligo_Airport,,800,2015-08-04T01:22:25+00:00
2536,EIME,medium_airport,"Casement Air Base",53.301700592,-6.451330184940001,319,EU,IE,IE-D,Baldonnel,0,EIME,,,,http://en.wikipedia.org/wiki/Casement_Aerodrome,"RAF Baldonnel",50,2012-11-16T13:40:01+00:00
29218,EICL,small_airport,"Clonbullogue Aerodrome",53.249656677246094,-7.122745513916016,240,EU,IE,IE-OY,Clonbullogue,0,EICL,,,http://www.skydive.ie/about/location.html,http://en.wikipedia.org/wiki/Clonbullogue_Aerodrome,,50,2009-02-15T10:53:05+00:00
43997,EIMH,small_airport,"Athboy Airport",53.637779235839844,-6.878611087799072,230,EU,IE,IE-MH,Athboy,0,EIMH,,,,,,0,2009-04-07T13:06:04+00:00
317046,IE-0005,small_airport,"Eyne Airfield",53.082764,-7.277601,265,EU,IE,IE-LS,Eyne,0,,,,,,"Ridge Aviation",0,2016-02-20T14:26:40+00:00
320593,IE-0011,small_airport,"Limetree Airfield",53.1155,-7.2443,210,EU,IE,IE-LS,Limetree,0,,,,,,,0,2016-10-01T00:44:39+00:00
2532,EIDL,medium_airport,"Donegal Airport",55.0442008972168,-8.340999603271484,30,EU,IE,IE-DL,Donegal,1,EIDL,CFN,,http://www.donegalairport.ie/,http://en.wikipedia.org/wiki/Donegal_Airport,Gweedore,825,2009-02-15T11:09:37+00:00
