id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4411,LLBG,large_airport,"Ben Gurion International Airport",32.01139831542969,34.88669967651367,135,AS,IL,IL-M,"Tel Aviv",1,LLBG,TLV,,http://www.iaa.gov.il/Rashat/en-US/Airports/BenGurion/,http://en.wikipedia.org/wiki/Ben_Gurion_International_Airport,,1011275,2009-01-30T17:44:05+00:00
4415,LLET,medium_airport,"Eilat Airport",29.56130027770996,34.96009826660156,42,AS,IL,IL-D,Eilat,1,LLET,ETH,,,http://en.wikipedia.org/wiki/Eilat_Airport,"J. Hozman",875,2008-06-13T14:30:04+00:00
4426,LLSD,medium_airport,"Sde Dov Airport",32.11470031738281,34.78219985961914,43,AS,IL,IL-TA,"Tel Aviv",1,LLSD,SDV,,,http://en.wikipedia.org/wiki/Sde_Dov_Airport,,800,2008-06-13T14:30:04+00:00
4417,LLHA,medium_airport,"Haifa International Airport",32.80939865112305,35.04309844970703,28,AS,IL,IL-HA,Haifa,1,LLHA,HFA,,http://www.iaa.gov.il/Rashat/en-US/Airports/Haifa/,http://en.wikipedia.org/wiki/Haifa_Airport,"U Michaeli Airport, RAF Haifa",800,2008-06-13T14:30:04+00:00
4423,LLOV,large_airport,"Ovda International Airport",29.94029998779297,34.93579864501953,1492,AS,IL,IL-D,Eilat,1,LLOV,VDA,,,http://en.wikipedia.org/wiki/Ovda_International_Airport,"Ovda Air Force Base",1200,2008-06-13T14:30:04+00:00
4419,LLIB,medium_airport,"Ben Ya'akov Airport",32.98099899291992,35.5718994140625,922,AS,IL,IL-Z,"Rosh Pina",1,LLIB,RPN,,,http://en.wikipedia.org/wiki/Ben_Ya'akov_Airport,"Rosh Pina Airport, Mahanaim I Ben Yaakov Airport",800,2008-06-13T14:30:04+00:00
4412,LLBS,small_airport,"Beersheba (Teyman) Airport",31.287000656128,34.722999572754,656,AS,IL,IL-D,Beersheba,0,LLBS,BEV,,,http://en.wikipedia.org/wiki/Be'er_Sheva_(Teyman)_Airport,,50,2015-12-28T22:50:52+00:00
29947,LLHZ,small_airport,"Herzliya Airport",32.180599212646484,34.83470153808594,121,AS,IL,IL-TA,Herzliya,0,LLHZ,,,,http://en.wikipedia.org/wiki/Herzliya_airport,Herzlia,50,2008-06-13T14:30:04+00:00
30028,LLKS,small_airport,"Kiryat Shmona Airport",33.21670150756836,35.599998474121094,381,AS,IL,IL-Z,"Kiryat Shmona",0,LLKS,KSW,,,http://en.wikipedia.org/wiki/Kiryat_Shmona_Airport,,50,2008-06-13T14:30:04+00:00
4421,LLMZ,medium_airport,"Bar Yehuda Airfield",31.32819938659668,35.38859939575195,-1266,AS,IL,IL-D,Masada,0,LLMZ,MTZ,,,http://en.wikipedia.org/wiki/Bar_Yehuda_Airfield,"Masada Airfield",250,2008-07-14T10:32:08+00:00
4416,LLEY,small_airport,"Ein Yahav Airfield",30.621700286865234,35.20330047607422,-164,AS,IL,IL-D,Sapir,0,LLEY,EIY,,,http://en.wikipedia.org/wiki/Ein_Yahav_Airfield,"Sapir Airfield",50,2008-07-14T10:33:29+00:00
