id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4681,MKJS,medium_airport,"Sangster International Airport",18.503700256347656,-77.91339874267578,4,NA,JM,JM-08,"Montego Bay",1,MKJS,MBJ,,,http://en.wikipedia.org/wiki/Sangster_International_Airport,,1050,2008-06-13T14:30:04+00:00
4680,MKJP,large_airport,"Norman Manley International Airport",17.935699462890625,-76.7874984741211,10,NA,JM,JM-01,Kingston,1,MKJP,KIN,,,http://en.wikipedia.org/wiki/Norman_Manley_International_Airport,,1050,2009-03-28T17:45:38+00:00
4679,MKBS,medium_airport,"Boscobel Aerodrome",18.404199600219727,-76.96900177001953,90,NA,JM,JM-05,"Ocho Rios",1,MKBS,OCJ,,http://www.aaj.com.jm/ourairports/index.php#boscobel,http://en.wikipedia.org/wiki/Boscobel_Aerodrome,,800,2008-06-13T14:30:04+00:00
4683,MKTP,medium_airport,"Tinson Pen Airport",17.98859977722168,-76.82379913330078,16,NA,JM,JM-02,"Tinson Pen",1,MKTP,KTP,,,http://en.wikipedia.org/wiki/Tinson_Pen_Airport,,800,2008-10-17T20:07:12+00:00
4682,MKKJ,medium_airport,"Ken Jones Airport",18.1987991333,-76.53450012210001,20,NA,JM,JM-04,"Ken Jones",0,MKKJ,POT,,,http://en.wikipedia.org/wiki/Ken_Jones_Aerodrome,,250,2011-10-15T23:30:02+00:00
42315,JM-0001,closed,"Gunters Hill Airport",17.8859996796,-77.3034973145,99,NA,JM,JM-13,"Gunters Hill",0,,,,,http://en.wikipedia.org/wiki/Vernam_Field,"Vernam Field",50,2015-03-27T22:55:26+00:00
32020,MKNG,small_airport,"Negril Airport",18.34280014038086,-78.33209991455078,9,NA,JM,JM-09,Negril,0,MKNG,NEG,,,,,50,2008-10-17T20:07:12+00:00
46450,JM-0002,small_airport,"Manchioneal Airstrip",18.0547334536,-76.28316700459999,292,NA,JM,JM-04,,0,,,,,,,0,2010-04-29T08:11:50+00:00
46459,JM-0011,small_airport,"Mafoota Airstrip",18.3717339749,-77.89325952530001,948,NA,JM,JM-08,,0,,,,,,,0,2010-04-29T09:09:04+00:00
46458,JM-0010,small_airport,"Nain Airstrip",17.9770288591,-77.6070141792,550,NA,JM,JM-11,,0,,,,,,"Alpart Airstrip",0,2010-04-29T09:05:38+00:00
46456,JM-0008,small_airport,"Silent Hill Airstrip",18.1963619642,-77.492108345,2940,NA,JM,JM-12,,0,,,,,,,0,2010-04-29T08:58:56+00:00
46457,JM-0009,small_airport,"Kirkvine Airstrip",18.0795496576,-77.47823596,1368,NA,JM,JM-12,,0,,,,,,,0,2010-04-29T09:02:34+00:00
46453,JM-0005,small_airport,"Worthy Park Airstrip",18.1449749774,-77.1578836441,1194,NA,JM,JM-14,,0,,,,,,,0,2010-04-29T08:36:52+00:00
46454,JM-0006,small_airport,"Port Esquivel Airstrip",17.891295804400002,-77.1360182762,3,NA,JM,JM-14,,0,,,,,,,0,2010-04-29T08:40:28+00:00
314186,JM-0016,small_airport,"Bath Airfield",17.9405,-76.3075,84,NA,JM,JM-03,Bath,0,,,,,,,0,2015-03-28T00:49:39+00:00
46451,JM-0003,small_airport,"Tulloch Airstrip",18.104596899500002,-76.9878101349,300,NA,JM,JM-14,"Bog Walk",0,,,,,,,0,2010-04-29T08:16:06+00:00
313803,JM-0012,closed,"Braco Airfield",18.477164,-77.488274,,NA,JM,JM-U-A,"Cornwall County",0,,,,,,,0,2015-02-08T13:51:48+00:00
46455,JM-0007,small_airport,"Puerto Seco Airstrip",18.4666041204,-77.39469051360001,30,NA,JM,JM-06,"Discovery Bay",0,,,,,,,0,2010-04-29T08:45:03+00:00
46452,JM-0004,small_airport,"Ewarton Airstrip",18.1739272531,-77.0685553551,600,NA,JM,JM-14,Ewarton,0,,,,,,,0,2010-04-29T08:24:21+00:00
314187,JM-0017,closed,"Lydford Airstrip",18.3341,-77.1349,1484,NA,JM,JM-06,"Golden Grove",0,,,,,,,0,2015-03-28T01:13:30+00:00
314184,JM-0014,heliport,"Up-Park Camp Heliport",17.9883,-76.7761,190,NA,JM,JM-02,Kingston,0,,,,,http://en.wikipedia.org/wiki/Up-Park_Camp,,0,2015-03-28T00:03:03+00:00
314181,MVJ,closed,"Marlboro Airport",18.019,-77.495,2080,NA,JM,JM-12,Mandeville,0,,MVJ,,,,,0,2015-03-27T22:00:04+00:00
314185,JM-0015,small_airport,"Moneague Training Camp Airfield",18.2822,-77.1054,1088,NA,JM,JM-06,Moneague,0,,,,http://www.jdfmil.org/overview/bases/bases_home5.php,,,0,2015-03-28T00:37:23+00:00
314183,JM-0013,closed,"Rocky Point Airstrip",17.777,-77.2602,6,NA,JM,JM-13,"Rocky Point",0,,,,,,,0,2015-03-27T23:49:33+00:00
