id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5531,RJAA,large_airport,"Narita International Airport",35.7647018433,140.386001587,141,AS,JP,JP-12,Tokyo,1,RJAA,NRT,,,http://en.wikipedia.org/wiki/Narita_International_Airport,"TYO, Tokyo Narita Airport, New Tokyo International Airport",1033675,2015-01-23T13:00:50+00:00
5627,RJTT,large_airport,"Tokyo Haneda International Airport",35.552299,139.779999,35,AS,JP,JP-13,Tokyo,1,RJTT,HND,,http://www.haneda-airport.jp/,http://en.wikipedia.org/wiki/Tokyo_International_Airport,"TYO, Haneda",1168475,2016-11-21T16:05:24+00:00
5536,RJBB,large_airport,"Kansai International Airport",34.42729949951172,135.24400329589844,26,AS,JP,JP-27,Osaka,1,RJBB,KIX,,http://www.kansai-airport.or.jp/en/index.asp,http://en.wikipedia.org/wiki/Kansai_International_Airport,OSA,1023275,2008-06-13T14:30:04+00:00
5598,RJOO,large_airport,"Osaka International Airport",34.785499572753906,135.43800354003906,50,AS,JP,JP-27,Osaka,1,RJOO,ITM,,,http://en.wikipedia.org/wiki/Osaka_International_Airport,"OSA, Itami",51150,2009-01-29T22:35:54+00:00
5564,RJFF,large_airport,"Fukuoka Airport",33.585899353027344,130.4510040283203,32,AS,JP,JP-40,Fukuoka,1,RJFF,FUK,,http://www.fuk-ab.co.jp/english/frame_index.html,http://en.wikipedia.org/wiki/Fukuoka_Airport,"Itazuke Air Base",1022275,2008-06-13T14:30:04+00:00
5544,RJCC,large_airport,"New Chitose Airport",42.77519989013672,141.69200134277344,82,AS,JP,JP-01,"Chitose / Tomakomai",1,RJCC,CTS,,http://www.new-chitose-airport.jp/language/english/,http://en.wikipedia.org/wiki/New_Chitose_Airport,,1021475,2009-01-30T18:14:38+00:00
5671,ROAH,large_airport,"Naha Airport",26.1958007812,127.646003723,12,AS,JP,JP-47,Naha,1,ROAH,OKA,,http://www.naha-airport.co.jp/,http://en.wikipedia.org/wiki/Naha_Airport,"那覇空港, Naha Kūkō?, AHA, Naha AFB",51150,2012-06-10T15:23:14+00:00
5576,RJGG,large_airport,"Chubu Centrair International Airport",34.8583984375,136.80499267578125,15,AS,JP,JP-23,Tokoname,1,RJGG,NGO,,,http://en.wikipedia.org/wiki/Ch%C5%ABbu_Centrair_International_Airport,,1012875,2008-08-08T11:22:31+00:00
5673,RODN,large_airport,"Kadena Air Base",26.3556,127.767998,143,AS,JP,JP-47,,0,RODN,DNA,,,https://en.wikipedia.org/wiki/Kadena_Air_Base,,850,2016-05-31T09:38:33+00:00
5581,RJNA,medium_airport,"Nagoya Airport",35.255001068115234,136.9239959716797,52,AS,JP,JP-23,Nagoya,1,RJNA,NKM,,,http://en.wikipedia.org/wiki/Nagoya_Airfield,,925,2008-08-08T11:17:08+00:00
5629,RJTY,large_airport,"Yokota Air Base",35.74850082397461,139.34800720214844,463,AS,JP,JP-13,Fussa,0,RJTY,OKO,,,http://en.wikipedia.org/wiki/Yokota_Air_Base,,850,2008-08-08T11:30:53+00:00
5566,RJFK,large_airport,"Kagoshima Airport",31.80340003967285,130.718994140625,906,AS,JP,JP-46,Kagoshima,1,RJFK,KOJ,,,http://en.wikipedia.org/wiki/Kagoshima_Airport,,1150,2009-01-28T17:24:47+00:00
5590,RJOA,medium_airport,"Hiroshima Airport",34.4361000061,132.919006348,1088,AS,JP,JP-34,Hiroshima,1,RJOA,HIJ,,,http://en.wikipedia.org/wiki/Hiroshima_Airport,,1050,2010-08-29T21:27:39+00:00
5550,RJCO,medium_airport,"Okadama Airport",43.117447,141.38134,25,AS,JP,JP-01,Sapporo,1,RJCO,OKD,,,http://en.wikipedia.org/wiki/Okadama_Airport,"RJCO, OKD, Sapporo, Okadama",800,2017-06-11T04:59:11+00:00
5612,RJSM,medium_airport,"Misawa Air Base",40.703201293899994,141.367996216,119,AS,JP,JP-02,Misawa,1,RJSM,MSJ,,,http://en.wikipedia.org/wiki/Misawa_Air_Base,,1050,2010-08-29T21:29:17+00:00
