id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6421,UAAA,large_airport,"Almaty Airport",43.35210037231445,77.04049682617188,2234,AS,KZ,KZ-ALM,Almaty,1,UAAA,ALA,,,http://en.wikipedia.org/wiki/Almaty_International_Airport,"Alma Ata",1275,2008-09-15T08:54:42+00:00
6423,UACC,large_airport,"Astana International Airport",51.02220153808594,71.46690368652344,1165,AS,KZ,KZ-AKM,Astana,1,UACC,TSE,,,http://en.wikipedia.org/wiki/Astana_International_Airport,,1275,2008-09-15T08:54:44+00:00
6438,UATT,medium_airport,"Aktobe Airport",50.2458,57.206699,738,AS,KZ,KZ-AKT,Aktyubinsk,1,UATT,AKX,,,http://en.wikipedia.org/wiki/Aktobe_Airport,"Aktyubinsk Airport, Aktubinsk Airport, Аэропорт Актюбинск",1050,2018-06-23T20:17:31+00:00
6431,UAKK,large_airport,"Sary-Arka Airport",49.670799255371094,73.33439636230469,1765,AS,KZ,KZ-KAR,Karaganda,1,UAKK,KGF,,,http://en.wikipedia.org/wiki/Sary-Arka_Airport,,1275,2008-08-05T15:13:43+00:00
6429,UAII,medium_airport,"Shymkent Airport",42.364200592041016,69.47889709472656,1385,AS,KZ,KZ-YUZ,Shymkent,1,UAII,CIT,,,http://en.wikipedia.org/wiki/Shymkent_Airport,"Chimkent Airport, Аэропорт Шымкент, Аэропорт Чимкент",1050,2009-04-25T07:16:45+00:00
6433,UASK,medium_airport,"Ust-Kamennogorsk Airport",50.036598205566406,82.49420166015625,939,AS,KZ,KZ-VOS,"Ust Kamenogorsk",1,UASK,UKK,,,http://en.wikipedia.org/wiki/Ust-Kamenogorsk_Airport,"Ust-Kamennogorsk Airport, Аэропорт Усть-Каменногорск",1050,2009-04-22T17:23:09+00:00
6436,UATE,medium_airport,"Aktau Airport",43.8601,51.091999,73,AS,KZ,KZ-MAN,Aktau,1,UATE,SCO,,http://aktau-airport.kz/,https://en.wikipedia.org/wiki/Aktau_Airport,Akshukyr,1050,2018-09-15T03:50:36+00:00
6432,UARR,medium_airport,"Uralsk Airport",51.15079879760742,51.54309844970703,125,AS,KZ,KZ-ZAP,Uralsk,1,UARR,URA,,,http://en.wikipedia.org/wiki/Oral_Ak_Zhol_Airport,Podstepnyy,1050,2008-09-15T08:54:44+00:00
6435,UASS,medium_airport,"Semipalatinsk Airport",50.351295,80.234398,761,AS,KZ,KZ-VOS,Semey,1,UASS,PLX,,,http://en.wikipedia.org/wiki/Semipalitinsk_Airport,"Semey Airport",925,2017-09-30T16:03:24+00:00
6434,UASP,medium_airport,"Pavlodar Airport",52.19499969482422,77.07389831542969,410,AS,KZ,KZ-PAV,Pavlodar,1,UASP,PWQ,,,http://en.wikipedia.org/wiki/Pavlodar_Airport,"Pavlodar South",800,2008-09-15T08:54:44+00:00
6424,UADD,medium_airport,"Taraz Airport",42.853599548339844,71.30359649658203,2184,AS,KZ,KZ-ZHA,Taraz,1,UADD,DMB,,,http://en.wikipedia.org/wiki/Taraz_Airport,"Aulie Ata",800,2008-09-15T08:54:44+00:00
32495,UACP,medium_airport,"Petropavlosk South Airport",54.77470016479492,69.18389892578125,453,AS,KZ,KZ-SEV,Petropavlosk,1,UACP,PPK,,,,,550,2008-09-15T08:54:44+00:00
31794,UAOO,small_airport,"Kzyl-Orda Southwest Airport",44.706902,65.592499,433,AS,KZ,KZ-KZY,Kzyl-Orda,1,UAOO,KZO,,,https://en.wikipedia.org/wiki/Kyzylorda_Airport,,450,2018-09-13T13:02:44+00:00
41892,KZ-0040,small_airport,"Kokchetav Airport",53.324100494384766,69.36900329589844,731,AS,KZ,KZ-AKM,Kokchetav,0,,,,,,,50,2008-09-15T08:55:23+00:00
