id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6426,UAFM,large_airport,"Manas International Airport",43.0612983704,74.4776000977,2058,AS,KG,KG-C,Bishkek,1,UCFM,FRU,,,http://en.wikipedia.org/wiki/Manas_International_Airport,"UAFM, Manas Air Force Base",1275,2014-09-18T21:21:31+00:00
6427,UAFO,medium_airport,"Osh Airport",40.6090011597,72.793296814,2927,AS,KG,KG-O,Osh,1,UCFO,OSS,,http://www.airport.kg/eng/branches.htm,http://en.wikipedia.org/wiki/Osh_Airport,,875,2013-10-13T15:51:43+00:00
41647,KG-0008,small_airport,"Chon Aryk Airport",42.81560134887695,74.58560180664062,2958,AS,KG,KG-C,Bishkek,0,,,,,,,50,2008-09-01T20:50:36+00:00
41648,KG-0009,closed,"Frunze Airport",42.834,74.5774,2771,AS,KG,KG-C,Bishkek,0,,,,,,,50,2017-06-08T04:57:36+00:00
41649,KG-0010,small_airport,"Frunze Northwest Airport",42.91419982910156,74.50830078125,2311,AS,KG,KG-C,Bishkek,0,,,,,,,50,2008-09-01T20:50:38+00:00
41661,UAFG,small_airport,"Cholpon-Ata Airport",42.6537017822,77.05670166019999,5420,AS,KG,KG-Y,Cholpon-Ata,0,UAFG,,,,,"Cholpon-Ata Airport",50,2011-02-21T10:05:34+00:00
6425,UAFL,medium_airport,"Issyk-Kul International Airport",42.58792,76.713046,5425,AS,KG,KG-Y,Tamchy,1,UCFL,IKU,IKU,http://www.airport.kg/index.php?option=com_content&view=article&id=4&Itemid=6,http://en.wikipedia.org/wiki/Tamchy_Airport,"UAFL, Issyk-Kul Airport, Chok-Tal Airport, Аэропорт Тамчы, Аэропорт Иссык-Куль, Аэропорт Чок-Тал",50,2016-08-24T23:11:17+00:00
41651,KG-0012,small_airport,"Verkhnyaya Alaarcha Airport",42.74369812011719,74.54239654541016,3925,AS,KG,KG-C,"Verkhnyaya Alaarcha",0,,,,,,,50,2008-09-01T20:50:40+00:00
46647,UAFZ,small_airport,"Kazarman Airport",41.4102908129,74.044418335,4298,AS,KG,KG-J,Kazarman,1,UAFZ,,,,,"Kazarman Airport",0,2011-02-21T10:34:27+00:00
41534,KG-0001,medium_airport,"Jalal-Abad Airport",40.944401,72.977798,2591,AS,KG,KG-J,Jalal-Abad,1,UAFJ,,,http://www.airport.kg/index.php?option=com_content&view=article&id=4&Itemid=6,https://en.m.wikipedia.org/wiki/Jalal-Abad_Airport,,550,2017-01-09T22:04:44+00:00
3549,UA30,medium_airport,"Batken Airport",40.042899,70.83784,3517,AS,KG,KG-B,Batken,1,UAFB,,,http://www.airport.kg/index.php?option=com_content&view=article&id=4&Itemid=6,https://en.wikipedia.org/wiki/Batken_Airport,Batken,250,2016-02-27T14:47:12+00:00
6428,UAFW,medium_airport,"Kant Air Base",42.85319900512695,74.84649658203125,2549,AS,KG,KG-C,Kant,0,UAFW,,,,http://en.wikipedia.org/wiki/Kant_Air_Base,,250,2008-08-26T15:24:22+00:00
41656,KG-0017,small_airport,"Aravan West Airport",40.524200439453125,72.40679931640625,2117,AS,KG,KG-O,Aravan,0,,,,,,,50,2008-09-01T20:50:45+00:00
41662,KG-0023,small_airport,"Balykchy Airport",42.4374008179,76.1307983398,5326,AS,KG,KG-Y,Balykchy,0,UAFR,,,,,"Balykchy Airport, Rybachye Airport",50,2011-02-21T10:18:43+00:00
41652,KG-0013,small_airport,"Bazar Kurgan Airport",41.00080108642578,72.70069885253906,2211,AS,KG,KG-J,"Bazar Kurgan",0,,,,,,,50,2008-09-01T20:50:41+00:00
41646,KG-0005,small_airport,"Chatkel Agri Airport",42.99909973144531,74.29930114746094,2126,AS,KG,KG-C,Chatkel,0,,,,,,,50,2008-09-01T20:50:35+00:00
32496,UAFP,small_airport,"Karakol Airport",42.508098602299995,78.4077987671,5590,AS,KG,KG-Y,Karakol,1,UCFP,,,,http://en.wikipedia.org/wiki/Karakol_International_Airport,"UAFP, Karakol Airport",50,2013-10-13T22:18:17+00:00
41653,KG-0014,small_airport,"Kerben Airport",41.484500885,71.7337036133,4199,AS,KG,KG-J,Kerben,1,UAFE,,,http://civilaviation.kg/index.php?option=com_content&view=article&id=50&Itemid=41,,"Kerben Airport",50,2011-02-21T09:29:03+00:00
41657,KG-0018,small_airport,"Kyzyl-Kiya Airport",40.271701812699995,72.0470962524,2928,AS,KG,KG-B,Kyzyl-Kiya,1,UAFS,,,,,"Kyzyl-Kiya Airport",50,2011-02-21T10:23:28+00:00
41658,KG-0019,small_airport,"Madaniyat Airport",40.59349822998047,72.84929656982422,2936,AS,KG,KG-O,Madaniyat,0,,,,,,,50,2008-09-01T20:50:47+00:00
41535,KG-0002,small_airport,"Naryn Airport",41.44150161739999,76.13059997559999,6998,AS,KG,KG-N,Naryn,1,UAFN,,,,,,50,2011-02-21T09:53:39+00:00
41659,KG-0020,small_airport,"Osh West Airport",40.534901,72.753799,3138,AS,KG,KG-GO,Osh,0,,,,,,,50,2016-02-15T20:56:35+00:00
41660,KG-0021,small_airport,"Pokrovka Airport",42.7156982421875,71.70999908447266,2734,AS,KG,KG-T,Pokrovka,0,,,,,,,50,2008-09-01T20:50:49+00:00
41650,KG-0011,small_airport,"Sretenka Airport",42.91429901123047,74.11900329589844,2162,AS,KG,KG-C,Sretenka,0,,,,,,,50,2008-09-01T20:50:39+00:00
41654,KG-0015,small_airport,"Suzak Airport",40.89899826049805,72.92739868164062,2350,AS,KG,KG-J,Suzak,0,,,,,,,50,2008-09-01T20:50:43+00:00
41537,KG-0004,small_airport,"Talas Airport",42.5059013367,72.2630996704,4153,AS,KG,KG-T,Talas,1,UAFT,,,http://civilaviation.kg/index.php?option=com_content&view=article&id=53&Itemid=82,,,50,2011-02-21T09:35:02+00:00
41539,KG-0006,small_airport,"Tamga Airport",42.1530990601,77.5639038086,5655,AS,KG,KG-Y,Tamga,1,UAFA,,,,http://en.wikipedia.org/wiki/Tamga_Airport,,50,2013-11-14T23:18:40+00:00
41540,KG-0007,small_airport,"Tokmok Airport",42.828899383499994,75.33599853519999,2770,AS,KG,KG-C,Tokmok,1,UAFF,,,,,Tokmok,50,2011-02-21T10:03:03+00:00
41536,KG-0003,small_airport,"Toktogul Airport",41.87799835205078,72.86239624023438,3157,AS,KG,KG-J,Toktogul,0,,,,,,,50,2008-09-01T20:50:32+00:00
41655,KG-0016,small_airport,"Torktul Airport",40.81800079345703,73.3041000366211,3157,AS,KG,KG-J,Zarger,0,,,,,,,50,2008-09-01T20:50:44+00:00
319060,UAAT,small_airport,"Ak Bashat Airport",42.88958,73.602004,,AS,KG,KG-C,"Ak Bashat village",0,UAAT,,,,,"Ak Bashat Airport",0,2016-06-24T01:53:29+00:00
319131,KG-0043,small_airport,"Ak Bashat Airport",42.889604,73.929985,,AS,KG,KG-C,"Ak Bashat village",0,,,,,,"Ak Bashat Airport",0,2016-06-27T06:31:45+00:00
41669,KG-0030,closed,"Ala Buka Airport",41.38349914550781,71.49849700927734,3892,AS,KG,KG-J,"Ala Buka",0,,,,,,,0,2008-09-01T20:51:16+00:00
41672,KG-0033,closed,"Spasskoye/Akbash Airport",41.03160095214844,72.993896484375,2894,AS,KG,KG-J,"Aman Ail",0,,,,,,,0,2008-09-01T20:51:19+00:00
41673,KG-0034,closed,"At Bashi Airport",41.185298919677734,75.77490234375,6600,AS,KG,KG-N,"At Bashi",0,,,,,,,0,2008-09-01T20:51:20+00:00
41666,KG-0027,closed,"Belovodskoye Airport",42.81890106201172,74.0730972290039,2555,AS,KG,KG-C,Belovodskoye,0,,,,,,,0,2008-09-01T20:51:13+00:00
319057,UABA,small_airport,"Burana Airport",42.753693,75.33263,,AS,KG,KG-C,"Burana village",0,UABA,,,,,"Burana Airport",0,2016-06-23T23:56:37+00:00
41674,KG-0035,closed,"Chayek Airport",41.93410110473633,74.5363998413086,5495,AS,KG,KG-N,Chayek,0,,,,,,,0,2008-09-01T20:51:21+00:00
41675,KG-0036,closed,"Daraut Kurgan Airport",39.54669952392578,72.24829864501953,8250,AS,KG,KG-O,"Daraut Kurgan",0,,,,,,,0,2008-09-01T20:51:22+00:00
41677,KG-0038,closed,"Groznoye Airport",42.60530090332031,71.2134017944336,3264,AS,KG,KG-T,Groznoye,0,,,,,,,0,2008-09-01T20:51:24+00:00
46646,UAFI,small_airport,"Isfana Airport",39.824737441299995,69.5688199997,4625,AS,KG,KG-B,Isfana,1,UAFI,,,http://www.airport.kg/index.php?option=com_content&view=article&id=4&Itemid=6,http://en.wikipedia.org/wiki/Isfana_Airport,"Isfana Airport",0,2013-11-20T21:52:47+00:00
41663,KG-0024,closed,"Kalacha Southwest Airport",40.08570098876953,69.63529968261719,2326,AS,KG,KG-B,Kalacha,0,,,,,,,0,2008-09-01T20:51:10+00:00
41667,KG-0028,closed,"Kara Baita Airport",42.811500549316406,73.90049743652344,2615,AS,KG,KG-C,"Kara Baita",0,,,,,,,0,2008-09-01T20:51:14+00:00
41664,KG-0025,closed,"Khaydarken  Airport",39.93600082397461,71.33660125732422,6440,AS,KG,KG-B,Khaydarken,0,,,,,,,0,2008-09-01T20:51:11+00:00
41678,KG-0039,closed,"Kirgizskaya Airport",42.753501892089844,71.404296875,2415,AS,KG,KG-T,Kirgizskaya,0,,,,,,,0,2008-09-01T20:51:25+00:00
41679,KG-0040,closed,"Kirovskoye Airport",42.628700256347656,71.5813980102539,3135,AS,KG,KG-T,Kirovskoye,0,,,,,,,0,2008-09-01T20:51:26+00:00
41680,KG-0041,closed,"Koksay Airport",42.498600006103516,71.1218032836914,3066,AS,KG,KG-T,Koksay,0,,,,,,,0,2008-09-01T20:51:27+00:00
41670,KG-0031,closed,"Mikhaylovka Dmitriyevka Airport",41.111900329589844,73.24929809570312,4039,AS,KG,KG-J,Mazar-Bulak,0,,,,,,,0,2008-09-01T20:51:17+00:00
41668,KG-0029,closed,"Miyanfan Airport",42.950401306152344,74.84259796142578,2239,AS,KG,KG-C,Miyanfan,0,,,,,,,0,2008-09-01T20:51:15+00:00
319051,KG-0022,small_airport,"Novopokrovskiyi Airport",42.89127,74.749743,,AS,KG,KG-C,Novopokrovka,0,,,,,,Novopokrovka,0,2016-06-23T09:03:13+00:00
41676,KG-0037,closed,"Osh East Airport",40.588199615478516,72.94159698486328,3338,AS,KG,KG-O,Osh,0,,,,,,,0,2008-09-01T20:51:23+00:00
41681,KG-0042,closed,"Pokrovka/Ozero Issyk Kul Airport",42.35100173950195,78.01820373535156,5812,AS,KG,KG-Y,Prokovka,0,,,,,,,0,2008-09-01T20:51:28+00:00
41671,KG-0032,closed,"Sakaldy Dubar Airport",41.008201599121094,72.56330108642578,1885,AS,KG,KG-J,Sakaldy,0,,,,,,,0,2008-09-01T20:51:18+00:00
41665,KG-0026,closed,"Sovetsky/Kiyan Kul Airport",40.17190170288086,71.30229949951172,3600,AS,KG,KG-B,Sovetsky,0,,,,,,,0,2008-09-01T20:51:12+00:00
